route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX39,GH_H2-Weekday,GH_H2-Weekday-030000_BX39_750,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-033000_BX39_751,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-035000_BX39_754,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-036500_BX39_752,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-037700_BX39_758,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-038700_BX39_759,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-039500_BX39_762,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-040100_BX39_763,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-040700_BX39_764,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-041300_BX39_753,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-041900_BX39_766,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-042700_BX39_750,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-043600_BX39_770,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-044400_BX39_755,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-045300_BX39_756,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-046100_BX39_757,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-047000_BX39_751,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-047800_BX39_760,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-048800_BX39_754,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-088000_BX39_777,CLASON PT,1,BX390142
BX39,GH_H2-Weekday,GH_H2-Weekday-050000_BX39_765,CLASON PT,1,BX390176
BX39,GH_H2-Weekday,GH_H2-Weekday-119600_BX39_781,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390177
BX39,GH_H2-Weekday,GH_H2-Weekday-051200_BX39_768,CLASON PT,1,BX390176
