route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
Q12,CS_H2-Weekday-BM,CS_H2-Weekday-BM-135600_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday-BM,CS_H2-Weekday-BM-139000_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-000000_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-003500_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-007000_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-010400_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120075
Q12,CS_H2-Weekday,CS_H2-Weekday-013800_Q12_2,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-016900_Q12_2,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-019800_Q12_2,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-023300_Q12_2,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-027300_Q12_4,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-031300_Q12_4,FLUSHING MAIN ST STATION via NORTHERN,1,Q120075
Q12,CS_H2-Weekday,CS_H2-Weekday-037900_Q12_4,FLUSHING MAIN ST STATION via NORTHERN,1,Q120075
Q12,CS_H2-Weekday,CS_H2-Weekday-045900_Q12_4,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-052000_Q12_4,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-057300_Q12_4,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-063200_Q12_3,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-068300_Q12_3,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-074200_Q12_3,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-079300_Q12_3,FLUSHING MAIN ST STATION via NORTHERN,1,Q120075
Q12,CS_H2-Weekday,CS_H2-Weekday-028300_Q12_3,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-032500_Q12_3,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-036300_Q12_3,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-041100_Q12_3,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-046500_Q12_3,FLUSHING MAIN ST STATION via NORTHERN,1,Q120075
Q12,CS_H2-Weekday,CS_H2-Weekday-029800_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-034700_Q12_1,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-038700_Q12_1,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-043900_Q12_12,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-049500_Q12_12,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-055200_Q12_12,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-060300_Q12_12,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-066200_Q12_8,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-071300_Q12_8,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-077200_Q12_18,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-082300_Q12_18,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
Q12,CS_H2-Weekday,CS_H2-Weekday-088200_Q12_18,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q121637
Q12,CS_H2-Weekday,CS_H2-Weekday-094300_Q12_18,FLUSHING MAIN ST STATION via NORTHERN,1,Q120079
