route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
S40,CA_H2-Weekday,CA_H2-Weekday-006000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-012000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-018000_S4090_2,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-024000_S4090_1,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-030000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-033000_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-036000_S4090_4,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-039000_MISC_225,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-040500_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-042000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-043500_MISC_206,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-048000_S4090_3,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-050000_MISC_252,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-054000_MISC_245,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-056000_MISC_231,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-058000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-060000_MISC_210,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-062000_MISC_287,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-064000_MISC_301,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-066000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-068000_S4090_5,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-070000_MISC_210,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-072000_MISC_303,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-074000_MISC_301,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-076000_S4090_6,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-078000_MISC_269,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-080000_MISC_266,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-082000_MISC_303,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-084000_MISC_329,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-087000_S4090_7,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-088500_MISC_269,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-090000_MISC_351,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-099300_MISC_351,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-093300_MISC_338,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-094500_MISC_329,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-096300_MISC_364,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-097800_MISC_368,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-101300_MISC_338,ARLINGTON SOUTH AV ARLINGTON PL,1,S400083
S40,CA_H2-Weekday,CA_H2-Weekday-105300_MISC_369,ARLINGTON SOUTH AV ARLINGTON PL,1,S400083
S40,CA_H2-Weekday,CA_H2-Weekday-108300_MISC_368,ARLINGTON SOUTH AV ARLINGTON PL,1,S400083
S40,CA_H2-Weekday,CA_H2-Weekday-109800_MISC_351,ARLINGTON SOUTH AV ARLINGTON PL,1,S400083
S40,CA_H2-Weekday,CA_H2-Weekday-111000_MISC_360,MATRIX PT RICH TERR via GULF AV ARLNGTON,1,S400094
S40,CA_H2-Weekday,CA_H2-Weekday-112800_MISC_355,ARLINGTON SOUTH AV ARLINGTON PL,1,S400083
S90,CA_H2-Weekday,CA_H2-Weekday-101000_MISC_360,LTD MATRIX PK via RICH TERR via GULF AV,1,S900049
S90,CA_H2-Weekday,CA_H2-Weekday-103000_MISC_355,LTD MATRIX PK via RICH TERR via GULF AV,1,S900049
