,PARKSIDE AV/FLATBUSH AV,CLARKSON AV/ALBANY AV,CLARKSON AV/BEDFORD AV,SARATOGA AV/PITKIN AV,CLARKSON AV/E 39 ST,EAST NEW YORK AV/SARATOGA AV,ALABAMA AV / FULTON ST,CLARKSON AV/NEW YORK AV,EAST NEW YORK AV/E 92 ST,PITKIN AV/HOWARD AV,ALBANY AV/FENIMORE ST,EAST NEW YORK AV/STERLING PL,FULTON ST/ALABAMA AV,EAST NEW YORK AV/E 96 ST,NEW YORK AV/LINCOLN PL,LEFFERTS AV/SCHENECTADY AV,SACKMAN ST/DEAN ST,EAST NEW YORK AV/E 95 ST,WOODRUFF AV/OCEAN AV,ALBANY AV/CLARKSON AV,TROY AV/EAST NEW YORK AV,ALBANY AV/RUTLAND RD,ALBANY AV/HAWTHORNE ST,ALBANY AV/EAST NEW YORK AV,CLARKSON AV/ROGERS AV,SCHENECTADY AV/LEFFERTS AV,PARKSIDE AV/OCEAN AV,EAST NEW YORK AV/PORTAL ST,CLARKSON AV/FLATBUSH AV,EAST NEW YORK AV/MOTHER GASTON BL,EAST NEW YORK AV/STRAUSS ST,CLARKSON AV/KINGS CNTY HOS MAIN,EAST NEW YORK AV/ROCKAWAY PY,EMPIRE BL/UTICA AV,EAST NEW YORK AV/JUNIUS ST,PACIFIC ST/EAST NEW YORK AV,EAST NEW YORK AV/ALBANY AV,EAST NEW YORK AV/UNION ST,CLARKSON AV/NOSTRAND AV,EAST NEW YORK AV/ST MARKS AV,CLARKSON AV/E 38 ST,ALBANY AV/MAPLE ST,EAST NEW YORK AV/TROY AV,EAST NEW YORK AV/MONTGOMERY ST,ALBANY AV/WINTHROP ST,EAST NEW YORK AV/RALPH AV,EAST NEW YORK AV/BRISTOL ST,EAST NEW YORK AV/E 94 ST,ALBANY AV/MIDWOOD ST,PARKSIDE AV/BEDFORD AV,EAST NEW YORK AV/ROCKAWAY AV,EAST NEW YORK AV/AMBOY ST,EAST NEW YORK AV/SACKMAN ST,Jackie Gleason Depot (JG)
PARKSIDE AV/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 EAST NEW YORK ALABAMA AV,,,,
CLARKSON AV/ALBANY AV,,,,,0.169 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSON AV/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,0.282 EAST NEW YORK ALABAMA AV,,,,0.288 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,
SARATOGA AV/PITKIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,
CLARKSON AV/E 39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.004 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/SARATOGA AV,,,,,,,,,,,,,,,2.833 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA AV / FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,,,,
CLARKSON AV/NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 EAST NEW YORK ALABAMA AV,,,,,,,0.245 LEFFERTS GARDENS OCEAN AV,,,,,,,,,,,,,,,
EAST NEW YORK AV/E 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 EAST NEW YORK ALABAMA AV,,,,,,
PITKIN AV/HOWARD AV,,,,0.244 EAST NEW YORK ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
