,CYPRESS HILL ST/BETH EL CEM N,FOREST AV/PUTNAM AV,FRESH POND RD/68 AV,EUCLID AV/BELMONT AV,WYCKOFF AV/MENAHAN ST,FRESH POND RD/MYRTLE AV,EUCLID AV/SUTTER AV,STANLEY AV/CRESCENT ST,CRESCENT ST/LIBERTY AV,CRESCENT ST/ETNA ST,EUCLID AV/PITKIN AV,COZINE AV/CRESCENT ST,CRESCENT ST/JAMAICA AV,GRANDVIEW AV/GATES AV,67 AV/FRESH POND RD,SEAVIEW AV/ERSKINE ST,ELDERT LA/LORING AV,GATES AV/ST NICHOLAS AV,JAMAICA AV/HEMLOCK ST,EUCLID AV/LINDEN BL,GATES AV/WOODWARD AV,EUCLID AV/LIBERTY AV,POSTAL FACILITY RD/IN FRONT OF FACILITY,FOUNTAIN AV/FLATLANDS AV,FOUNTAIN AV/VANDALIA AV,FRESH POND RD/70 AV,STANLEY AV/AUTUMN AV,LINDEN BL/AUTUMN AV,CRESCENT ST/GLENMORE AV,COOPER AV/65 ST,SUTTER AV/EUCLID AV,CRESCENT ST/COZINE AV,GATEWAY CTR TERM/GATEWAY DR,COOPER AV/CYPRESS HILL ST,FRESH POND RD/CATALPA AV,LINDEN BL/CRESCENT ST,GATES AV/WYCKOFF AV,STANLEY AV/ELDERT LA,ELDERT LA/LINDEN BL,FOREST AV/WOODBINE ST,COOPER AV/62 ST,CRESCENT ST/FULTON ST,PUTNAM AV/FRESH POND RD,WYCKOFF AV/DE KALB AV,FOUNTAIN AV/BKLYN DEVEL CTR,WYCKOFF AV/HARMAN ST,62 ST/MYRTLE AV,61 ST/ST FELIX AV,CRESCENT ST/RIDGEWOOD AV,EUCLID AV/DUMONT AV,WYCKOFF AV/GREENE AV,67 AV/60 ST,CRESCENT ST/WORTMAN AV,STANLEY AV/SHERIDAN AV,GATES AV/FAIRVIEW AV,GATES AV/ONDERDONK AV,GATES AV/CYPRESS AV,COOPER AV/64 LA,COOPER AV/64 ST,CYPRESS HILLS ST/JAMAICA AV,CRESCENT ST/FLATLANDS AV,WYCKOFF AV/BLEECKER ST,JAMAICA AV/CYPRESS HILLS ST,61 ST/75 AV,EUCLID AV/BLAKE AV,WYCKOFF AV/STANHOPE ST,CYPRESS HILL ST/MT NEBOH CEM,LINDEN BL/EUCLID AV,EUCLID AV/GLENMORE AV,PUTNAM AV/FOREST AV,CRESCENT ST/ATLANTIC AV,CYPRESS HILL ST/MACHPELAH CEM N,SUTTER AV/CRESCENT ST,CRESCENT ST/WELDON ST,DE KALB AV/WYCKOFF AV,JAMAICA AV/CRESCENT ST,GATES AV/GRANDVIEW AV,62ND ST/75TH AV,LINDEN BL/SHERIDAN AV,GATEWAY DR/SITE DR,CRESCENT ST/STANLEY AV,COOPER AV/64 PL,GATES AV/SENECA AV,CYPRESS HILL ST/MACHPELAH CEM,CRESCENT ST/MCKINLEY AV,LINDEN BL/ELDERT LA,WYCKOFF AV/GROVE ST,CRESCENT ST/PITKIN AV,CYPRESS HILL ST/CYPRESS AV,Jackie Gleason Depot (JG)
CYPRESS HILL ST/BETH EL CEM N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.521 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,
FOREST AV/PUTNAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/68 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/BELMONT AV,,,,,,,0.145 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYCKOFF AV/MENAHAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/SUTTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/CRESCENT ST,,,,,,,,,,,,,,,,,,,,,,,0.526 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/LIBERTY AV,,,,,,,,,,,,,,,,,,,,,,0.205 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,
CRESCENT ST/ETNA ST,,,,,,,,,,,,,0.271 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/PITKIN AV,,,,0.14 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COZINE AV/CRESCENT ST,,,,,,,,,,,,,,,,,,,,,,,,0.363 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANDVIEW AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67 AV/FRESH POND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/ERSKINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592 SPRING CREEK GATEWAY MALL,,,,,,,,,,
ELDERT LA/LORING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 SPRING CREEK GATEWAY MALL,0.784 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/HEMLOCK ST,,,,,,,,,,0.395 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,0.02 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,
GATES AV/WOODWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 SPRING CREEK GATEWAY MALL,0.158 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUCLID AV/LIBERTY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,
POSTAL FACILITY RD/IN FRONT OF FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUNTAIN AV/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.803 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,0.115 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOUNTAIN AV/VANDALIA AV,,,,,,,,,,,,,,,,,,,,,,,,0.211 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRESH POND RD/70 AV,,,,,,0.208 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLEY AV/AUTUMN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK GATEWAY MALL,,,,,,,,,
LINDEN BL/AUTUMN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,0.295 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRESCENT ST/GLENMORE AV,,,,,,,,,0.339 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPER AV/65 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,
SUTTER AV/EUCLID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,
CRESCENT ST/COZINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATEWAY CTR TERM/GATEWAY DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026 WYCKOFF HTS HOSP WYCKOFF AV DEKALB AV,,,,,,,,,,
