,EASTERN PY/UTICA AV,PITKIN AV/LEGION ST,SUTTER AV/SCHENCK AV,PITKIN AV/HERZL ST,SUTTER AV/LINWOOD ST,SUTTER AV/ASHFORD ST,SUTTER AV/WILLIAMS AV,SUTTER AV/GEORGIA AV,SUTTER AV/MILFORD ST,SUTTER AV/ALABAMA AV,DUMONT AV/POWELL ST,PITKIN AV/SARATOGA AV,EASTERN PY/RALPH AV,SUTTER AV/SHEPHERD AV,SUTTER AV/LINCOLN AV,MOTHER GASTON BL/BLAKE AV,LORING AV/DREW ST,SUTTER AV/HENDRIX ST,DUMONT AV/JUNIUS ST,SUTTER AV/CLEVELAND ST,SUTTER AV/MONTAUK AV,SUTTER AV/WARWICK ST,STANLEY AV/SHERIDAN AV,PITKIN AV/BRISTOL ST,EASTERN PY/SCHENECTADY AV,LINDEN BL/ELDERT LA,PITKIN AV/MOTHER GASTON BL,PITKIN AV/ROCKAWAY AV,RALPH AV/EASTERN PY,MOTHER GASTON BL/BELMONT AV,SUTTER AV/VAN SICLEN AV,SUTTER AV/BARBEY ST,PITKIN AV/HOWARD AV,SUTTER AV/AUTUMN AV,SUTTER AV/JEROME ST,SUTTER AV/ESSEX ST,SUTTER AV/ELTON ST,SUTTER AV/PENNSYLVANIA AV,PITKIN AV/OSBORN ST,PITKIN AV/AMBOY ST,SUTTER AV/WYONA ST,LINCOLN AV/BLAKE AV,POWELL ST/DUMONT AV,SUTTER AV/VERMONT ST,SUTTER AV/VAN SINDEREN AV,SUTTER AV/MILLER AV,ELDERT LA/LORING AV,LINDEN BL/SHERIDAN AV,EAST NEW YORK AV/UNION ST,SUTTER AV/BERRIMAN ST,DREW ST/LINDEN BL,DREW ST/DUMONT AV,DUMONT AV/MOTHER GASTON BL,POSTAL FACILITY RD/IN FRONT OF FACILITY,EASTERN PY/BUFFALO AV,SUTTER AV/ATKINS AV,MOTHER GASTON BL/SUTTER AV,SUTTER AV/LOGAN ST,STANLEY AV/ELDERT LA,EASTERN PY/ROCHESTER AV,SUTTER AV/HINSDALE ST,JUNIUS ST/SUTTER AV,PITKIN AV/STRAUSS ST,JUNIUS ST/BLAKE AV,SUTTER AV/FOUNTAIN AV,SUTTER AV/CRESCENT ST,DREW ST/SUTTER AV,PITKIN AV/THOMAS S BOYLAND ST,MOTHER GASTON BL/PITKIN AV,POWELL ST/BLAKE AV,SUTTER AV/BRADFORD ST,SUTTER AV/POWELL ST,SUTTER AV/EUCLID AV,SUTTER AV/GRANT AV,Jackie Gleason Depot (JG)
EASTERN PY/UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,1.608 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,
PITKIN AV/LEGION ST,,,,,,,,,,,,,0.579 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/SCHENCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/HERZL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,
SUTTER AV/LINWOOD ST,,,,,,,,,,,,,,0.183 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/ASHFORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/WILLIAMS AV,,,,,,,,0.118 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/GEORGIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUTTER AV/MILFORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,
SUTTER AV/ALABAMA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,
DUMONT AV/POWELL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,,,
PITKIN AV/SARATOGA AV,,,,0.163 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTERN PY/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,,,
SUTTER AV/SHEPHERD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SPRING CREEK STANLEY AV POSTAL FAC,,,,,,,,,,,,,,,,,,,
SUTTER AV/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657 SPRING CREEK STANLEY AV POSTAL FAC,
MOTHER GASTON BL/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 SPRING CREEK STANLEY AV POSTAL FAC,,,,0.552 CROWN HEIGHTS UTICA AV,,,,,,,,,,,,,,,,,,
