,LEWIS AV/MADISON ST,NEW LOTS AV/VERMONT ST,NEW LOTS AV/GEORGIA AV,130 PL/HANGAR RD STOP20A,HEGEMAN AV/OSBORN ST,N VAN WYCK SERVICE RD/STOP 13 BLDG 21,LINDEN BL/78TH ST,MARCUS GARVEY BL/LEXINGTON AV,LINDEN BL/DREW ST,TROY AV/FULTON ST,N VAN WYCK SERVICE RD/STOP 11 BLDG 23,JFK AIRPORT/TERMINAL 5 AIRTRAIN STATION,RALPH AV/EASTERN PKWY N,LEFFERTS BLVD/AIRTRAIN STA,E 98 ST/LIVONIA AV,ST JOHNS PL/BUFFALO AV,LINDEN BL/SHERIDAN AV,BUFFALO AV/PARK PL,NEW LOTS AV/SCHENCK AV,BUFFALO AV/ST JOHNS PL,E 98 ST/BLAKE AV,DEAN ST/ALBANY AV,RALPH AV/EAST NEW YORK AV,AIR TRAIN STATION,E 98 ST/CHURCH AV,NEW LOTS AV/CHRISTOPHER AV,DEAN ST/TROY AV,LEWIS AV/BAINBRIDGE ST,BERGEN ST/SCHENECTADY AV,BERGEN ST/BUFFALO AV,LEWIS AV/GATES AV,LEWIS AV/LAFAYETTE AV,LINDEN BL/CRESCENT ST,HEGEMAN AV/CHESTER AV,NEW LOTS AV/BRADFORD ST,ROCHESTER AV/BERGEN ST,RALPH AV/SUTTER AV,DUMONT AV/MILFORD ST,NEW LOTS AV/MILLER AV,S VAN WYCK SERVICE RD/BLDG 14,FOUNTAIN AV/HEGEMAN AV,130 PL/E HANGAR RD STOP18,NEW LOTS AV/WILLIAMS AV,TROY AV/DEAN ST,MARCUS GARVEY BL/WILLOUGHBY AV,NEW LOTS AV/MOTHER GASTON BL,NEW LOTS AV/ESSEX ST,BUFFALO AV/PROSPECT PL,NEW LOTS AV/BERRIMAN ST,LEWIS AV/WILLOUGHBY AV,NEW LOTS AV/HENDRIX ST,NEW LOTS AV/SACKMAN ST,E 98 ST/RIVERDALE AV,MARCUS GARVEY BL/MADISON ST,NEW LOTS AV/HINSDALE ST,NEW LOTS AV/VAN SINDEREN AV,BERGEN ST/TROY AV,NEW LOTS AV/BARBEY ST,NEW LOTS AV/POWELL ST,LEWIS AV/GREENE AV,NEW LOTS AV/MALTA ST,LEWIS AV/MYRTLE AV,MARCUS GARVEY BL/PARK AV,NEW LOTS AV/LINWOOD ST,TROY AV/ATLANTIC AV,DEAN ST/SCHENECTADY AV,LEWIS AV/JEFFERSON AV,DUMONT AV/FOUNTAIN AV,MARCUS GARVEY BL/BROADWAY,LINDEN BL/EMERALD ST,HIP CTR PARKING LOT,DREW ST/LINDEN BLVD,MARCUS GARVEY BL/PULASKI ST,ST MARKS AV/ROCHESTER AV,N VAN WYCK SERVICE RD/STOP 17 AMERICAN FREIGHT,NEW LOTS AV/WYONA ST,NEW LOTS AV/SHEFFIELD AV,MARCUS GARVEY BL/DE KALB AV,MARCUS GARVEY BL/MAC DONOUGH ST,NEW LOTS AV/JEROME ST,LINDEN BL/AUTUMN AV,FOUNTAIN AV/LINDEN BL,DUMONT AV/MONTAUK AV,RALPH AV/ST JOHNS PL,ST JOHNS PL/RALPH AV,LINDEN BL SRVC RD/FOUNTAIN AV,BUFFALO AV/ST MARKS AV,MARCUS GARVEY BL/HALSEY ST,MARCUS GARVEY BL/LAFAYETTE AV,BERGEN ST/ROCHESTER AV,LEWIS AV/HALSEY ST,130 PL/BERGEN RD,MARCUS GARVEY BL/JEFFERSON AV,E 98 ST/LEGION ST,NEW LOTS AV/PENNSYLVANIA AV,MARCUS GARVEY BL/GATES AV,ALBANY AV/ATLANTIC AV,E 98 ST/WINTHROP ST,BERGEN ST/UTICA AV,LORING AV/DREW ST,E 98 ST/LOTT AV,S VAN WYCK SERVICE RD/BLDG 90,LEWIS AV/BROADWAY,LEWIS AV/DEKALB AV,E 98 ST/HEGEMAN AV,130 PL/ BERGEN RD STOP 22,ELDERT LA/LORING AV,E 98 ST/CLARKSON AV,LINDEN BL/EUCLID AV,MARCUS GARVEY BL/FULTON ST,HEGEMAN AV/BRISTOL ST,LEWIS AV/MAC DONOUGH ST,NEW LOTS AV/ELTON ST,HEGEMAN AV/THATFORD AV,LEWIS AV/PULASKI ST,E 98 ST/WILLMOHR ST,LINDEN BL/ELDERT LA,E 98 ST/DUMONT AV,BROADWAY/PARK ST,N VAN WYCK SERVICE RD/STOP 15 BLDG 122,ELDERT LA/LINDEN BL,LINDEN BL/79 ST,RALPH AV/EASTERN PY,MARCUS GARVEY BL/MYRTLE AV,NEW LOTS AV/ASHFORD ST,S VAN WYCK SERVICE RD/BLDG 23,E 98 ST/LENOX RD,DEAN ST/UTICA AV,HEGEMAN AV/ROCKAWAY AV,DEAN ST/ROCHESTER AV,HEGEMAN AV/THOMAS S BOYLAND ST,HEGEMAN AV/WATKINS ST,ALBANY AV/FULTON ST,Jackie Gleason Depot (JG)
LEWIS AV/MADISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/VERMONT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/GEORGIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130 PL/HANGAR RD STOP20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGEMAN AV/OSBORN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N VAN WYCK SERVICE RD/STOP 13 BLDG 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,
LINDEN BL/78TH ST,,,,,,,,,,,,,,,,,,,,,,,,11.075 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCUS GARVEY BL/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/DREW ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,
TROY AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N VAN WYCK SERVICE RD/STOP 11 BLDG 23,,,,,,0.391 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFK AIRPORT/TERMINAL 5 AIRTRAIN STATION,,,,,,,,,,,2.363 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/EASTERN PKWY N,,,,,,,,,,,,,,,,,,,,,,,0.172 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEFFERTS BLVD/AIRTRAIN STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.581 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,
E 98 ST/LIVONIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,
ST JOHNS PL/BUFFALO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINDEN BL/SHERIDAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.166 BED-STUY WOODHULL HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO AV/PARK PL,,,,,,,,,,,,,,,,0.193 JFK AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
