,13 AV/39 ST,DAHILL RD/12 AV,13 AV/52 ST,37 ST/13 AV,FT HAMILTON PY/66 ST,FT HAMILTON PY/70 ST,CATON AV/CONEY ISLAND AV,FT HAMILTON PY/60 ST,CATON AV/ARGYLE RD,FT HAMILTON PY/86 ST,7 AV SVC RD S/81 ST,SHORE RD/OLIVER ST,86 ST/3 AV,14 AV/41 ST,4 AV/99 ST,56 ST/13 AV,SHORE RD/NARROWS AV,14 AV/53 ST,57 ST/11 AV,FT HAMILTON PY/72 ST,OCEAN AV/231 OCEAN AVENUE,57 ST/12 AV,12 AV/DAHILL RD,36 ST/CLARA ST,14 AV/39 ST,NARROWS AV/86 ST,14 AV/50 ST,FT HAMILTON PY/BAY RIDGE AV,13 AV/56 ST,CATON AV/OCEAN PY,OCEAN AV/LINCOLN RD,FT HAMILTON PY/64 ST,FT HAMILTON PY/74 ST,56 ST/11 AV,7 AV/79 ST,SHORE RD/RIDGE BL,OCEAN AV/OPP 231 OCEAN AV,OCEAN AV/CATON AV,FT HAMILTON PY/83 ST,13 AV/47 ST,FT HAMILTON PY/68 ST,14 AV/56 ST,14 AV/44 ST,56 ST/12 AV,CATON AV/E 4 ST,13 AV/45 ST,86 ST/COLONIAL RD,LINCOLN RD/FLATBUSH AV,86 ST/5 AV,SHORE RD/4 AV,FT HAMILTON PY/77 ST,SHORE RD/3 AV,FLATBUSH AV/OCEAN AV,13 AV/41 ST,13 AV/49 ST,57 ST/FT HAMILTON PY,FT HAMILTON PY/58 ST,SHORE RD/88 ST,CATON AV/E 5 ST,CATON AV/WESTMINSTER,3 AV/SHORE RD,36 ST/12 AV,OCEAN AV/PARKSIDE AV,86 ST/FT HAMILTON PY,56 ST/NEW UTRECHT AV,13 AV/43 ST,CATON AV/PARADE PL,12 AV/CHESTER AV,CATON AV/E 3 ST,FT HAMILTON PY/62 ST,37 ST/12 AV,NARROWS AV/89 ST,FT HAMILTON PY/BAY RIDGE PY,CATON AV/E 8 ST,13 AV/50 ST,FT HAMILTON PY/7 AV,13 AV/54 ST,86 ST/NARROWS AV,CATON AV/MC DONALD AV,3 AV/MARINE AV,14 AV/47 ST,CATON AV/E 16 ST,7 AV SVC RD S/79 ST,MARINE AV/4 AV,FT HAMILTON PY/81 ST,CATON AV/ST PAULS PL,SHORE RD/91 ST,86 ST/4 AV,56 ST/FT HAMILTON PY,4 AV/100 ST,FT HAMILTON PY/73 ST,36 ST/CHURCH AV,86 ST/RIDGE BL,SHORE RD/97 ST,SHORE RD/99 ST,FT HAMILTON PY/59 ST,CATON AV/RUGBY RD,Jackie Gleason Depot (JG)
13 AV/39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAHILL RD/12 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,
37 ST/13 AV,0.197 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 BAY RIDGE SHORE RD,,,,0.186 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.191 BAY RIDGE SHORE RD,,,,,,,
CATON AV/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/60 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,0.993 LEFFERTS GARDENS PROSPECT PK STA,,
CATON AV/ARGYLE RD,,,,,,,0.334 BAY RIDGE SHORE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.902 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
