,EASTERN PY/UTICA AV,FLATLANDS AV/ROCKAWAY PY,SEAVIEW AV/E 108 ST,SEAVIEW AV/REMSEN AV,REMSEN AV/CLARKSON AV,SEAVIEW AV/EAST 100 ST,REMSEN AV/E 51 ST,FLATLANDS AV/E 94 ST,REMSEN AV/DITMAS AV,EAST NEW YORK AV/SCHENECTADY AV,AV L/E 85 ST,TROY AV/CARROLL ST,REMSEN AV/AV M,AV L/E 82 ST,REMSEN AV/LENOX ROAD,SEAVIEW AV/E 104 ST,REMSEN AV/AV L,REMSEN AV/FOSTER AV,REMSEN AV/FLATLANDS AV,AV L/REMSEN AV,GLENWOOD RD/EAST 96 ST,AV L/E 83 ST,TROY AV/EAST NEW YORK AV,E 80 ST/PAERDEGAT 15 ST,REMSEN AV/E 56 ST,REMSEN AV/AV K,REMSEN AV/AV N,AV L/E 86 ST,GLENWOOD RD/REMSEN AV,REMSEN AV/AV D,SEAVIEW AV/E 95 ST,EASTERN PY/SCHENECTADY AV,E 80 ST/PAERDEGAT 10 ST,SEAVIEW AV/ROCKAWAY PY,SEAVIEW AV/E 102 ST,E 80 ST/AV M,REMSEN AV/LINDEN BL,REMSEN AV/KINGS HY,SEAVIEW AV/E 93 ST,REMSEN AV/FARRAGUT RD,SEAVIEW AV/E 99 ST,E 80 ST/AV N,REMSEN AV/LENOX RD,REMSEN AV/AV B,FLATLANDS AV/E 92 ST,SEAVIEW AV/E 91 ST,GLENWOOD RD/E 94 ST,REMSEN AV/SEAVIEW AV,REMSEN AV/WINTHROP ST,REMSEN AV/GLENWOOD RD,AV L/E 84 ST,E 80 ST/PAERDEGAT 13 ST,TROY AV/EMPIRE BL,E 80 ST/PAERDEGAT 7 ST,TROY AV/EASTERN PY,REMSEN AV/E 54 ST,UTICA AV/EMPIRE BL,AV L/E 87 ST,REMSEN AV/RUTLAND RD,EAST NEW YORK AV/UTICA AV,REMSEN AV/CHURCH AV,SEAVIEW AV/E 105 ST,UTICA AV/CARROLL ST,REMSEN AV/AV A,REMSEN AV/AV J,TROY AV/MONTGOMERY ST,AV L/E 88 ST,Jackie Gleason Depot (JG)
EASTERN PY/UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9 CANARSIE SEAVIEW AV,,,,,
FLATLANDS AV/ROCKAWAY PY,,,,,,,,0.603 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722 CROWN HEIGHTS EASTERN PKY,,,,,,
SEAVIEW AV/REMSEN AV,,,,,,,,,,,,,,,,,,,,,,1.241 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/EAST 100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/E 51 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 CANARSIE SEAVIEW AV,,,,,,,,,
FLATLANDS AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.775 CROWN HEIGHTS EASTERN PKY,,,,,0.873 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,
REMSEN AV/DITMAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,0.239 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,
EAST NEW YORK AV/SCHENECTADY AV,,,,,,,,,,,,,,,,,,,,,,,2.243 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 85 ST,,,,,,,,,,,,,0.627 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROY AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,
REMSEN AV/AV M,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.464 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,
AV L/E 82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.021 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/LENOX ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW AV/E 104 ST,,,,,,,,,,,,,,,,,,,,,,,,1.785 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/AV L,,,,,,,,,,,,,0.262 CANARSIE SEAVIEW AV,,,,,,,,,,,,,0.269 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/FOSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,0.245 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 CANARSIE SEAVIEW AV,,,
AV L/REMSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/EAST 96 ST,,0.287 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.005 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROY AV/EAST NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.196 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,
E 80 ST/PAERDEGAT 15 ST,,,2.137 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.034 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/E 56 ST,,,,,,,,,,,,,,,0.24 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/AV K,,,,,,,,,,,,,,,,,0.585 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 CROWN HEIGHTS EASTERN PKY,,,
REMSEN AV/AV N,,,,,,,,,,,0.91 CROWN HEIGHTS EASTERN PKY,,,,,,,,,0.497 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV L/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.432 CANARSIE SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/REMSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328 CROWN HEIGHTS EASTERN PKY,,,,,,,,,,,,,,,,,,,,,
