,OCEAN PY/SHORE PY,86 ST/14 AV,OCEAN PKY/SHORE PKY,BRIGHTON BEACH/CONEY ISLAND AV,BRIGHTON BEACH AV/BRIGHTON 5 ST,BRIGHTON BEACH AV/BRIGHTON 1 PL,ORIENTAL BL/WEST END AV,86 ST/W 7 ST,BRIGHTON BEACH AV/CORBIN PL,BRIGHTON BEACH AV/OCEAN PY,86 ST/FT HAMILTON PY,86 ST/AV U,87 ST/4 AV,ORIENTAL BL/DOVER ST,ORIENTAL BL/KENSINGTON ST,AV X/W 1 ST,AV X/MC DONALD AV,86 ST/16 AV,86 ST/15 AV,86 ST/13 AV,86 ST/W 9 ST,BRIGHTON BEACH AV/CONEY ISLAND AV,ORIENTAL BL/MACKENZIE ST,86 ST/11 AV,86 ST/7 AV,BRIGHTON BEACH AV/BRIGHTON 12 ST,86 ST/17 AV,86 ST/BAY PY,86 ST/24 AV,ORIENTAL BL/OCEAN AV,86 ST/23 AV,86 ST/W 8 ST,ORIENTAL BL/JAFFRAY ST,86 ST/4 AV,86 ST/VAN SICKLEN ST,AV X/E 1 ST,86 ST/21 AV,AV X/E 3 ST,ORIENTAL BL/BEAUMONT ST,OCEAN PY/NEPTUNE AV,86 ST/19 AV,BRIGHTON BEACH AV/BRIGHTON 3 ST,5 AV/86 ST,AV X/W 2 ST,AV X/SHELL RD,86 ST/12 AV,ORIENTAL BL/FALMOUTH ST,86 ST/5 AV,86 ST/AV V,86 ST/STILLWELL AV,86 ST/NEW UTRECHT AV,BRIGHTON BEACH AV/BRIGHTON 6 ST,AV X/WEST ST,86 ST/W 11 ST,86 ST/20 AV,86 ST/AV W,AV X/OCEAN PY,86 ST/DAHLGREN PL,CORBIN PL/BRIGHTON BEACH AV,AV X/E 2 ST,OCEAN PY/WEST AV,86 ST/18 AV,86 ST/25 AV,ORIENTAL BL/HASTINGS ST,OCEAN PY/OCEAN VIEW AV,BRIGHTON BEACH AV/BRIGHTON 14 ST,Jackie Gleason Depot (JG)
OCEAN PY/SHORE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.451 BAY RIDGE 4 AV,,,,,,,,,,
86 ST/14 AV,,,,,,,,,,,,,,,,,,,0.237 MANHATTAN BEACH KINGSBORO CC,0.238 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN PKY/SHORE PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.381 MANHATTAN BEACH KINGSBORO CC,,,,,,
BRIGHTON BEACH/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.46 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 1 PL,,,,,,,,,,0.681 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/WEST END AV,,,,,,,,,0.146 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/W 7 ST,,,,,,,,,,,,,,,,,,,,,0.233 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/CORBIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676 BAY RIDGE 4 AV,
BRIGHTON BEACH AV/OCEAN PY,,,,,,0.161 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4 BAY RIDGE 4 AV,,
86 ST/FT HAMILTON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 BAY RIDGE 4 AV,,,,,,,,,,,,,,,0.209 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,15.969 to depot of B1
86 ST/AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388 MANHATTAN BEACH KINGSBORO CC,0.166 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,
87 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/DOVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,0.204 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/KENSINGTON ST,,,,,,,,,,,,,,,,,,,,,,,0.123 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/W 1 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV X/MC DONALD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.803 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/16 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/15 AV,,0.237 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,0.237 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/13 AV,,0.238 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,
86 ST/W 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BAY RIDGE 4 AV,,,,,,,,,,,,,
BRIGHTON BEACH AV/CONEY ISLAND AV,,,,,0.77 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORIENTAL BL/MACKENZIE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.311 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,0.239 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,
86 ST/7 AV,,,,,,,,,,,0.352 BAY RIDGE 4 AV,,,,,,,,,,,,,0.311 MANHATTAN BEACH KINGSBORO CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTON BEACH AV/BRIGHTON 12 ST,,,,,,,,,,,,,,,,,,,,,,0.488 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073 MANHATTAN BEACH KINGSBORO CC,
86 ST/17 AV,,,,,,,,,,,,,,,,,,,0.502 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 MANHATTAN BEACH KINGSBORO CC,,,,,
86 ST/BAY PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.547 MANHATTAN BEACH KINGSBORO CC,,,,,,3.065 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/24 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BAY RIDGE 4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 MANHATTAN BEACH KINGSBORO CC,,,,
ORIENTAL BL/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57 MANHATTAN BEACH KINGSBORO CC,,,
