,GREENPOINT AV/LEONARD ST,METROPOLITAN AV/UNION AV,QUEENS MIDTOWN EXP/48 ST,GREENPOINT AV/MANHATTAN AV,GREENPOINT AV/44 ST,GREENPOINT AV/FRANKLIN ST,KINGSLAND AV/MASPETH AV,48 ST/BKLYN-QUEENS EXPWY,GREENPOINT AV/38TH ST,MEEKER AV/HAUSMAN ST,GREENPOINT AV/GALE AV,GREENPOINT AV/JEWEL ST,KINGSLAND AV/LOMBARDY ST,GREENPOINT AV/N HENRY ST,GREENPOINT AV/MC GUINESS BL,RODNEY ST/GRAND ST,GREENPOINT AV/42 ST,GREENPOINT AV/BRADLEY AV,48 ST/50 AV,METROPOLITAN AV/GRAHAM AV,GREENPOINT AV/39 PL,WOODPOINT RD\CONSELYEA ST,GREENPOINT AV/46 ST,GREENPOINT AV/47 ST,GREENPOINT AV/STARR AV,CHERRY ST/VANDERVOORT AV,BROADWAY/MARCY AV,WEST ST/KENT ST,GREENPOINT AV/43 ST,GREENPOINT AV/KINGSLAND AV,GREENPOINT AV/REVIEW AV,GREENPOINT AV/48 AV,MEEKER AV/MORGAN AV,GREENPOINT AV/BORDEN AV,48 ST/47 ST,47 AV/48 ST,RODNEY ST/S 3 ST,GREENPOINT AV/39TH ST,48 ST/48 AV,GREENPOINT AV/HUNTERS PT AV,GREENPOINT AV/HUMBOLDT ST,GREENPOINT AV/PROVOST ST,MARCY AV/S 2 ST,VAN DAM ST/REVIEW AV,KINGSLAND AV/RICHARDSON ST,MEEKER AV/KINGSLAND AV,RODNEY ST/S 5 ST,GREENPOINT AV/40TH ST,BKLYN-QUEENS EXPWY/48TH ST,WASHINGTON PL/LANE 6,47 ST/GREENPOINT AV,48 ST/47 AV,RODNEY ST/AINSLIE ST,METROPOLITAN AV/MACRI SQ,BKLYN-QUEENS EXPWY/45TH ST,KINGSLAND AV/SKILLMAN AV,KINGSLAND AV/HERBERT ST,METROPOLITAN AV/LEONARD ST,MARCY AV/METROPOLITAN AV,KINGSLAND AV/WITHERS ST,METROPOLITAN AV/LORIMER ST,Jackie Gleason Depot (JG)
GREENPOINT AV/LEONARD ST,,,,0.069 GREENPOINT WEST ST,,,,,,,,,,,0.136 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/UNION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 GREENPOINT WEST ST,
QUEENS MIDTOWN EXP/48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.017 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/MANHATTAN AV,0.069 WILLIAMSBURG BRIDGE PLZ,,,,,0.281 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/44 ST,,,,,,,,,,,,,,,,,0.203 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/FRANKLIN ST,,,,0.281 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,0.211 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSLAND AV/MASPETH AV,,,,,,,,,,,,,,,,,,,,,,0.187 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 ST/BKLYN-QUEENS EXPWY,,,,,,,,,,,,,,,,,,,0.167 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/38TH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,
MEEKER AV/HAUSMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,
GREENPOINT AV/GALE AV,,,,,,,,,,,,,,,,,,0.2 GREENPOINT WEST ST,,,,,,,,,,,,,,,,0.105 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/JEWEL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,
KINGSLAND AV/LOMBARDY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/N HENRY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.624 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,0.168 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,
GREENPOINT AV/MC GUINESS BL,0.136 GREENPOINT WEST ST,,,,,,,,,,,0.263 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RODNEY ST/GRAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 GREENPOINT WEST ST,,,,,,,,,
GREENPOINT AV/42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 GREENPOINT WEST ST,,,,,,,,,,,,,,
GREENPOINT AV/BRADLEY AV,,,,,,,,,,,0.2 WILLIAMSBURG BRIDGE PLZ,,,,,,,,,,,,,,0.131 GREENPOINT WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
