,FULTON ST/CLERMONT AV,FULTON ST/GREENE AV,FULTON ST/TOMPKINS AV,FULTON ST/HOWARD AV,FULTON ST/SCHENECTADY AV,FULTON ST/BEDFORD AV,FULTON ST/VANDERBILT AV,FULTON ST/NEW YORK AV,FULTON ST/KINGSTON AV,FULTON ST/GRAND  AV,FULTON ST/BUFFALO AV,FULTON ST/SACKMAN ST,CADMAN PZ W/JOHNSON ST,FRONT ST/YORK ST,CADMAN PLZ W/MONTAGUE ST,OLD FULTON ST/HENRY ST,CADMAN PZ W/CLARK ST,FULTON ST/MALCOLM X BL,FULTON ST/JAY ST,FULTON ST/SARATOGA AV,FULTON ST/ALBANY AV,FULTON ST/FRANKLIN AV,FULTON ST/MARCUS GARVEY BL,FULTON ST/EASTERN PY,FULTON ST/BROOKLYN AV,FULTON ST/GRAND AV,FULTON ST/LEWIS AV,FULTON ST/SMITH ST,OLD FULTON ST/HICKS ST,FULTON ST/TROY AV,EAST NEW YORK AV/ALABAMA AV,OLD FULTON ST/PROSPECT ST,FULTON ST/MAC DOUGAL ST,TILLARY ST/CADMAN PZ E,FULTON ST/ROCKWELL PL,WATER ST/MAIN ST,FULTON ST/CARLTON AV,FULTON ST/FLATBUSH AV EXT,FULTON ST/NOSTRAND AV,FULTON ST/S ELLIOTT PL,OLD FULTON ST/ELIZABETH PL,ADAMS ST/BKLYN SUPREME CRT,FULTON ST/FT GREENE PL,FULTON ST/ROCKAWAY AV,FULTON ST/MARCY AV,FULTON ST/CLASSON AV,FULTON ST/RALPH AV,ALABAMA AV / FULTON ST,CADMAN PZ W/MIDDAGH ST,FULTON ST/ADELPHI ST,FULTON ST/HUDSON AV,CADMAN PLZ W/CRANBERRY ST,FULTON ST/S PORTLAND AV,FULTON ST/ST JAMES PL,FULTON ST/STUYVESANT AV,FULTON ST/CLINTON AV,JORALEMON ST/COURT ST,CADMAN PZ W/TILLARY ST,FULTON ST/UTICA AV,FULTON ST/LAFAYETTE AV,FULTON ST/BOND ST,FULTON ST/DUFFIELD ST,CADMAN PLZ W/CADMAN TOWER,FULTON ST/HOYT ST,FRONT ST / YORK ST,FULTON ST/VAN SINDEREN AV,FULTON ST/WASHINGTON AV,FULTON ST/THOMAS S BOYLAND ST,Jackie Gleason Depot (JG)
FULTON ST/CLERMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,
FULTON ST/GREENE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/TOMPKINS AV,,,,,,,,0.296 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/HOWARD AV,,,,,,,,,,,,,,,,,,,,0.24 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,0.213 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/SCHENECTADY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,
FULTON ST/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,0.201 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,0.324 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,
FULTON ST/NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/KINGSTON AV,,,0.173 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,0.234 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/GRAND  AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,
