,HALSEY ST/HOWARD AV,FULTON ST/ADELPHI ST,CADMAN PLZ W/MONTAGUE ST,JAY ST/TILLARY ST,JORALEMON ST/COURT ST,FULTON ST/GREENE AV,FULTON ST/S ELLIOTT PL,FULTON ST/CLINTON AV,FULTON ST/WASHINGTON AV,WYCKOFF AV / PALMETTO ST,WYCKOFF AV/MADISON ST,HALSEY ST/KNICKERBOCKER AV,HALSEY ST/EVERGREEN AV,WYCKOFF ST/PALMETTO ST,HALSEY ST/IRVING AV,HALSEY ST/THROOP AV,FULTON ST/JAY ST,HALSEY ST/RALPH AV,FULTON ST/LAFAYETTE AV,FULTON ST/VANDERBILT AV,HALSEY ST/SARATOGA AV,FULTON ST/HOYT ST,FULTON ST/ROCKWELL PL,HALSEY ST/BEDFORD AV,TILLARY ST/ADAMS ST,FULTON ST/CLERMONT AV,FULTON ST/CARLTON AV,PUTNAM AV/NOSTRAND AV,WYCKOFF AV/WEIRFIELD ST,PUTNAM AV/FRANKLIN AV,PUTNAM AV/CLASSON AV,FULTON ST/HUDSON AV,FULTON ST/GRAND  AV,PUTNAM AV/BEDFORD AV,HALSEY ST/MALCOLM X BL,FULTON ST/DUFFIELD ST,FULTON ST/GRAND AV,FULTON ST/FT GREENE PL,HALSEY ST/PATCHEN AV,WYCKOFF AV/JEFFERSON AV,HALSEY ST/STUYVESANT AV,JAY ST/WILLOUGHBY ST,FULTON ST/BOND ST,HALSEY ST/MARCUS GARVEY BL,HALSEY ST/TOMPKINS AV,FULTON ST/ST JAMES PL,HALSEY ST/MARCY AV,FULTON ST/S PORTLAND AV,HALSEY ST/WYCKOFF AV,HALSEY ST/LEWIS AV,HALSEY ST/WILSON AV,HALSEY ST/CENTRAL AV,CADMAN PZ W/TILLARY ST,HALSEY ST/NOSTRAND AV,HALSEY ST/BROADWAY,HALSEY ST/BUSHWICK AV,Jackie Gleason Depot (JG)
HALSEY ST/HOWARD AV,,,,,,,,,,,,,,,,,,0.226 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,0.236 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/ADELPHI ST,,,,,,0.281 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADMAN PLZ W/MONTAGUE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,
JAY ST/TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,
JORALEMON ST/COURT ST,,,0.646 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/GREENE AV,,,,,,,0.23 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/S ELLIOTT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,11.413 to depot of B26
FULTON ST/CLINTON AV,,,,,,,,,0.185 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,0.28 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,
WYCKOFF AV / PALMETTO ST,,,,,,,,,,,,,,0.051 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
