,AV R/GERRITSEN AV,AV R/E 28 ST,FLATBUSH AV/AV T,AV R/E 22 ST,E 16 ST/QUENTIN RD,AV R/E 18 ST,E 36 ST/FILLMORE AV,QUENTIN RD/E 19 ST,E 36 ST/AV S,AV S/COLEMAN ST,AV R/E 35 ST,AV R/BURNETT ST,FLATBUSH AV/AV U,AV R/MARINE PY,AV R/E 27 ST,E 16 ST/AV R,AV R/E 36 ST,AV R/OCEAN AV,AV S/E 38 ST,AV R/E 32 ST,AV S/KIMBALL ST,AV R/E 33 ST,E 36 ST/AV R,AV R/E 34 ST,AV R/NOSTRAND AV,AV S/RYDER ST,AV R/BEDFORD AV,AV R/E 23 ST,AV R/MADISON PL,QUENTIN RD/E 16 ST,AV R/STUART ST,AV R/E 31 ST,AV S/FLATBUSH AV,Jackie Gleason Depot (JG)
AV R/GERRITSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,0.177 MIDWOOD KINGS HWY STATION,,,,,,0.071 KINGS PLAZA,,,
AV R/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 MIDWOOD KINGS HWY STATION,,,,,,,
FLATBUSH AV/AV T,,,,,,,,,,,,,3.055 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,0.258 MIDWOOD KINGS HWY STATION,
AV R/E 22 ST,,,,,,,,,,,,,,,,,,0.162 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,
E 16 ST/QUENTIN RD,,,,,,,,,,,,,,,,0.237 KINGS PLAZA,,,,,,,,,,,,,,,,,,22.75 to depot of B2
AV R/E 18 ST,,,,,,,,,,,,,,,,,,0.211 KINGS PLAZA,,,,,,,,,,,,,,,,
E 36 ST/FILLMORE AV,,,,,,,,,0.237 KINGS PLAZA,,,,,,,,,,,,,,0.238 MIDWOOD KINGS HWY STATION,,,,,,,,,,,
QUENTIN RD/E 19 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 MIDWOOD KINGS HWY STATION,,,,
E 36 ST/AV S,,,,,,,0.237 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,0.241 KINGS PLAZA,,,,,,,,
AV S/COLEMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 KINGS PLAZA,
AV R/E 35 ST,,,,,,,,,,,,,,,,,41.167 KINGS PLAZA,,,,,,,,,,,,,,,,,
AV R/BURNETT ST,0.17 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AV U,,,0.29 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/MARINE PY,,,,,,,,,,,,24.008 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,,,
AV R/E 27 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.255 KINGS PLAZA,,,,,,,,,
E 16 ST/AV R,,,,,,0.153 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/E 36 ST,,,,,,,23.494 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/OCEAN AV,,,,,,,,0.394 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,0.22 KINGS PLAZA,,,,,,
AV S/E 38 ST,,,,,,,,,0.161 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/E 32 ST,,,,,,,,,,,,,,23.376 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,
AV S/KIMBALL ST,,,,,,,,,,,,,,,,,,,0.157 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,
AV R/E 33 ST,,,,,,,,,,,0.157 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,
E 36 ST/AV R,,,,,,,,,,,,,,,,,,,,,,,,0.151 MIDWOOD KINGS HWY STATION,,,,,,,,,,
AV R/E 34 ST,,,,,,,,,,,,,,,,,,,,0.16 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,
AV R/NOSTRAND AV,0.356 KINGS PLAZA,0.153 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV S/RYDER ST,,,,,,,,,,0.158 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,
AV R/BEDFORD AV,,,,0.229 MIDWOOD KINGS HWY STATION,,,,,,,,,,,0.15 KINGS PLAZA,,,,,,,,,,,,,,,,,,,
AV R/E 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 KINGS PLAZA,,,,,,,
AV R/MADISON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 KINGS PLAZA,,
QUENTIN RD/E 16 ST,,,,,0.04 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/STUART ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 KINGS PLAZA,,,,,
AV R/E 31 ST,,,,,,,,,,,,,,,,,,,,,,0.159 KINGS PLAZA,,,,,,,,,,,,
AV S/FLATBUSH AV,,,0.57 KINGS PLAZA,,,,,,,,,,,,,,,,,,0.24 MIDWOOD KINGS HWY STATION,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,9.088 KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
