,GERRITSEN AV/AV V,AV R/E 27 ST,GERRITSEN AV/WHITNEY AV,AV R/OCEAN AV,GERRITSEN AV/AV T,GERRITSEN AV/SEBA AV,QUENTIN RD/E 16 ST,AV R/E 18 ST,E 16 ST/AV R,GERRITSEN AV/AV U,AV R/BEDFORD AV,GERRITSEN AV/BIJOU AV,GERRITSEN AV/COYLE ST,GERRITSEN AV/CHANNEL AV,GERRITSEN AV/EVERETT AV,GERRITSEN AV/BARTLETT PL,GERRITSEN AV/CYRUS AV,GERRITSEN AV/FORD ST,AV R/E 22 ST,GERRITSEN AV/GERRITSEN BEACH,AV R/GERRITSEN AV,GERRITSEN AV/AV X,AV R/NOSTRAND AV,GERRITSEN AV/GOTHAM AV,GERRITSEN AV/BATCHELDER ST,AV R/E 23 ST,GERRITSEN AV/FILLMORE AV,GERRITSEN AV/LOIS AV,AV R/E 28 ST,GERRITSEN AV/AV S,GERRITSEN AV/GERRITSEN BCH,QUENTIN RD/E 19 ST,Jackie Gleason Depot (JG)
GERRITSEN AV/AV V,,,0.239 GERRITSEN BCH,,,,,,,0.304 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,,
AV R/E 27 ST,,,,,,,,,,,,,,,,,,,,,,,0.255 GERRITSEN BCH,,,,,,,,,,
GERRITSEN AV/WHITNEY AV,0.252 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,0.356 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,
AV R/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 GERRITSEN BCH,,,,,,0.394 MIDWOOD KINGS HIGHWAY STA,
GERRITSEN AV/AV T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41 MIDWOOD KINGS HIGHWAY STA,,,
GERRITSEN AV/SEBA AV,,,,,,,,,,,,,,,,,0.181 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,0.253 GERRITSEN BCH,,,,,
QUENTIN RD/E 16 ST,,,,,,,,,0.277 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,,,,19.463 to depot of B31
AV R/E 18 ST,,,,0.211 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 16 ST/AV R,,,,,,,,0.153 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,,,,,
GERRITSEN AV/AV U,0.531 GERRITSEN BCH,,,,0.164 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/BEDFORD AV,,0.15 GERRITSEN BCH,,,,,,,,,,,,,,,,,0.229 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,
GERRITSEN AV/BIJOU AV,,,,,,,,,,,,,,0.498 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,
GERRITSEN AV/COYLE ST,,,,,,,,,,0.617 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,,,
GERRITSEN AV/CHANNEL AV,,,,,,,,,,,,,,,0.403 GERRITSEN BCH,,,,,,,1.644 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,
GERRITSEN AV/EVERETT AV,,,,,,,,,,,,,,0.262 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,0.189 GERRITSEN BCH,,,,,,,,,
GERRITSEN AV/BARTLETT PL,,,,,,,,,,,,,,,,,0.227 GERRITSEN BCH,,,,,,,0.098 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,
GERRITSEN AV/CYRUS AV,,,,,,0.271 GERRITSEN BCH,,,,,,,,,,0.135 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,
GERRITSEN AV/FORD ST,,,,,,,,,,,,,0.17 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,
AV R/E 22 ST,,,,0.162 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERRITSEN AV/GERRITSEN BEACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98 MIDWOOD KINGS HIGHWAY STA,,,,,
AV R/GERRITSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,0.311 GERRITSEN BCH,,,,,,,,
GERRITSEN AV/AV X,,,0.951 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV R/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,0.356 GERRITSEN BCH,,,,,,,,0.153 MIDWOOD KINGS HIGHWAY STA,,,,
GERRITSEN AV/GOTHAM AV,,,,,,,,,,,,,,,0.191 MIDWOOD KINGS HIGHWAY STA,0.573 GERRITSEN BCH,,,,,,,,,,,,,,,,,
GERRITSEN AV/BATCHELDER ST,,,,,,,,,,,,,,,,,,0.166 GERRITSEN BCH,,,,,,,,,,,,,,,
AV R/E 23 ST,,,,,,,,,,,0.171 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,,
GERRITSEN AV/FILLMORE AV,,,,,,,,,,,,,,,,,,,,,,,0.286 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,
GERRITSEN AV/LOIS AV,,,,,,0.169 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,,,,1.271 GERRITSEN BCH,,
AV R/E 28 ST,,,,,,,,,,,0.252 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,
GERRITSEN AV/AV S,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408 MIDWOOD KINGS HIGHWAY STA,,,,,,
GERRITSEN AV/GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,0.0 GERRITSEN BCH,,,,,,,,,,,,,
QUENTIN RD/E 19 ST,,,,,,,0.245 MIDWOOD KINGS HIGHWAY STA,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,9.049 GERRITSEN BCH,,,,,,,,,,,,,,,,,,,,,,,,,,
