,WYTHE AV/N 6 ST,KENT AV/N 9 ST,MC GUINNESS BL/FREEMAN ST,BROADWAY/WYTHE AV,KENT AV/METROPOLITAN AV,KENT AV/N 12 ST,GREEN ST/MANHATTAN AV,WYTHE AV/N 12 ST,BROADWAY/KENT AV,KENT AV/S 1 ST,BROADWAY/BEDFORD AV,KENT AV/S 6 ST,21 ST/JACKSON AV.,FRANKLIN ST/NOBLE ST,FRANKLIN ST/INDIA ST,21 ST/45TH ROAD,MCGUINNESS BL/FREEMAN ST,FRANKLIN ST/MESEROLE AV,44 DR/21 ST,FREEMAN ST/MANHATTAN AV,BROADWAY/ROEBLING ST,FRANKLIN ST/GREEN ST,11 ST/JACKSON AV,WYTHE AV/METROPOLITAN AV,WYTHE AV/N 9 ST,FRANKLIN ST/GREENPOINT AV,WYTHE AV/S 3 ST,11 ST/48 AV,11 ST/46 AV,KENT AV/S 3 ST,KENT AV/N 6 ST,WYTHE AV/S 5 ST,FRANKLIN ST/CALYER ST,11 ST/45 AV,WYTHE AV/S 1 ST,Jackie Gleason Depot (JG)
WYTHE AV/N 6 ST,,,,,,,,,,,,,,,,,,,,,,,,0.316 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,
KENT AV/N 9 ST,,,,,,0.239 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC GUINNESS BL/FREEMAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.838 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,
BROADWAY/WYTHE AV,,,,,,,,,0.308 LONG ISLAND CITY 44DR - 21 ST,,0.691 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,
KENT AV/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 LONG ISLAND CITY 44DR - 21 ST,,,,,
KENT AV/N 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473 LONG ISLAND CITY 44DR - 21 ST,,,
GREEN ST/MANHATTAN AV,,,0.29 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/N 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,
BROADWAY/KENT AV,,,,,,,,,,,,0.163 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,,,,
KENT AV/S 1 ST,,,,,0.303 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/BEDFORD AV,,,,0.245 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,0.319 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,
KENT AV/S 6 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 LONG ISLAND CITY 44DR - 21 ST,,,,,,
21 ST/JACKSON AV.,,,,,,,,,,,,,,,,,,,,,,,0.373 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,
FRANKLIN ST/NOBLE ST,,,,,,,,,,,,,,,,,,0.329 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,0.16 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,
FRANKLIN ST/INDIA ST,,,,,,,0.441 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,0.799 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,
21 ST/45TH ROAD,,,,,,,,,,,,,0.244 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,
MCGUINNESS BL/FREEMAN ST,,,,,,,,,,,,,,,,,,,,0.194 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,
FRANKLIN ST/MESEROLE AV,,,,,,,,0.456 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44 DR/21 ST,,,,,,,,,,,,,,,,0.186 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,
FREEMAN ST/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,0.35 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,
BROADWAY/ROEBLING ST,,,,,,,,,,,0.31 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,15.503 to depot of B32
FRANKLIN ST/GREEN ST,,,,,,,,,,,,,,,0.175 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,
11 ST/JACKSON AV,,,,,,,,,,,,,,,,,0.975 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,
WYTHE AV/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 WILLIAMSBURG BRIDGE PLAZA,
WYTHE AV/N 9 ST,0.238 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN ST/GREENPOINT AV,,,,,,,,,,,,,,0.16 WILLIAMSBURG BRIDGE PLAZA,0.239 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/S 3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 WILLIAMSBURG BRIDGE PLAZA,,,,
11 ST/48 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.074 LONG ISLAND CITY 44DR - 21 ST,,,,,,,
11 ST/46 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 LONG ISLAND CITY 44DR - 21 ST,,
KENT AV/S 3 ST,,,,,,,,,,0.18 LONG ISLAND CITY 44DR - 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
