,AV Z/CONEY ISLAND AV,W 37 ST/BAY VIEW AV,OCEAN PKY/SHORE PKY,SURF AV/W 19 ST,OCEAN PY/WEST AV,W 33 ST/MERMAID AV,SURF AV/W 25 ST,NOSTRAND AV/AV Z,AV Z/OCEAN AV,SURF AV/W 28 ST,AV Z/OCEAN PY,SURF AV/W 27 ST,AV Z/E 22 ST,SURF AV/W 32 ST,NOSTRAND AV/AV V,NOSTRAND AV/GRAVESEND NECK RD,NEPTUNE AV/OCEAN PY,W 5 ST/W BRIGHTON AV,AV Z/E 28 ST,AV Z/E 18 ST,SURF AV/W 10 ST,AV Z/E 13 ST,SURF AV/STILLWELL AV,OCEAN PY/SHORE PY,W 33 ST/BAY VIEW AV,W 33 ST/NEPTUNE AV,SURF AV/W 6 ST,NOSTRAND AV/AV W,AV Z/E 19 ST,SURF AV/W 23 ST,W 37 ST/NEPTUNE AV,NOSTRAND AV/AV X,W 37 ST/MERMAID AV,W 37 ST/CANAL AV,SURF AV/W 37 ST,SURF AV/W 5 ST,SURF AV /W 17 ST,W 33 ST/SURF AV,NOSTRAND AV/AV Y,SURF AV/W 33 ST,W 5 ST/SEA BREEZE AV,SURF AV/W 29 ST,AV Z/BEDFORD AV,GRAVESEND NECK RD/EAST 29 ST,W 5 ST/NEPTUNE AV,SURF AV/W 21 ST,SURF AV/W 35 ST,AV Z/HUBBARD ST,BAYVIEW AV/W 36 ST,SURF AV/W 16 ST,AV Z/E 7 ST,AV Z/E 15 ST,AV Z/E 12 ST,Jackie Gleason Depot (JG)
AV Z/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 CONEY ISLAND W 37 ST,,,,,0.155 SHEEPSHEAD BAY AVENUE U,
W 37 ST/BAY VIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 SHEEPSHEAD BAY AVENUE U,,,,,
OCEAN PKY/SHORE PKY,,,,,0.381 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 19 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 SHEEPSHEAD BAY AVENUE U,,,,
OCEAN PY/WEST AV,,,,,,,,,,,,,,,,,0.174 CONEY ISLAND W 37 ST,,,,,,,0.434 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 33 ST/MERMAID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,
SURF AV/W 25 ST,,,,,,,,,,,,0.101 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,0.206 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV Z,,,,,,,,,,,,,,,,,,,0.176 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,0.463 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,
AV Z/OCEAN AV,,,,,,,,,,,,,0.271 SHEEPSHEAD BAY AVENUE U,,,,,,,0.215 CONEY ISLAND W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURF AV/W 28 ST,,,,,,,0.202 SHEEPSHEAD BAY AVENUE U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
