,GRANDVIEW AV/METROPOLITAN AV,METROPOLITAN AV/STARR ST,ADAMS ST/BKLYN SUPREME CRT,DE KALB AV/RYERSON AV,LAFAYETTE AV/VANDERBILT AV,LAFAYETTE AV/GRAND AV,WOODWARD AV/STANHOPE ST,DE KALB AV/THROOP AV,LAFAYETTE AV/FRANKLIN AV,FULTON ST/SMITH ST,DE KALB AV/LEWIS AV,LAFAYETTE AV/MARCY AV,DE KALB AV/CARLTON AV,STANHOPE ST/ONDERDONK AV,STARR ST/METROPOLITAN AV,FULTON ST/BOND ST,DE KALB AV/BEDFORD AV,DE KALB AV/BOND ST,DE KALB AV/BROADWAY,DE KALB AV/MARCY AV,LAFAYETTE AV/S PORTLAND AV,KOSSUTH PL/BUSHWICK AV,JORALEMON ST/COURT ST,DE KALB AV/IRVING AV,FULTON ST/HOYT ST,STARR ST/WOODWARD AV,STANHOPE ST/FAIRVIEW AV,DE KALB AV/WILSON AV,TILLARY ST/CADMAN PZ E,FULTON ST/ROCKWELL PL,SENECA AV/GATES AV,DE KALB AV/MALCOLM X BL,DE KALB AV/MYRTLE AV,FULTON ST/JAY ST,DE KALB AV/VANDERBILT AV,LAFAYETTE AV/CARLTON AV,DE KALB AV/FT GREENE PL,CADMAN PLZ W/TILLARY ST,LAFAYETTE AV/PATCHEN AV,STANHOPE ST/GRANDVIEW AV,DE KALB AV/ST NICHOLAS AV,DE KALB AV/TOMPKINS AV,FULTON ST/DUFFIELD ST,LAFAYETTE AV/NOSTRAND AV,LAFAYETTE AV/WASHINGTON AV,LAFAYETTE AV/STUYVESANT AV,SENECA AV/PALMETTO ST,STANHOPE ST/WOODWARD AV,SENECA AV/DE KALB AV,LAFAYETTE AV/MARCUS GARVEY BL,LAFAYETTE AV/MALCOLM X BL,DE KALB AV/CLASSON AV,DE KALB AV/NOSTRAND AV,DE KALB AV/FLATBUSH AV EX,FULTON ST/FLATBUSH AV EXT,DE KALB AV/WYCKOFF AV,LAFAYETTE AV/THROOP AV,DE KALB AV/EVERGREEN AV,SENECA AV/CORNELIA ST,DE KALB AV/SENECA AV,ONDERDONK AV/CATALPA AV,DE KALB AV/MARCUS GARVEY BL,DE KALB AV/WASHINGTON AV,SENECA AV/STOCKHOLM ST,FULTON ST/LAFAYETTE AV,CADMAN PLZ W/MONTAGUE ST,DE KALB AV/KNICKERBOCKER AV,DE KALB AV/STUYVESANT AV,LAFAYETTE AV/TOMPKINS AV,SENECA AV/BLEECKER ST,DE KALB AV/FRANKLIN AV,LAFAYETTE AV/CLASSON AV,DE KALB AV/S PORTLAND AV,LAFAYETTE AV/LEWIS AV,LAFAYETTE AV/BEDFORD AV,Jackie Gleason Depot (JG)
GRANDVIEW AV/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.611 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN AV/STARR ST,0.113 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMS ST/BKLYN SUPREME CRT,,,,,,,,,,0.471 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/RYERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,
LAFAYETTE AV/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/GRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 RIDGEWOOD METRO AV,,,,
WOODWARD AV/STANHOPE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 RIDGEWOOD METRO AV,
FULTON ST/SMITH ST,,,,,,,,,,,,,,,,,,,,,,,,,1.52 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/LEWIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,
LAFAYETTE AV/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 RIDGEWOOD METRO AV,,,,,,,
DE KALB AV/CARLTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 DOWNTOWN BKLN TILLARY ST,,,
STANHOPE ST/ONDERDONK AV,,,,,,,0.159 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARR ST/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.153 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,
FULTON ST/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 DOWNTOWN BKLN TILLARY ST,,,,,
DE KALB AV/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.252 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/S PORTLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOSSUTH PL/BUSHWICK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,
JORALEMON ST/COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,
DE KALB AV/IRVING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 RIDGEWOOD METRO AV,,,,,,,,,,,0.219 DOWNTOWN BKLN TILLARY ST,,,,,,,,,
FULTON ST/HOYT ST,,,,,,,,,,,,,,,,1.063 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARR ST/WOODWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.401 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,
STANHOPE ST/FAIRVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.754 DOWNTOWN BKLN TILLARY ST,,,,,,
DE KALB AV/WILSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 RIDGEWOOD METRO AV,,,,,,,,,
TILLARY ST/CADMAN PZ E,,,0.49 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/ROCKWELL PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 RIDGEWOOD METRO AV,,,,,,,,,,,
SENECA AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.239 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 DOWNTOWN BKLN TILLARY ST,,,,,,,,
DE KALB AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,
FULTON ST/JAY ST,,,,,,,,,,,,,,,,,,,,,,,0.553 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/VANDERBILT AV,,,,,,,,,,,,,0.211 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/CARLTON AV,,,,,0.248 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/FT GREENE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,
CADMAN PLZ W/TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/PATCHEN AV,,,,,,,,,,,,,,,,,,,,,,0.216 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANHOPE ST/GRANDVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 DOWNTOWN BKLN TILLARY ST,,,,0.294 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,
DE KALB AV/TOMPKINS AV,,,,,,,,,,,,,,,,,,,,0.242 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/DUFFIELD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/NOSTRAND AV,,,,,,,,,,,,0.279 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/WASHINGTON AV,,,,,,0.255 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/STUYVESANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,
SENECA AV/PALMETTO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,
STANHOPE ST/WOODWARD AV,,,,,,,,,,,,,,0.159 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENECA AV/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/MARCUS GARVEY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.555 RIDGEWOOD METRO AV,,
LAFAYETTE AV/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/CLASSON AV,,,,1.032 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/NOSTRAND AV,,,,,,,,,,,,,,,,,0.348 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/FLATBUSH AV EX,,,,,,,,,,,,,,,,,,0.12 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.534 to depot of B38
FULTON ST/FLATBUSH AV EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/WYCKOFF AV,,,,,,,,,,,,,,,,,,,,,,,,0.238 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,,,,0.146 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,
DE KALB AV/EVERGREEN AV,,,,,,,,,,,,,,,,,,,0.334 DOWNTOWN BKLN TILLARY ST,,,,,,,,,,,,,,0.271 RIDGEWOOD METRO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
