,AV U/E 35 ST,AV U/E 33 ST,AV U/FORD ST,AV U/E 27 ST,AV U/E 18 ST,AV U/E 66 ST,AV U/BURNETT ST,25 AV/84 ST,25 AV/HARWAY AV,AV U/E 56 ST,AV U/OCEAN AV,AV U/KIMBALL ST,AV U/W 9 ST,AV U/BEDFORD AV,AV U/E 71 ST,AV U/E 15 ST,AV U/E 37 ST,AV U/W 10 ST,AV U/W 8 ST,25 AV/BENSON AV,AV U/E 2 ST,AV U/MC DONALD AV,AV U/E 59 ST,AV U/VAN SICKLEN ST,AV U/E 57 ST,AV U/BATCHELDER ST,AV U/FLATBUSH AV,AV U/E 16 ST,86 ST/STILLWELL AV,AV U/E 38 ST,AV U/E 69 ST,AV U/E 28 ST,AV U/OCEAN PY,STILLWELL AV/85 ST,AV U/COYLE ST,AV U/WEST ST,AV U/W 5 ST,AV U/E 1 ST,AV U/HENDRICKSON ST,AV U/BROWN ST,AV U/E 13 ST,AV U/W 12 ST,AV U/COLEMAN ST,AV U/E 4 ST,AV U/NOSTRAND AV,AV U/W 7 ST,25 AV/86 ST,25 AV/BATH AV,AV U/CONEY ISLAND AV,AV U/MILL AV,AV U/E 54 ST,AV U/E 23 ST,AV U/E 5 ST,AV U/W 11 ST,AV U/E 64 ST,AV U/GERRITSEN AV,AV U/BRAGG ST,AV U/E 8 ST,AV U/STUART ST,Jackie Gleason Depot (JG)
AV U/E 35 ST,,40.312 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,0.154 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 33 ST,34.259 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.627 BENSONHURST HARWAY AV via AV U,
AV U/FORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 BERGEN BEACH E 71 ST via AV U,,,
AV U/E 27 ST,,,,,,,,,,,,,,0.163 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 18 ST,,,,,,,,,,,0.187 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,0.164 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,0.35 BENSONHURST HARWAY AV via AV U,,,,,,,,,,
AV U/BURNETT ST,,34.003 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 AV/84 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,
25 AV/HARWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,
AV U/E 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.166 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 BENSONHURST HARWAY AV via AV U,,,,,,,,,
AV U/OCEAN AV,,,,,0.187 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 BERGEN BEACH E 71 ST via AV U,,,,,,,,
AV U/KIMBALL ST,,,,,,,,,,,,,,,,,0.214 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/W 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,
AV U/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,0.162 BENSONHURST HARWAY AV via AV U,,,,,,,,
AV U/E 71 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,
AV U/E 37 ST,0.154 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/W 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,
AV U/W 8 ST,,,,,,,,,,,,,,,,,,0.157 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 AV/BENSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 BERGEN BEACH E 71 ST via AV U,0.256 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,
AV U/E 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,,,,,,,,,,,
AV U/MC DONALD AV,,,,,,,,,,,,,,,,,,,,,,,,0.14 BENSONHURST HARWAY AV via AV U,,,,,,,,,,,,,,0.232 BERGEN BEACH E 71 ST via AV U,,,,,,,,,,,,,,,,,,,,,,
