,LIVINGSTON ST/NEVINS ST,FLATBUSH AV/E 46 ST,FLATBUSH AV/STERLING PL,FLATBUSH AV/AV K,FLATBUSH AV/ALBEMARLE RD,FLATBUSH AV/8 AV,FLATBUSH AV/PROSPECT PARK ENT,FLATBUSH AV/DORCHESTER RD,FLATBUSH AV/E 35 ST,VETERANS AV/E 71 ST,FLATBUSH AV/ST MARKS AV,AV N/E 55 ST,FLATBUSH AV/AV D,GRAND ARMY PLZ/FLATBUSH AV,AV N/E 53 ST,AV N/E 45 ST,AV N/SCHENECTADY AV,AV N/E 48 ST,AV N/E 56 ST,FLATBUSH AV/DITMAS AV,AV N/E 54 ST,FLATBUSH AV/KINGS PLAZA,FLATBUSH AV/UTICA AV,FLATBUSH AV/HAWTHORNE ST,FLATBUSH AV/CATON AV,FLATBUSH AV/LINCOLN RD,VETERANS AV/AV T,FLATBUSH AV/CHESTER CT,FLATBUSH AV/TILDEN AV,AV N/E 58 ST,FLATBUSH AV/CORTELYOU RD,CADMAN PLAZA WEST/JOHNSON ST,FLATBUSH AV/NOSTRAND AV,VETERANS AV/RALPH AV,FLATBUSH AV/CLARKSON AV,FLATBUSH AV/GRAND ARMY PZ,FLATBUSH AV/AV S,FLATBUSH AV/GRAND ARMY PLZ,AV N/E 52 ST,AV N/RALPH AV,FLATBUSH AV/FOSTER AV,FLATBUSH AV/PARK PL,FLATBUSH AV/TROY AV,FLATBUSH AV/PARK ENTRANCE,FLATBUSH AV/PACIFIC ST,FLATBUSH AV/FARRAGUT RD,FLATBUSH AV/KINGS HWY,LIVINGSTON ST/SMITH ST,FLATBUSH AV/PLAZA ST E,AV N/E 57 ST,FLATBUSH AV/AV T,JORALEMON ST/COURT ST,FLATBUSH AV/PARKSIDE AV,LIVINGSTON ST/HOYT ST,FLATBUSH AV/DEAN ST,VETERANS AV/E 66 ST,FLATBUSH AV/ROGERS AV,FLATBUSH AV/AV P,FLATBUSH AV/CHURCH AV,LIVINGSTON ST/BOND ST,VETERANS AV/E 64 ST,VETERANS AV/E 69 ST,ADAMS ST/BKLYN SUPREME CRT,FLATBUSH AV/BROOKLYN AV,FLATBUSH AV/AURELIA CT,FLATBUSH AV/KINGS HY,FLATBUSH AV/GLENWOOD RD,FLATBUSH AV/CLARENDON RD,FLATBUSH AV/BERGEN ST,FLATBUSH AV/OCEAN AV,FLATBUSH AV/BEVERLY RD,FLATBUSH AV/ATLANTIC AV,FLATBUSH AV/E 48 ST,FLATBUSH AV/AV U,FLATBUSH AV/EMPIRE BL,CADMAN PLZ W/MONTAGUE ST,CADMAN PZ W/JOHNSON ST,VETERANS AV/E 65 ST,AV N/UTICA AV,FLATBUSH AV/FILLMORE AV,FLATBUSH AV/AV I,FLATBUSH AV/E 29 ST,FLATBUSH AV/MIDWOOD ST,E 70 ST/VETERANS AV,AV N/E 46 ST,FLATBUSH AV/QUENTIN RD,FLATBUSH AV/AV R,FLATBUSH AV/FLATLANDS AV,Jackie Gleason Depot (JG)
LIVINGSTON ST/NEVINS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,0.558 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,
FLATBUSH AV/E 46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,
FLATBUSH AV/STERLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/AV K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,0.201 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/ALBEMARLE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.102 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,
FLATBUSH AV/8 AV,,,,,,,,,,,,,,0.066 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/PROSPECT PARK ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/DORCHESTER RD,,,,,,,,,,,,,,,,,,,,1.441 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/E 35 ST,,,,0.36 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 DOWNTOWN BKLYN CADMAN PLAZA via FLATBUSH,,,,,,,,
VETERANS AV/E 71 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.434 KINGS PLAZA via FLATBUSH,,,,,,,,,,,,,,,
