,ROCKAWAY PKWY/GLENWOOD RD,ROCKAWAY PY/AV M,ROCKAWAY PY/SHORE PY SR N,ROCKAWAY PY/SCHENCK ST,ROCKAWAY PY/FLATLANDS AV,ROCKAWAY PY/AV K,ROCKAWAY PY/AV J,ROCKAWAY PKY /TRUCKLEMANS LN,ROCKAWAY PKY/GLENWOOD RD,ROCKAWAY PKY/SKIDMORE AV,ROCKAWAY PY/AV N,ROCKAWAY PY/SEAVIEW AV,ROCKAWAY PY/AV L,Jackie Gleason Depot (JG)
ROCKAWAY PKWY/GLENWOOD RD,,,,,0.246 CANARSIE PIER,,,,,,,,,26.069 to depot of B42
ROCKAWAY PY/AV M,,,,,,,,,,,0.267 CANARSIE PIER,,0.433 ROCKAWAY PKY STA,
ROCKAWAY PY/SHORE PY SR N,,,,,,,,,,0.686 ROCKAWAY PKY STA,,,,
ROCKAWAY PY/SCHENCK ST,,,0.0 CANARSIE PIER,,,,,,,,,,,
ROCKAWAY PY/FLATLANDS AV,,,,,,,0.576 CANARSIE PIER,,,,,,,
ROCKAWAY PY/AV K,,,,,,,0.21 ROCKAWAY PKY STA,,,,,,0.874 CANARSIE PIER,
ROCKAWAY PY/AV J,,,,,,0.456 CANARSIE PIER,,0.148 ROCKAWAY PKY STA,,,,,,
ROCKAWAY PKY /TRUCKLEMANS LN,,,,,,,,,0.313 ROCKAWAY PKY STA,,,,,
ROCKAWAY PKY/GLENWOOD RD,0.0 CANARSIE PIER,,,,,,,,,,,,,
ROCKAWAY PKY/SKIDMORE AV,,,,,,,,,,,,0.223 ROCKAWAY PKY STA,,
ROCKAWAY PY/AV N,,0.731 ROCKAWAY PKY STA,,,,,,,,,,0.259 CANARSIE PIER,,
ROCKAWAY PY/SEAVIEW AV,,,,0.659 CANARSIE PIER,,,,,,,0.448 ROCKAWAY PKY STA,,,
ROCKAWAY PY/AV L,,0.433 CANARSIE PIER,,,,0.271 ROCKAWAY PKY STA,,,,,,,,
Jackie Gleason Depot (JG),9.738 CANARSIE PIER,,,,,,,,,,,,,
