,MANHATTAN AV/INDIA ST,BROOKLYN AV/CARROLL ST,THROOP AV/LAFAYETTE AV,GRAHAM AV/DRIGGS AV,TOMPKINS AV/MARTIN L KING PL,FLUSHING AV/THROOP AV,TOMPKINS AV/HALSEY ST,BROOKLYN AV/MONTGOMERY ST,TOMPKINS AV/FULTON ST,THROOP AV/GREENE AV,MANHATTAN AV/NASSAU AV,TOMPKINS AV/GATES AV,GRAHAM AV/SEIGEL ST,EMPIRE BL/NEW YORK AV,KINGSTON AV/CARROLL ST,THROOP AV/HART ST,TOMPKINS AV/DEKALB AV,GRAHAM AV/SCHOLES ST,EMPIRE BL/BROOKLYN AV,KINGSTON AV/BERGEN ST,EMPIRE BL/BEDFORD AV,TOMPKINS AV/MYRTLE AV,MANHATTAN AV/DRIGGS AV,KINGSTON AV/PROSPECT PL,KINGSTON AV/MONTGOMERY ST,TOMPKINS AV/ELLERY ST,MANHATTAN AV/GREENPOINT AV,TOMPKINS AV/WILLOUGHBY AV,THROOP AV/HALSEY ST,BROOKLYN AV/EASTERN PY,KINGSTON AV/PACIFIC ST,THORNTON ST/THROOP AV,GRAHAM AV/JOHNSON AV,BOX ST/MANHATTAN AV,MANHATTAN AV/CALYER ST,BROOKLYN AV/UNION ST,TOMPKINS AV/PUTNAM AV,THROOP AV/GATES AV,BROOKLYN AV/ST JOHNS PL,MANHATTAN AV/MESEROLE AV,GRAHAM AV/AINSLIE ST,THROOP AV/JEFFERSON AV,MANHATTAN AV/FREEMAN ST,EMPIRE BL/NOSTRAND AV,MANHATTAN AV/NORMAN AV,GRAHAM AV/GRAND ST,THROOP AV/MADISON ST,KINGSTON AV/ATLANTIC AV,BROOKLYN AV/BERGEN ST,BROOKLYN AV/PARK PL,LINCOLN RD/FLATBUSH AV,THROOP AV/MYRTLE AV,TOMPKINS AV/LAFAYETTE AV,EMPIRE BL/LAMONT CT,GRAHAM AV/COOK ST,GRAHAM AV/MEEKER AV,GRAHAM AV/METROPOLITAN AV,EMPIRE BL/WASHINGTON AV,KINGSTON AV/UNION ST,TOMPKINS AV/GREENE AV,BROOKLYN AV/FULTON ST,GRAHAM AV/RICHARDSON ST,MANHATTAN AV/CLAY ST,MANHATTAN AV/EAGLE ST,KINGSTON AV/FULTON ST,GRAHAM AV/BROADWAY,KINGSTON AV/ST JOHNS PL,THROOP AV/MAC DONOUGH ST,DRIGGS AV/LEONARD ST,THROOP AV/PARK AV,GRAHAM AV/ENGERT AV,GRAHAM AV/BAYARD ST,TOMPKINS AV/FLUSHING AV,WASHINGTON AV/EMPIRE BL,EMPIRE BL/ROGERS AV,THROOP AV/DE KALB AV,THROOP AV/FULTON ST,BROOKLYN AV/ATLANTIC AV,GRAHAM AV/JACKSON ST,Jackie Gleason Depot (JG)
MANHATTAN AV/INDIA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 GREENPOINT BOX ST,,,,,,,,,,,,,,,,
BROOKLYN AV/CARROLL ST,,,,,,,,0.164 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THROOP AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 GREENPOINT BOX ST,,,,
GRAHAM AV/DRIGGS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 GREENPOINT BOX ST,,,,,,,,,,,
TOMPKINS AV/MARTIN L KING PL,,,,,,,,,,,,,,,,,,,,,,0.132 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUSHING AV/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 GREENPOINT BOX ST,,,,,,,,,,,,,,
TOMPKINS AV/HALSEY ST,,,,,,,,,0.277 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN AV/MONTGOMERY ST,,,,,,,,,,,,,,,,,,,0.1 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.733 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,
THROOP AV/GREENE AV,,,0.163 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/NASSAU AV,,,,,,,,,,,,,,,,,,,,,,,0.193 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,0.201 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/SEIGEL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,0.238 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,
EMPIRE BL/NEW YORK AV,,,,,,,,,,,,,,,,,,,0.244 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,0.382 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGSTON AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,
THROOP AV/HART ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAHAM AV/SCHOLES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,0.32 GREENPOINT BOX ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
