,NOSTRAND AV/CLARKSON AV,ROGERS AV/AV D,NOSTRAND AV/FLATBUSH AV,NOSTRAND AV/AV X,LEE AV/FLUSHING AV,NOSTRAND AV/EMPIRE BL,LEE AV/TAYLOR ST,NOSTRAND AV/LAFAYETTE AV,NOSTRAND AV/NEWKIRK AV,NOSTRAND AV/GATES AV,ROGERS AV/SAINT JOHNS PLACE,SHORE PKWY/KNAPP ST,ROGERS AV/EMPIRE BL,BEDFORD AV/FULTON ST,NOSTRAND AV/AV L,BEDFORD AV/HEWES ST,WILLIAMSBURG BR PLZ/LANE 4,ROGERS AV/CHURCH AV,NOSTRAND AV/AV R,EMMONS AV/NOSTRAND AV,BEDFORD AV/LAFAYETTE AV,ROGERS AV/CLARKSON AV,LEE AV/HEWES ST,SHORE PKY/NOSTRAND AV,BEDFORD AV/GATES AV,KNAPP ST/SHORE PKY,BEDFORD AV/FLUSHING AV,NOSTRAND AV/AV H,NOSTRAND AV/KINGS HY,NOSTRAND AV/CHURCH AV,NOSTRAND AV/FULTON ST,NOSTRAND AV/ST JOHNS PL,BEDFORD AV/TAYLOR ST,NOSTRAND AV/AV U,Jackie Gleason Depot (JG)
NOSTRAND AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,
ROGERS AV/AV D,,,,,,,,,,,,,,,,,,1.093 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,,,,,,,,
NOSTRAND AV/FLATBUSH AV,,,,,,,,,,,,,,,1.172 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV X,,,,,,,,,,,,,,,,,,,,,,,,1.389 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,0.711 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,
LEE AV/FLUSHING AV,,,,,,,,1.071 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/EMPIRE BL,0.944 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE AV/TAYLOR ST,,,,,,,,,,,,,,,,,,,,,,,0.484 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,
NOSTRAND AV/LAFAYETTE AV,,,,,,,,,,0.412 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/NEWKIRK AV,,,0.853 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,
ROGERS AV/SAINT JOHNS PLACE,,,,,,,,,,,,,,0.99 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,,,,,,,,,,,,
SHORE PKWY/KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,
ROGERS AV/EMPIRE BL,,,,,,,,,,,1.78 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,0.579 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,
NOSTRAND AV/AV L,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.114 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,0.688 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,
BEDFORD AV/HEWES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.493 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,
WILLIAMSBURG BR PLZ/LANE 4,,,,,,,0.442 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROGERS AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,0.486 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,,,,
NOSTRAND AV/AV R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,0.722 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,
EMMONS AV/NOSTRAND AV,,,,1.155 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,
ROGERS AV/CLARKSON AV,,,,,,,,,,,,,0.951 SBS WLMSBRG BRDG PLZ via NSTRND via RGRS,,,,,,,,,,,,,,,,,,,,,,
LEE AV/HEWES ST,,,,,0.563 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/NOSTRAND AV,,,,,,,,,,,,0.84 SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,
