,BEDFORD AV/GREENE AV,NOSTRAND AV/MARINE PY,NOSTRAND AV/EASTERN PY,NOSTRAND AV/AV P,NEW YORK AV/LINDEN BL,FULTON ST/NEW YORK AV,NEW YORK AV/UNION ST,NEW YORK AV/ST JOHNS PL,BEDFORD AV/GATES AV,SHORE PKY/NOSTRAND AV,NEW YORK AV/ATLANTIC AV,NEW YORK AV/PACIFIC ST,NOSTRAND AV/AV J,NOSTRAND AV/GLENWOOD RD,LEE AV/FLUSHING AV,BEDFORD AV/HEWES ST,NOSTRAND AV/CLARENDON RD,NOSTRAND AV/BERGEN ST,NOSTRAND AV/LAFAYETTE AV,NOSTRAND AV/CLARKSON AV,NOSTRAND AV/FARRAGUT RD,NOSTRAND AV/QUENTIN RD,NOSTRAND AV/LEFFERTS AV,NEW YORK AV/MONTGOMERY ST,NOSTRAND AV/CARROLL ST,NEW YORK AV/SNYDER AV,BEDFORD AV/MYRTLE AV,NOSTRAND AV/LINDEN BL,NOSTRAND AV/WILLOUGHBY AV,NEW YORK AV/CARROLL ST,BEDFORD AV/PARK AV,NEW YORK AV/TILDEN AV,NOSTRAND AV/AV Z,NEW YORK AV/PROSPECT PL,NEW YORK AV/CLARENDON RD,NOSTRAND AV/MYRTLE AV,NOSTRAND AV/ST JOHNS PL,NOSTRAND AV/GERRITSEN AV,NEW YORK AV/STERLING PL,NOSTRAND AV/AV S,NOSTRAND AV/RUTLAND RD,NOSTRAND AV/HAWTHORNE ST,EMMONS AV/BROWN ST,NOSTRAND AV/SHORE PY,NOSTRAND AV/AV X,LEE AV/HEWES ST,NEW YORK AV/FARRAGUT RD,NEW YORK AV/BEVERLY RD,NEW YORK AV/CLARKSON AV,NEW YORK AV/WINTHROP ST,NEW YORK AV/EASTERN PY,NOSTRAND AV/AV I,BEDFORD AV/FLUSHING AV,BEDFORD AV/TAYLOR ST,NEW YORK AV/EMPIRE BL,NOSTRAND AV/PACIFIC ST,NOSTRAND AV/MAPLE ST,NOSTRAND AV/TILDEN AV,NOSTRAND AV/AV L,NOSTRAND AV/FULTON ST,NEW YORK AV/FOSTER AV,SHORE PKY/BRIGHAM ST,NOSTRAND AV/AV M,NOSTRAND AV/EMPIRE BL,NOSTRAND AV/SNYDER AV,NEW YORK AV/LENOX RD,NEW YORK AV/MIDWOOD ST,NOSTRAND AV/PUTNAM AV,NOSTRAND AV/CHURCH AV,NOSTRAND AV/AV T,FARRAGUT RD/NOSTRAND AV,BEDFORD AV/FULTON ST,NEW YORK AV/AV D,NOSTRAND AV/AV V,NOSTRAND AV/AV U,EMMONS AV/BRIGHAM ST,LEE AV/TAYLOR ST,NEW YORK AV/BERGEN ST,SHORE PKY/BROWN ST,WILLIAMSBURG BR PLZ/LANE 4,NOSTRAND AV/AV K,EMMONS AV/NOSTRAND AV,NOSTRAND AV/BEVERLY RD,NOSTRAND AV/NEWKIRK AV,NOSTRAND AV/AV Y,NOSTRAND AV/MONTGOMERY ST,BEDFORD AV/PUTNAM AV,NOSTRAND AV/KOSCIUSKO ST,SHORE PKY/COYLE ST,NOSTRAND AV/FLATBUSH AV,NOSTRAND AV/AV N,NOSTRAND AV/PROSPECT PL,BEDFORD AV/DE KALB AV,NOSTRAND AV/GREENE AV,NOSTRAND AV/VOORHIES AV,NOSTRAND AV/KINGS HY,BEDFORD AV/HANCOCK ST,NOSTRAND AV/HANCOCK ST,NEW YORK AV/CHURCH AV,NEW YORK AV/EAST NEW YORK AV,NOSTRAND AV/AV W,NEW YORK AV/FENIMORE ST,BEDFORD AV/LAFAYETTE AV,BEDFORD AV/WILLOUGHBY AV,NOSTRAND AV/PARK AV,FULTON ST/NOSTRAND AV,EMMONS AV/FORD ST,KNAPP ST/SHORE PKY,NOSTRAND AV/FOSTER AV,NOSTRAND AV/AV R,NOSTRAND AV/GATES AV,Jackie Gleason Depot (JG)
BEDFORD AV/GREENE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 FLUSHING AV via NOSTRAND,,,,,,,,,
NOSTRAND AV/MARINE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,
NOSTRAND AV/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,0.235 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV P,,6.674 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,0.618 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.851 to depot of B44
FULTON ST/NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 FLUSHING AV via NOSTRAND,,,,,,
NEW YORK AV/UNION ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/GATES AV,0.247 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/ATLANTIC AV,,,,,,0.223 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/PACIFIC ST,,,,,,,,,,,0.081 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
