,ST JOHNS PL/SCHENECTADY AV,ST JOHNS PL/BUFFALO AV,LIVINGSTON ST/SMITH ST,FLATBUSH AV/STATE ST,STERLING PL/CLASSON AV,FLATBUSH AV/ATLANTIC AV,RALPH AV/ST JOHNS PL,ATLANTIC AV/VANDERBILT AV,LIVINGSTON ST/ COURT ST,ST JOHNS PL/FRANKLIN AV,RALPH AV/STERLING PL,ST JOHNS PL/ROGERS AV,ST JOHNS PL/BROOKLYN AV,ATLANTIC AV/CARLTON AV,WASHINGTON AV/DEAN ST,ST JOHNS PL/TROY AV,LIVINGSTON ST/HOYT ST,ST JOHNS PL/WASHINGTON AV,ST JOHNS PL/ALBANY AV,WASHINGTON AV/PACIFIC ST,ST JOHNS PL/BEDFORD AV,ATLANTIC AV/WAVERLY AV,ST JOHNS PL/ROCHESTER AV,ST MARKS AV/BUFFALO AV,STERLING PL/WASHINGTON AV,WASHINGTON AV/BERGEN ST,ST JOHNS PL/KINGSTON AV,ATLANTIC AV/S PORTLAND AV,BUFFALO AV/ST JOHNS PL,WASHINGTON AV/STERLING PL,ST JOHNS PL/RALPH AV,STERLING PL/FRANKLIN AV,WASHINGTON AV/ATLANTIC AV,JORALEMON ST/COURT ST,LIVINGSTON ST/BOND ST,LIVINGSTON ST/COURT ST,ST JOHNS PL/CLASSON AV,ST JOHNS PL/NEW YORK AV,ST JOHNS PL/UTICA AV,BUFFALO AV/PROSPECT PL,ATLANTIC AV/FLATBUSH AV,ATLANTIC AV/CUMBERLAND ST,LIVINGSTON ST/NEVINS ST,STERLING PL/BEDFORD AV,WASHINGTON AV/PROSPECT PL,ST MARKS AV/RALPH AV,ST JOHNS PL/NOSTRAND AV,Jackie Gleason Depot (JG)
ST JOHNS PL/SCHENECTADY AV,,,,,,,,,,,,,,,,0.619 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,0.235 CROWN HEIGHTS RALPH AV,,,,,,,,,
ST JOHNS PL/BUFFALO AV,,,,,,,,,,,,,,,,,,,,,,,0.235 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/SMITH ST,,,,,,,,,,,,,,,,,0.204 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,0.435 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,
FLATBUSH AV/STATE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 CROWN HEIGHTS RALPH AV,,,,,,,6.65 to depot of B45
STERLING PL/CLASSON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.241 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.577 DOWNTOWN BKLYN COURT ST,,,,,
RALPH AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,
ATLANTIC AV/VANDERBILT AV,,,,,,,,,,,,,,0.298 DOWNTOWN BKLYN COURT ST,,,,,,,,,,,,,,,,,,,0.491 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,
LIVINGSTON ST/ COURT ST,,,0.327 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST JOHNS PL/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,0.235 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
