,MALCOLM X BL/FULTON ST,UTICA AV/FULTON ST,UTICA AV/AV N,UTICA AV/AV D,UTICA AV/CHURCH AV,UTICA AV/FLATLANDS AV,UTICA AV/WINTHROP ST,MALCOLM X BL/HALSEY ST,MALCOLM X BL/QUINCY ST,KINGS PLAZA,MALCOLM X BL/DE KALB AV,UTICA AV/AV H,MALCOLM X BL/GATES AV,UTICA AV/AV K,UTICA AV/EMPIRE BL,UTICA AV/EASTERN PY,Jackie Gleason Depot (JG)
MALCOLM X BL/FULTON ST,,,,,,,,,,,,,,,,1.745 SELECT BUS KINGS PLAZA via UTICA,
UTICA AV/FULTON ST,,,,,,,,0.519 SELECT BUS DEKALB AV via UTICA,,,,,,,,,
UTICA AV/AV N,,,,,,,,,,1.366 SELECT BUS KINGS PLAZA via UTICA,,,,0.792 SELECT BUS DEKALB AV via UTICA,,,
UTICA AV/AV D,,,,,1.784 SELECT BUS DEKALB AV via UTICA,,,,,,,2.35 SELECT BUS KINGS PLAZA via UTICA,,,,,
UTICA AV/CHURCH AV,,,,1.676 SELECT BUS KINGS PLAZA via UTICA,,,1.23 SELECT BUS DEKALB AV via UTICA,,,,,,,,,,
UTICA AV/FLATLANDS AV,,,0.813 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,,,,,,,
UTICA AV/WINTHROP ST,,,,,0.775 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,,,0.61 SELECT BUS DEKALB AV via UTICA,,8.968 to depot of B46-SBS
MALCOLM X BL/HALSEY ST,0.544 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,,,,,0.538 SELECT BUS DEKALB AV via UTICA,,,,
MALCOLM X BL/QUINCY ST,,,,,,,,0.538 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,,
KINGS PLAZA,,,1.373 SELECT BUS DEKALB AV via UTICA,,,,,,,,,,,,,,
MALCOLM X BL/DE KALB AV,,,,,,,,,0.508 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,
UTICA AV/AV H,,,,1.002 SELECT BUS DEKALB AV via UTICA,,1.113 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,,,,
MALCOLM X BL/GATES AV,,,,,,,,,,,0.508 SELECT BUS DEKALB AV via UTICA,,,,,,
UTICA AV/AV K,,,,,,,,,,,,0.796 SELECT BUS DEKALB AV via UTICA,,,,,
UTICA AV/EMPIRE BL,,,,,,,0.611 SELECT BUS KINGS PLAZA via UTICA,,,,,,,,,1.073 SELECT BUS DEKALB AV via UTICA,
UTICA AV/EASTERN PY,,2.044 SELECT BUS DEKALB AV via UTICA,,,,,,,,,,,,,1.03 SELECT BUS KINGS PLAZA via UTICA,,
Jackie Gleason Depot (JG),,,,,,,7.025 SELECT BUS DEKALB AV via UTICA,,,,,,,,,,
