,BROADWAY/WILLOUGHBY AV,UTICA AV/CARROLL ST,UTICA AV/PROSPECT PL,UTICA AV/AV K,BROADWAY/JEFFERSON ST,UTICA AV/EAST NEW YORK AV,BROADWAY/LEONARD ST,BROADWAY/MARCY AV,KINGS PLAZA,UTICA AV/BERGEN ST,BROADWAY/LORIMER ST,UTICA AV/AV D,UTICA AV/ST JOHNS PL,UTICA AV/BEVERLY RD,WILLIAMSBURG BR PLZ/LANE 4,MALCOLM X BL/QUINCY ST,BROADWAY/MONTROSE AV,BROADWAY/MYRTLE AV,UTICA AV/FULTON ST,UTICA AV/TILDEN AV,BROADWAY/HOOPER ST,UTICA AV/AV I,BROADWAY/ARION PL,MALCOLM X BL/GATES AV,UTICA AV/ATLANTIC AV,UTICA AV/FOSTER AV,UTICA AV/RUTLAND RD,UTICA AV/CHURCH AV,UTICA AV/AV N,MALCOLM X BL/PUTNAM AV,BROADWAY/MALCOLM X BL,UTICA AV/MIDWOOD ST,BROADWAY/PARK AV,MALCOLM X BL/HALSEY ST,UTICA AV/WINTHROP ST,BROADWAY/LAWTON ST,UTICA AV/AV H,UTICA AV/FLATLANDS AV,MALCOLM X BL/MADISON ST,UTICA AV/MAPLE ST,UTICA AV/FLATBUSH AV,UTICA AV/AV M,UTICA AV/AV O,UTICA AV/CLARENDON RD,MALCOLM X BL/DECATUR ST,MALCOLM X BL/LAFAYETTE AV,UTICA AV/EMPIRE BL,BROADWAY/FLUSHING AV,UTICA AV/LENOX RD,BROADWAY/COOK ST,BROADWAY/BOERUM ST,UTICA AV/GLENWOOD RD,BROADWAY/THORNTON ST,MALCOLM X BL/DE KALB AV,BROADWAY/HEYWARD ST,UTICA AV/DEAN ST,UTICA AV/EASTERN PY,UTICA AV/LINDEN BL,FLATBUSH AV/AV T,UTICA AV/SNYDER AV,UTICA AV/AV J,UTICA AV/AV L,MALCOLM X BL/BAINBRIDGE ST,MALCOLM X BL/FULTON ST,UTICA AV/FARRAGUT RD,UTICA AV/FILLMORE AV,BROADWAY/PARK ST,MALCOLM X BL/GREENE AV,UTICA AV/KINGS HY,BROADWAY/GERRY ST,Jackie Gleason Depot (JG)
BROADWAY/WILLOUGHBY AV,,,,,0.285 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 KINGS PLAZA via UTICA,,,,,,,,,,0.811 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,
UTICA AV/PROSPECT PL,,,,,,,,,,0.166 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,0.332 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/AV K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,
BROADWAY/JEFFERSON ST,,,,,,,,,,,,,,,,,,,,,,,0.096 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/EAST NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LEONARD ST,,,,,,,,,,,6.017 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MARCY AV,,,,,,,,,,,,,,,0.144 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,0.361 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,
UTICA AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,0.253 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LORIMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,0.308 KINGS PLAZA via UTICA,
UTICA AV/AV D,,,,,,,,,,,,,,,,,,,,,,,,,,0.63 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,0.313 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/ST JOHNS PL,,,0.332 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.665 KINGS PLAZA via UTICA,,,,,,,,,,,,,,
UTICA AV/BEVERLY RD,,,,,,,,,,,,,,,,,,,,0.172 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,0.754 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMSBURG BR PLZ/LANE 4,,,,,,,,0.144 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/QUINCY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MONTROSE AV,,,,,,,,,,,,,,,,,,,,,0.196 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MYRTLE AV,0.227 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,
UTICA AV/TILDEN AV,,,,,,,,,,,,,,0.425 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,
BROADWAY/HOOPER ST,,,,,,,,0.361 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,
UTICA AV/AV I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,1.02 KINGS PLAZA via UTICA,,,,,,,,,,
BROADWAY/ARION PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,
MALCOLM X BL/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,
UTICA AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,0.227 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,
UTICA AV/FOSTER AV,,,,,,,,,,,,0.216 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 KINGS PLAZA via UTICA,,,,,,
UTICA AV/RUTLAND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742 WILLIAMSBURG BRIDGE PLAZA via UTICA,,0.141 KINGS PLAZA via UTICA,,,,,,,,,,,
UTICA AV/AV N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 WILLIAMSBURG BRIDGE PLAZA via UTICA,0.894 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/PUTNAM AV,,,,,,,,,,,,,,,,,,,,,,,,0.256 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,
UTICA AV/MIDWOOD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/PARK AV,,,,,,,,,,,,,,,,,,19.439 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,0.286 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,0.337 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/LAWTON ST,0.174 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/AV H,,,,,,,,,,,,,,,,,,,,,,1.462 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 WILLIAMSBURG BRIDGE PLAZA via UTICA,,
UTICA AV/FLATLANDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 KINGS PLAZA via UTICA,,,,,,,,,
MALCOLM X BL/MADISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/MAPLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579 KINGS PLAZA via UTICA,,,,,,,,,,,,
UTICA AV/AV M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,
UTICA AV/AV O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 KINGS PLAZA via UTICA,,,,,
UTICA AV/CLARENDON RD,,,,,,,,,,,,0.901 KINGS PLAZA via UTICA,,0.262 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/DECATUR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 KINGS PLAZA via UTICA,,,,,,,
MALCOLM X BL/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,0.146 KINGS PLAZA via UTICA,,,
UTICA AV/EMPIRE BL,,1.252 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,0.114 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/FLUSHING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.097 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,0.259 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,
UTICA AV/LENOX RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,0.191 KINGS PLAZA via UTICA,,,,,,,,,,,,,
BROADWAY/COOK ST,,,,,,,6.054 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/BOERUM ST,,,,,,,,,,,,,,,,,0.242 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.119 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/THORNTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/DE KALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,0.161 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/HEYWARD ST,,,,,,,,,,,0.255 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/DEAN ST,,,0.252 KINGS PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTICA AV/EASTERN PY,,1.9 KINGS PLAZA via UTICA,,,,,,,,,,,1.066 WILLIAMSBURG BRIDGE PLAZA via UTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
