,EAST NEW YORK AV/RALPH AV,BROADWAY/JEFFERSON ST,RALPH AV/BAINBRIDGE ST,RALPH AV/CLARENDON RD,RALPH AV/AV L,AV U/E 56 ST,RALPH AV/JEFFERSON AV,RALPH AV/FOSTER AV,RALPH AV/ST JOHNS PL,RALPH AV/CHASE CT,RALPH AV/HERKIMER ST,CLARKSON AV/E 91 ST,RALPH AV/MILL AV,CLARKSON AV/E 92 ST,RALPH AV/SNYDER AV,REMSEN AV/LENOX RD,RALPH AV/BROADWAY,ROCKAWAY PY/WINTHROP ST,MARCUS GARVEY BLVD/BROADWAY,RALPH AV/AV K,RALPH AV/GATES AV,RALPH AV/FARRAGUT RD,E 98 ST/SUTTER AV.,RALPH AV/STERLING PL,MILL AV/AV U,RALPH AV/MACON ST,CLARKSON AV/REMSEN AV,RALPH AV/PROSPECT PL,MARCUS GARVEY BL/BROADWAY,RALPH AV/ATLANTIC AV,REMSEN AV/KINGS HY,RALPH AV/AV M,BROADWAY/MYRTLE AV,RUTLAND RD/E 98 ST,RALPH AV/E 88 ST,MILL AV/AV T,E 98 ST/BLAKE AV,RALPH AV/ST MARKS AV,RALPH AV/E 76 ST,BROADWAY/KOSSUTH PL,RALPH AV/DEAN ST,RALPH AV/FLATLANDS AV,CLARKSON AV/E 94 ST,RALPH AV/MADISON ST,BROADWAY/PARK ST,RALPH AV/DECATUR ST,BROADWAY/LAFAYETTE AV,AV U/E 59 ST,REMSEN AV/LINDEN BL,RALPH AV/EASTERN PKWY N,RALPH AV/PACIFIC ST,MILL AV/RALPH AV,RALPH AV/BEVERLY RD,BROADWAY/LAWTON ST,RALPH AV/TILDEN AV,RALPH AV/BERGEN ST,RALPH AV/E 86 ST,BROADWAY/GREENE AV,RALPH AV/HALSEY ST,RALPH AV/CHURCH AV,BROADWAY/MALCOLM X BL,BROADWAY/WILLOUGHBY AV,RALPH AV/MC DONOUGH ST,RALPH AV/PUTNAM AV,AV U/E 57 ST,RALPH AV/EASTERN PY,BROADWAY/ARION PL,RALPH AV/GLENWOOD RD,ROCKAWAY PY/CLARKSON AV,RALPH AV/CHAUNCEY ST,REMSEN AV/LENOX ROAD,RALPH AV/AV J,WINTHROP ST/ROCKAWAY PY,BROADWAY/DE KALB AV,RALPH AV/FULTON ST,RALPH AV/AV B,RALPH AV/HANCOCK ST,RALPH AV/E 65 ST,RALPH AV/AV N,CLARKSON AV/E 96 ST,BROADWAY/PARK AV,AV U/E 54 ST,RALPH AV/SUMPTER ST,Jackie Gleason Depot (JG)
EAST NEW YORK AV/RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,
BROADWAY/JEFFERSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,
RALPH AV/BAINBRIDGE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,
RALPH AV/CLARENDON RD,,,,,,,,,,0.327 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,
RALPH AV/AV L,,,,,,,,,,,,,,,,,,,,0.969 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,0.295 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV U/E 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,0.179 KINGS PLAZA via RALPH AV,,
RALPH AV/JEFFERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/FOSTER AV,,,,,,,,,,0.198 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,0.315 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,0.106 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/CHASE CT,,,,0.327 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,0.198 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/HERKIMER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARKSON AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,
RALPH AV/MILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,
CLARKSON AV/E 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/SNYDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REMSEN AV/LENOX RD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY PY/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 KINGS PLAZA via RALPH AV,,,,
MARCUS GARVEY BLVD/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.181 KINGS PLAZA via RALPH AV,,,
RALPH AV/AV K,,,,,0.82 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,
RALPH AV/GATES AV,,,,,,,,,,,,,,,,,0.174 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RALPH AV/FARRAGUT RD,,,,,,,,0.315 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 KINGS PLAZA via RALPH AV,,,,,,,,,,,,,,,,
E 98 ST/SUTTER AV.,0.323 BED-STUY WOODHULL HOSPITAL via RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
