,WALLABOUT ST/WYTHE AV,FRANKLIN AV/ST JOHNS PL,LORIMER ST/METROPOLITAN AV,LORIMER ST/TEN EYCK ST,CLASSON AV/ST JOHNS PL,LORIMER ST/DEVOE ST,CLASSON AV/GATES AV,LORIMER ST/AINSLIE ST,WALLABOUT ST/BEDFORD AV,LYNCH ST/BEDFORD AV,CLASSON AV/LAFAYETTE AV,FRANKLIN AV/PARK AV,WALLABOUT ST/FRANKLIN AV,LORIMER ST/FROST ST,CLASSON AV/EASTERN PY,LORIMER ST/JACKSON ST,CLASSON AV/DE KALB AV,LORIMER ST/MARCY AV,LORIMER ST/BOERUM ST,FRANKLIN AV/WILLOUGHBY AV,NASSAU AV/MORGAN ST,CLASSON AV/FULTON ST,CLASSON AV/STERLING PL,LORIMER ST/GRAND ST,WASHINGTON AV/MONTGOMERY ST,NASSAU AV/MC GUINNESS BL,LORIMER ST/LEE AV,LORIMER ST/DRIGGS AV,LINCOLN RD/FLATBUSH AV,NASSAU AV/VARICK ST,LORIMER ST/MEEKER AV,CLASSON AV/PRESIDENT ST,FRANKLIN AV/BERGEN ST,SULLIVAN PL/WASHINGTON AV,NASSAU AV/NEWEL ST,NASSAU AV/ECKFORD ST,EMPIRE BL/FLATBUSH AV,FRANKLIN AV/FLUSHING AV,NASSAU AV/HUMBOLDT ST,FRANKLIN AV/MYRTLE AV,NASSAU AV/HAUSMAN ST,FRANKLIN AV/MADISON ST,CLASSON AV/WILLOUGHBY AV,FRANKLIN AV/UNION ST,FRANKLIN AV/EASTERN PY,FRANKLIN AV/DE KALB AV,FRANKLIN AV/FULTON ST,LORIMER ST/BAYARD ST,MANHATTAN AV/DRIGGS AV,FRANKLIN AV/PROSPECT PL,LORIMER ST/STAGG ST,FRANKLIN AV/GATES AV,LORIMER ST/NASSAU AV,CLASSON AV/ATLANTIC AV,CLASSON AV/BERGEN ST,LORIMER ST/HARRISON AV,CLASSON AV/PROSPECT PL,CLASSON AV/PUTNAM AV,NASSAU AV/MANHATTAN AV,WASHINGTON AV/SULLIVAN PL,FRANKLIN AV/CARROLL ST,CLASSON AV/FLUSHING AV,FRANKLIN AV/GREENE AV,CLASSON AV/PARK AV,LORIMER ST/MONTROSE AV,WASHINGTON AV/EMPIRE BL,NASSAU AV/VAN DAM ST,LORIMER ST/BROADWAY,MEEKER AV/STEWART AV,FRANKLIN AV/LAFAYETTE AV,FRANKLIN AV/MONTGOMERY ST,LORIMER ST/CONSELYEA ST,LORIMER ST/MESEROLE ST,FRANKLIN AV/PUTNAM AV,LORIMER ST/SKILLMAN AV,CLASSON AV/GREENE AV,CLASSON AV/MYRTLE AV,LORIMER ST/POWERS ST,FRANKLIN AV/STERLING PL,NASSAU AV/KINGSLAND AV,NASSAU AV/MONITOR ST,Jackie Gleason Depot (JG)
WALLABOUT ST/WYTHE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/METROPOLITAN AV,,,,,,,,0.164 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/TEN EYCK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,
CLASSON AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,0.103 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/DEVOE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 GREENPOINT MEEKER AV,,,,,,,,,,
CLASSON AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 GREENPOINT MEEKER AV,,,,,,
LORIMER ST/AINSLIE ST,,,,,,,,,,,,,,,,,,,,,,,,0.16 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABOUT ST/BEDFORD AV,0.162 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNCH ST/BEDFORD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSON AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,0.197 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKLIN AV/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 LEFFERTS GARDENS PROSPECT PK STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALLABOUT ST/FRANKLIN AV,,,,,,,,,,0.174 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/FROST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSON AV/EASTERN PY,,,,,0.238 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIMER ST/JACKSON ST,,,,,,,,,,,,,,0.158 GREENPOINT MEEKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
