,77 ST/3 AV,EMMONS AV/NOSTRAND AV,NEPTUNE AV/E 12 ST,STILLWELL AV/AV T,BAY RIDGE PY/15 AV,BAY RIDGE PY/18 AV,BAY RIDGE PY/5 AV,86 ST/AV U,OCEAN PY/SHORE PY,SHORE PKY/COYLE ST,BAY RIDGE PY/7 AV,SHORE PKY NS/SHEEPSHEAD BAY RD,AV Z/OCEAN AV,SHELL RD/AV Y,BAY RIDGE PY/19 AV,BAY RIDGE PY/6 AV,78 ST/3 AV,SHORE PY/BEDFORD AV,EMMONS AV/E 14 ST,SHEEPSHEAD BAY RD/SHORE PKY,86 ST/W 8 ST,BAY RIDGE PY/20 AV,77 ST/RIDGE BL,SHORE PY/E 28 ST,STILLWELL AV/80 ST,AV Z/E 19 ST,OCEAN PY/WEST AV,BAY RIDGE PY/BAY PY,BAY RIDGE PY/FT HAMILTON PY,BAY RIDGE PY/13 AV,NEPTUNE AV/BRIGHTON 4 ST,EMMONS AV/DOOLEY ST,86 ST/AV V,SHELL RD/AV X,STILLWELL AV/QUENTIN RD,SHORE PY/OCEAN AV,KNAPP ST/SHORE PKY,NEPTUNE AV/BRIGHTON 6 ST,AV Z/E 18 ST,BAY RIDGE PY/10 AV,SHELL RD/BOUCK CT,78 ST/4 AV,AV Z/W 2 ST,NEPTUNE AV/OCEAN PY,EMMONS AV/FORD ST,VOORHIES AV/KNAPP ST,EMMONS AV/BROWN ST,86 ST/STILLWELL AV,BAY RIDGE PY/4 AV,STILLWELL AV/BAY PY,86 ST/W 7 ST,SHORE PKY/BRIGHAM ST,EMMONS AV/BRIGHAM ST,OCEAN AV/VOORHIES AV,BAY RIDGE PY/14 AV,4 AV/BAY RIDGE PY,STILLWELL AV/23 AV,KNAPP ST/HARKNESS AV,EMMONS AV/E 26 ST,SHORE PKY/BRAGG ST,77 ST/COLONIAL RD,EMMONS AV/E 16 ST,OCEAN AV/SHORE PY,78 ST/RIDGE BL,VOORHIES AV/E 14 ST,AV Z/WEST ST,86 ST/VAN SICKLEN ST,STILLWELL AV/AV S,AV Z/SHELL RD,STILLWELL AV/KINGS HY,BAY RIDGE PY/NEW UTRECHT AV,AV Z/E 15 ST,AV Z/OCEAN PY,86 ST/W 9 ST,OCEAN PKY/SHORE PKY,78 ST/COLONIAL RD,AV Z/W 3 ST,BAY RIDGE PY/12 AV,STILLWELL AV/85 ST,SHORE PKY/NOSTRAND AV,NEPTUNE AV/BRIGHTON 10 ST,NEPTUNE AV/SHORE BL,STILLWELL AV/HIGHLAWN AV,SHORE PKY/BROWN ST,BAY RIDGE PY/21 AV,86 ST/AV W,86 ST/W 11 ST,BAY RIDGE PY/17 AV,E 16 ST/SHEEPSHEAD BAY RD,STILLWELL AV/KINGS HWY,NEPTUNE AV/CONEY ISLAND AV,BAY RIDGE PY/11 AV,STILLWELL AV/82 ST,STILLWELL AV/25 AV,NARROWS AV/77 ST,SHEEPSHEAD BAY RD/VOORHIES AV,EMMONS AV/E 28 ST,E 14 ST/SHEEPSHEAD BAY RD,SHEEPSHEAD BAY RD/EMMONS AV,4 AV/77 ST,Jackie Gleason Depot (JG)
77 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.278 SHEEPSHEAD BAY KNAPP ST,
EMMONS AV/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 BAY RIDGE NARROWS AV,,,,
NEPTUNE AV/E 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 BAY RIDGE NARROWS AV,,,,,,,,,,
STILLWELL AV/AV T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/15 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,0.357 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/18 AV,,,,,,,,,,,,,,,0.225 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 BAY RIDGE NARROWS AV,,,,,,,,,,,,,
BAY RIDGE PY/5 AV,,,,,,,,,,,,,,,,0.283 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/AV U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,0.166 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN PY/SHORE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89 BAY RIDGE NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/COYLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462 SHEEPSHEAD BAY KNAPP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
