,GATES AV/MARCUS GARVEY BL,GATES AV/BEDFORD AV,FULTON ST/LAFAYETTE AV,GATES AV/CLASSON AV,FULTON ST/S ELLIOTT PL,GATES AV/RALPH AV,GATES AV/PATCHEN AV,PALMETTO ST/IRVING AV,GATES AV/BROADWAY,GATES AV/KNICKERBOCKER AV,FULTON ST/HOYT ST,FULTON ST/ROCKWELL PL,GATES AV/STUYVESANT AV,GREENE AV/ADELPHI ST,FULTON ST/JAY ST,FULTON ST/S PORTLAND AV,GATES AV/THROOP AV,JORALEMON ST/COURT ST,GREENE AV/GRAND AV,GATES AV/FRANKLIN AV,GATES AV/WILSON AV,GATES AV/MALCOLM X BL,GATES AV/CENTRAL AV,PALMETTO ST/WYCKOFF AV,GATES AV/WYCKOFF AV,CADMAN PLZ W/MONTAGUE ST,FULTON ST/SMITH ST,GREENE AV/CLASSON AV,GREENE AV/VANDERBILT AV,GREENE AV/CUMBERLAND ST,GATES AV/NOSTRAND AV,FULTON ST/BOND ST,ADAMS ST/BKLYN SUPREME CRT,FULTON ST/DUFFIELD ST,CADMAN PZ W/TILLARY ST,GATES AV/MARCY AV,PALMETTO ST/ST NICHOLAS AV,FULTON ST/HUDSON AV,GATES AV/LEWIS AV,GREENE AV/FULTON ST,FULTON ST/FT GREENE PL,GATES AV/TOMPKINS AV,FRANKLIN AV/GREENE AV,GATES AV/EVERGREEN AV,GATES AV/BUSHWICK AV,GREENE AV/WASHINGTON AV,GATES AV/IRVING AV,Jackie Gleason Depot (JG)
GATES AV/MARCUS GARVEY BL,,,,,,,,,,,,,,,,,0.388 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,0.56 RIDGEWOOD TERM via GATES,,,,,,,,,
GATES AV/BEDFORD AV,,,,,,,,,,,,,,,,,,,,0.183 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,0.311 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,
FULTON ST/LAFAYETTE AV,,,,,,,,,,,,,,,,0.173 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/CLASSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,
FULTON ST/S ELLIOTT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,15.733 to depot of B52
GATES AV/RALPH AV,,,,,,,0.279 DOWNTOWN BKLYN TILLARY ST via GATES,,0.164 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/PATCHEN AV,,,,,,0.279 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,0.252 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,
PALMETTO ST/IRVING AV,,,,,,,,,,,,,,,,,,,,,,,,0.212 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/BROADWAY,,,,,,0.164 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 RIDGEWOOD TERM via GATES,,,
GATES AV/KNICKERBOCKER AV,,,,,,,,0.298 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,0.205 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/HOYT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.063 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,
FULTON ST/ROCKWELL PL,,,0.288 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/STUYVESANT AV,,,,,,,,,,,,,,,,,,,,,,0.251 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,0.25 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,
GREENE AV/ADELPHI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 RIDGEWOOD TERM via GATES,0.164 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,
FULTON ST/JAY ST,,,,,,,,,,,,,,,,,,0.553 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/S PORTLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 RIDGEWOOD TERM via GATES,,,,,,,,
GATES AV/THROOP AV,0.26 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,
JORALEMON ST/COURT ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.646 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,
GREENE AV/GRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,0.255 DOWNTOWN BKLYN TILLARY ST via GATES,,
GATES AV/FRANKLIN AV,,0.183 RIDGEWOOD TERM via GATES,,0.234 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/WILSON AV,,,,,,,,,,0.205 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,0.204 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/MALCOLM X BL,,,,,,,0.252 RIDGEWOOD TERM via GATES,,,,,,0.251 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,0.204 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,0.24 DOWNTOWN BKLYN TILLARY ST via GATES,,,,
PALMETTO ST/WYCKOFF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,
GATES AV/WYCKOFF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 DOWNTOWN BKLYN TILLARY ST via GATES,
CADMAN PLZ W/MONTAGUE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,
FULTON ST/SMITH ST,,,,,,,,,,,1.52 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENE AV/CLASSON AV,,,,,,,,,,,,,,,,,,,0.241 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,0.233 RIDGEWOOD TERM via GATES,,,,,
GREENE AV/VANDERBILT AV,,,,,,,,,,,,,,0.168 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 RIDGEWOOD TERM via GATES,,
GREENE AV/CUMBERLAND ST,,,,,0.295 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/NOSTRAND AV,,0.311 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 RIDGEWOOD TERM via GATES,,,,,,,,,,,,
FULTON ST/BOND ST,,,,,,,,,,,,0.576 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,1.209 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,
ADAMS ST/BKLYN SUPREME CRT,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,
FULTON ST/DUFFIELD ST,,,,,,,,,,,,,,,0.438 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADMAN PZ W/TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,
GATES AV/MARCY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,0.242 RIDGEWOOD TERM via GATES,,,,,,
PALMETTO ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,0.24 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/HUDSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,
GATES AV/LEWIS AV,0.268 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,0.25 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENE AV/FULTON ST,,,,,,,,,,,,,,0.229 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/FT GREENE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,
GATES AV/TOMPKINS AV,,,,,,,,,,,,,,,,,0.242 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,0.242 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,
FRANKLIN AV/GREENE AV,,,,,,,,,,,,,,,,,,,,0.247 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATES AV/EVERGREEN AV,,,,,,,,,,,,,,,,,,,,,,,0.24 RIDGEWOOD TERM via GATES,,,,,,,,,,,,,,,,,,,,,,0.169 DOWNTOWN BKLYN TILLARY ST via GATES,,,
GATES AV/BUSHWICK AV,,,,,,,,,0.198 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 RIDGEWOOD TERM via GATES,,,,
GREENE AV/WASHINGTON AV,,,,,,,,,,,,,,,,,,,0.255 RIDGEWOOD TERM via GATES,,,,,,,,,,0.253 DOWNTOWN BKLYN TILLARY ST via GATES,,,,,,,,,,,,,,,,,,,
