,MYRTLE AV/CHARLES PL,MYRTLE AV/MARCUS GARVEY BL,MYRTLE AV/IRVING AV,MYRTLE AV/CLINTON AV,MYRTLE AV/KNICKERBOCKER AV,MYRTLE AV/ST EDWARDS ST,MYRTLE AV/WASHINGTON AV,MYRTLE AV/FLEET PL,MYRTLE AV/GATES AV,MYRTLE AV/CLASSON AV,MYRTLE AV/FRANKLIN AV,MYRTLE AV/CARLTON AV,GATES AV/WYCKOFF AV,MYRTLE AV/MARCY AV,METROTECH UNDERPASS/LAWRENCE ST,MYRTLE AV/DE KALB AV,MYRTLE AV/SPENCER ST,MYRTLE AV/MENAHAN ST,MYRTLE AV/EVERGREEN AV,MYRTLE AV/VANDERBILT AV,MYRTLE AV/BUSHWICK AV,MYRTLE AV/NAVY ST,MYRTLE AV/HARMAN ST,MYRTLE AV/BROADWAY,JAY ST/MYRTLE PLZ,MYRTLE AV/STOCKHOLM ST,MYRTLE AV/LEWIS AV,PALMETTO ST/ST NICHOLAS AV,MYRTLE AV/TOMPKINS AV,MYRTLE AV/GRAND AV,TILLARY ST/JAY ST,MYRTLE AV/THROOP AV,MYRTLE AV/ASHLAND PL,MYRTLE AV/NOSTRAND AV,MYRTLE AV/HART ST,MYRTLE AV/RYERSON ST,MYRTLE AV/WILSON AV,MYRTLE AV/BEDFORD AV,MYRTLE AV/STEUBEN ST,MYRTLE AV/PRINCE ST,MYRTLE AV/SUYDAM ST,MYRTLE AV/WALWORTH ST,MYRTLE AV/N PORTLAND AV,Jackie Gleason Depot (JG)
MYRTLE AV/CHARLES PL,,,,,,,,,,,,,,,,,,,,,0.053 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/MARCUS GARVEY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 RIDGEWOOD TERM via MYRTLE,,,,,0.23 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,
MYRTLE AV/IRVING AV,,,,,0.312 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/CLINTON AV,,,,,,,0.164 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,0.087 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/KNICKERBOCKER AV,,,,,,,,,,,,,,,,,,0.182 RIDGEWOOD TERM via MYRTLE,,,,,0.148 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/ST EDWARDS ST,,,,,,,,,,,,,,,,,,,,,,0.117 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,0.166 RIDGEWOOD TERM via MYRTLE,
MYRTLE AV/WASHINGTON AV,,,,0.164 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 RIDGEWOOD TERM via MYRTLE,,,,,,,,
MYRTLE AV/FLEET PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,
MYRTLE AV/GATES AV,,,0.205 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRTLE AV/CLASSON AV,,,,,,,,,,,0.264 RIDGEWOOD TERM via MYRTLE,,,,,,,,,,,,,,,,,,,0.255 DOWNTOWN BKLYN JAY ST via MYRTLE,,,,,,,,,,,,,,
