,WILSON AV/HIMROD ST,ROCKAWAY AV/ATLANTIC AV,S 5 ST/MONTROSE AV,WILSON AV/PUTNAM AV,ROCKAWAY AV/RIVERDALE AV,WILSON AV/GATES AV,ROCKAWAY AV/PITKIN AV,GLENWOOD RD/E 100 ST,ROCKAWAY AV/BLAKE AV,ROCKAWAY AV/LOTT AV,WILSON AV/WILLOUGHBY AV,ROCKAWAY AV/PROSPECT PL,ROCKAWAY AV/SUMPTER ST,DECATUR ST/EVERGREEN AV,GLENWOOD RD/E 103 ST,WILSON AV/BLEECKER ST,E 108 ST/FARRAGUT RD,E 108 ST/GLENWOOD RD,S 4 ST/RODNEY ST,WILSON AV/STANHOPE ST,WILSON AV/DECATUR ST,DECATUR ST/CENTRAL AV,WILSON AV/SCHAEFFER ST,JOHNSON AV/BOGART ST,WILSON AV/FLUSHING AV,S 4 ST/HEWES ST,MONTROSE AV/LORIMER ST,JOHNSON AV/MORGAN AV,WILSON AV/DE KALB AV,GLENWOOD RD/E 105 ST,ROCKAWAY AV/EAST NEW YORK AV,WILSON AV/JEFFERSON ST,WILLIAMS AV/GLENWOOD RD,WILSON AV/CORNELIA ST,WILSON AV/STARR ST,HARRISON PL/MORGAN AV,WILSON AV/HALSEY ST,MONTROSE AV/BUSHWICK AV,S 5 ST/RODNEY ST,ROCKAWAY AV/NEWPORT ST,ROCKAWAY AV/AV D,FLATLANDS AV/E 98 ST,WILSON AV/HANCOCK ST,MESEROLE ST/LEONARD ST,WILSON AV/JEFFERSON AV,ROCKAWAY PKY/FARRAGUT RD,WILSON AV/SUYDAM ST,ROCKAWAY AV/DUMONT AV,COOPER ST/CENTRAL AV,ROCKAWAY AV/BELMONT AV,ROCKAWAY AV/DEAN ST,WILSON AV/WOODBINE ST,ROCKAWAY AV/CHAUNCEY ST,WILSON AV/MENAHAN ST,WILLIAMS AV/WORTMAN AV,ROCKAWAY AV/LIVONIA AV,MORGAN AV/FLUSHING AV,MONTROSE AV/LEONARD ST,WILSON AV/GREENE AV,GRAHAM AV/JOHNSON AV,FLATLANDS AV/E 101 ST,JOHNSON AV/WHITE ST,S 5 ST/KEAP ST,ROCKAWAY PY/FARRAGUT RD,WILSON AV/COOPER ST,ROCKAWAY AV/LINDEN BL,DECATUR ST/BUSHWICK AV,BROADWAY/MARCY AV,ROCKAWAY AV/DITMAS AV,MONTROSE AV/MANHATTAN AV,MESEROLE ST/GRAHAM AV,MONTROSE AV/GRAHAM AV,E 108 ST/STANLEY AV,FLATLANDS AV/E 103 ST,FLATLANDS AV/E 105 ST,S 4 ST/HOOPER ST,COOPER ST/BROADWAY,MESEROLE ST/UNION AV,ROCKAWAY AV/BROADWAY,ROCKAWAY PY/GLENWOOD RD,ROCKAWAY AV/PACIFIC ST,COOPER ST/EVERGREEN AV,WASHINGTON PLZ/WASHINGTON PLZ,ROCKAWAY AV/HEGEMAN AV,ROCKAWAY AV/MAC DOUGAL ST,MESEROLE ST/LORIMER ST,ROCKAWAY AV/SUTTER AV,COOPER ST/BUSHWICK AV,WILSON AV/GROVE ST,ROCKAWAY AV/EASTERN PY,STANLEY AV/WILLIAMS AV,WILSON AV/TROUTMAN ST,MORGAN AV/THAMES ST,WILSON AV/MELROSE ST,JOHNSON AV/HUMBOLT ST,WILSON AV/MYRTLE AV,WASHINGTON PLZ/LANE 2,JOHNSON AV/BUSHWICK AV,FLATLANDS AV/E 108 ST,ROCKAWAY AV/MARION ST,WILSON AV/GEORGE ST,ROCKAWAY AV/FOSTER AV,MESEROLE ST/MANHATTAN AV,MORGAN AV/HARRISON PL,WILLIAMS AV/FLATLANDS AV,S 5 ST/HOOPER ST,GLENWOOD RD/E 98 ST,ROCKAWAY AV/FULTON ST,Jackie Gleason Depot (JG)
WILSON AV/HIMROD ST,,,,,,,,,,,,,,,,,,,,0.08 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 WILLIAMSBURG BRIDGE PLAZA,
S 5 ST/MONTROSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/PUTNAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/RIVERDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,0.173 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/GATES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/PITKIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,
GLENWOOD RD/E 100 ST,,,,,,,,,,,,,,,0.243 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/LOTT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 CANARSIE WILLIAMS AV,,,,,,,,,,,,,,,,,,,,,,,,,
WILSON AV/WILLOUGHBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 WILLIAMSBURG BRIDGE PLAZA,,,,,,,,,,,,,,,,,
