,LORRAINE ST/CLINTON ST,VAN BRUNT ST/HAMILTON AV,COLUMBIA ST/SACKETT ST,LORRAINE ST/OTSEGO ST,VAN BRUNT ST/SEABRING ST,COLUMBIA ST/CONGRESS ST,ATLANTIC AV/HICKS ST,ATLANTIC AV/CLINTON ST,COLUMBIA ST/CARROLL ST,VAN BRUNT ST/SUMMIT ST,OTSEGO ST/LORRAINE ST,PROSPECT PARK WEST/18 ST,VAN DYKE ST/RICHARDS ST,COLUMBIA ST/BALTIC ST,PROSPECT PK W/19 ST,DWIGHT ST/VAN DYKE ST,MILL ST/CLINTON ST,8 AV/13 ST,VAN BRUNT ST/SULLIVAN ST,VAN BRUNT ST/VERONA ST,COURT ST/LORRAINE ST,SMITH ST/ATLANTIC AV,SMITH ST/FULTON ST,PROSPECT PK W/16 ST,9 ST/6 AV,LORRAINE ST/HENRY ST,ATLANTIC AV/BOERUM PL,ATLANTIC AV/HENRY ST,VAN DYKE ST/VAN BRUNT ST,19 ST/8 AV,9 ST/7 AV,COLUMBIA ST/UNION ST,DWIGHT ST/DIKEMAN ST,BOERUM PL/JORALEMON ST,COLUMBIA ST/ATLANTIC AV,SMITH ST/LIVINGSTON ST,VAN BRUNT ST/PIONEER ST,9 ST/5 AV,PROSPECT PK W/12 ST,COURT ST/W 9 ST,15 ST/8 AV,PROSPECT PK SW/BARTEL PRITCHARD SQ,LORRAINE ST/HICKS ST,COLUMBIA ST/WARREN ST,VAN BRUNT ST/COFFEY ST,VAN BRUNT ST/KING ST,9 ST/3 AV,PROSPECT PK W/9 ST,SMITH ST/9TH ST,VAN BRUNT ST/WOLCOTT ST,LORRAINE ST/COLUMBIA ST,PROSPECT PK/PROSPECT PK SW,9 ST/8 AV,VAN BRUNT ST/DIKEMAN ST,COLUMBIA ST/KANE ST,BEARD ST/OTSEGO ST,CLINTON ST/LORRAINE ST,PROSPECT PK W/18 ST,8 AV/11 ST,9 ST/4 AV,PROSPECT PK W/PROSPECT AV,VAN BRUNT ST/COMMERCE ST,BEARD ST/VAN BRUNT ST,ATLANTIC AV/COURT ST,2 AV/9TH ST,Jackie Gleason Depot (JG)
LORRAINE ST/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN BRUNT ST/HAMILTON AV,,,,,,,,,0.328 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA ST/SACKETT ST,,,,,,,,,0.238 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORRAINE ST/OTSEGO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN BRUNT ST/SEABRING ST,,0.158 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBIA ST/CONGRESS ST,,,,,,,,,,,,,,0.137 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/HICKS ST,,,,,,0.413 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,0.124 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/CLINTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,
COLUMBIA ST/CARROLL ST,,,,,,,,,,0.286 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,,,,,,,,0.159 DOWNTOWN BKLYN FULTON MALL via RED HOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN BRUNT ST/SUMMIT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 PARK SLOPE 20 ST via RED HOOK,,,,
OTSEGO ST/LORRAINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 PARK SLOPE 20 ST via RED HOOK,,,,,,,,,,,,,,,
