,PARK AV/RYERSON ST,CLASSON AV/PARK AV,JACKSON AV/21 ST,MANHATTAN AV/DRIGGS AV,BEDFORD AV/N 5 ST,DRIGGS AV/N 6 ST,DRIGGS AV/UNION AV,GOLD ST/SANDS ST,JACKSON AV/43 AV,DRIGGS AV/GRAND ST,KENT AV/HOOPER ST,DRIGGS AV/BROADWAY,WYTHE AV/KEAP ST,BEDFORD AV/BROADWAY,DIVISION AV/DRIGGS AV,MC GUINNESS BL/FREEMAN ST,DRIGGS AV/N 11 ST,BOERUM PL/SCHERMERHORN ST,JAY ST/TILLARY ST,ROEBLING ST/S 8 ST,YORK AV/NAVY ST,28 ST/QUEENS PZ S,PARK AV/NAVY ST,PARK AV/VANDERBILT AV,NAVY ST/SANDS ST,BEDFORD AV/LORIMER ST,HAVEMEYER ST/DIVISION AV,MANHATTAN AV/MESEROLE AV,BEDFORD AV/N 12 ST,GOLD ST/YORK ST,BEDFORD AV/N 3 ST,MCGUINNESS BL/FREEMAN ST,JACKSON AV/THOMSON AV,BEDFORD AV/N 9 ST,GOLD ST/TILLARY ST,MANHATTAN AV/FREEMAN ST,BEDFORD AV/N 8 ST,JACKSON AV/23 ST,MANHATTAN AV/GREENPOINT AV,WYTHE AV/WILLIAMSBURG ST W,MANHATTAN AV/INDIA ST,BROADWAY/ROEBLING ST,NAVY ST/NASSAU ST,KENT AV/WILLIAMSBURG ST E,JACKSON AV/QUEENS PZ S,MANHATTAN AV/CALYER ST,DIVISION AV/BERRY ST,BEDFORD AV/S 2 ST,PARK AV/CARLTON AV,JAY ST/WILLOUGHBY ST,BEDFORD AV/S 4 ST,SMITH ST/LIVINGSTON ST,NAVY ST/PARK AV,BEDFORD AV/MANHATTAN AV,GREEN ST/MANHATTAN AV,DRIGGS AV/N 9 ST,PARK AV/N PORTLAND ST,BEDFORD AV/GRAND ST,11 ST/JACKSON AV,MANHATTAN AV/NORMAN AV,PARK AV/WASHINGTON AV,DRIGGS AV/S 2 ST,CLASSON AV/FLUSHING AV,DIVISION AV/LEE AV,WYTHE AV/CLYMER ST,JACKSON AV/47 AV,JACKSON AV/45 AV,DRIGGS AV/N 4 ST,JACKSON AV/PULASKI BR,WYTHE AV/ROSS ST,TILLARY ST/JAY ST,DRIGGS AV/S 4 ST,YORK ST/GOLD ST,JACKSON AV/DAVIS ST,MANHATTAN AV/NASSAU AV,42 RD/28 ST,JAY ST/FULTON ST,Jackie Gleason Depot (JG)
PARK AV/RYERSON ST,,0.335 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,
CLASSON AV/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,
JACKSON AV/21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 L I CITY QUEENS PLAZA,,,,
MANHATTAN AV/DRIGGS AV,,,,,,,0.3 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/N 5 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 L I CITY QUEENS PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRIGGS AV/N 6 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,
DRIGGS AV/UNION AV,,,,,,,,,,,,,,,,,0.181 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 L I CITY QUEENS PLAZA,,,,,
JACKSON AV/43 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,
DRIGGS AV/GRAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,
