,5 AV/26 ST,ATLANTIC AV/BOND ST,5 AV/56 ST,5 AV/3 ST,5 AV/83 ST,5 AV/12 ST,ATLANTIC AV/4 AV,5 AV/47 ST,ATLANTIC AV/SMITH ST,5 AV/BAY RIDGE PY,BROOKLYN BRIDGE PK RD/JORALEMON ST,5 AV/92 ST,ATLANTIC AV/HICKS ST,5 AV/GARFIELD PL,ATLANTIC AV/NEVINS ST,5 AV/54 ST,5 AV/SENATOR ST,ATLANTIC AV/HOYT ST,5 AV/7 ST,5 AV/57 ST,5 AV/44 ST,5 AV/48 ST,5 AV/77 ST,5 AV/72 ST,SHORE RD/3 AV,ATLANTIC AV/3 AV,5 AV/18 ST,5 AV/33 ST,5 AV/14 ST,ATLANTIC AV/HENRY ST,5 AV/11 ST,5 AV/53 ST,4 AV/94 ST,5 AV/WARREN ST,5 AV/36 ST,4 AV/97 ST,5 AV/66 ST,5 AV/DOUGLASS ST,5 AV/5 ST,5 AV/PROSPECT AV,5 AV/21 ST,5 AV/41 ST,5 AV/86 ST,5 AV/60 ST,5 AV/89 ST,5 AV/81 ST,5 AV/34 ST,5 AV/DEAN ST,ATLANTIC AV/COURT ST,4 AV/100 ST,5 AV/ST JOHNS PL,5 AV/30 ST,5 AV/95 ST,ATLANTIC AV/CLINTON ST,5 AV/52 ST,5 AV/UNION ST,5 AV/42 ST,ATLANTIC AV/BOERUM PL,5 AV/9 ST,5 AV/BERGEN ST,5 AV/24 ST,5 AV/BAY RIDGE AV,5 AV/39 ST,5 AV/45 ST,5 AV/50 ST,BROOKLYN BRIDGE PARK RD/JORALEMON ST,5 AV/63 ST,5 AV/58 ST,3 AV/99 ST,3 AV/SHORE RD,5 AV/78 ST,4 AV/MARINE AV,5 AV/15 ST,5 AV/80 ST,5 AV/84 ST,5 AV/PROSPECT PL,Jackie Gleason Depot (JG)
5 AV/26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,10.431 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,
ATLANTIC AV/BOND ST,,,,,,,,,,,,,,,0.206 BAY RIDGE SHORE RD via 5 AV,,,0.206 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,
5 AV/3 ST,,,,,,,,,,,,,,13.198 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,2.801 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.131 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,
5 AV/12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 BAY RIDGE SHORE RD via 5 AV,,,,
ATLANTIC AV/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,0.377 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/47 ST,,,,,,,,,,,,,,,,,,,,,17.979 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC AV/SMITH ST,,,,,,,,,,,,,,,,,,0.207 BAY RIDGE SHORE RD via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,
5 AV/BAY RIDGE PY,,,,,,,,,,,,,,,,,,,,,,,,0.287 PIER 6 BKLYN BRIDGE PARK via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 BAY RIDGE SHORE RD via 5 AV,,,,,,
