,BATH AV/19 AV,BAY RIDGE AV/8 AV,BAY RIDGE AV/12 AV,86 ST/14 AV,NARROWS AV/BAY RIDGE AV,13 AV/79 ST,BATH AV/23 AV,BATH AV/25 AV,BATH AV/14 AV,BAY RIDGE AV /10 AV,86 ST/13 AV,13 AV/85 ST,BAY RIDGE AV/3 AV,BATH AV/BAY PY,OVINGTON AV/6 AV,STILLWELL AV/MERMAID AV,13 AV/84 ST,BAY RIDGE AV/FT HAMILTON PY,BATH AV/15 AV,25 AV/HARWAY AV,BAY RIDGE AV/NARROWS AV,13 AV/82 ST,HARWAY AV/BAY 50 ST,BATH AV/21 AV,BAY RIDGE AV/4 AV,70 ST/7 AV,BAY RIDGE AV/11 AV,BAY RIDGE AV/5 AV,HARWAY AV/27 AV,13 AV/BAY RIDGE PY,BATH AV/24 AV,BAY RIDGE AV/7 AV,8 AV/BAY RIDGE AV,BATH AV/20 AV,13 AV/77 ST,BAY RIDGE AV/SHORE RD,STILLWELL AV/2670 STILLWELL AV,NARROWS AV/MACKAY PL,BAY RIDGE AV/RIDGE BL,BAY RIDGE AV/10 AV,HARWAY AV/28 AV,STILLWELL AV/AV Z,13 AV/71 ST,BATH AV/17 AV,STILLWELL AV/W 15 PL,HARWAY AV/BAY 43 ST,13 AV/73 ST,BAY RIDGE AV/COLONIAL RD,SHORE RD/MACKAY PL,BAY RIDGE AV/6 AV,BATH AV/18 AV,STILLWELL AV/NEPTUNE AV,BAY RIDGE AV/13 AV,HARWAY AV/BAY 41 ST,BATH AV/16 AV,14 AV/BENSON AV,HARWAY AV/BAY 47 ST,BATH AV/BAY 20TH ST,Jackie Gleason Depot (JG)
BATH AV/19 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,
BAY RIDGE AV/8 AV,,,,,,,,,,,,,,,,,,0.3 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/12 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 CONEY ISLAND STILLWELL AV,,,,,,
86 ST/14 AV,,,,,,,,,,,0.238 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 CONEY ISLAND STILLWELL AV,,,
NARROWS AV/BAY RIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,
13 AV/79 ST,,,,,,,,,,,,,,,,,,,,,,0.167 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,0.161 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,
BATH AV/23 AV,,,,,,,,,,,,,,0.255 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,0.238 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATH AV/25 AV,,,,,,,,,,,,,,,,,,,,0.223 CONEY ISLAND STILLWELL AV,,,,,,,,,,,0.238 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATH AV/14 AV,,,,,,,,,,,,,,,,,,,0.234 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,
BAY RIDGE AV /10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 ST/13 AV,,,,0.238 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,0.193 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/85 ST,,,,,,,,,,,0.056 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.244 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,0.242 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,6.659 to depot of B64
BATH AV/BAY PY,,,,,,,0.255 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,0.202 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVINGTON AV/6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,
STILLWELL AV/MERMAID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,
13 AV/84 ST,,,,,,,,,,,,,,,,,,,,,,0.162 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/FT HAMILTON PY,,,,,,,,,,0.175 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,0.3 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,
BATH AV/15 AV,,,,,,,,,0.234 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 CONEY ISLAND STILLWELL AV,,,,
25 AV/HARWAY AV,,,,,,,,0.223 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 CONEY ISLAND STILLWELL AV,,,,,
BAY RIDGE AV/NARROWS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 CONEY ISLAND STILLWELL AV,,,,,,,,,,,
13 AV/82 ST,,,,,,0.167 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,0.299 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARWAY AV/BAY 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,0.208 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,
BATH AV/21 AV,,,,,,,,,,,,,,0.202 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,0.265 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/4 AV,,,,,,,,,,,,,0.244 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,0.247 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70 ST/7 AV,,,,,,,,,,,,,,,0.251 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/11 AV,,,0.237 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.247 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,0.244 CONEY ISLAND STILLWELL AV,,,,,,,,,
HARWAY AV/27 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,0.157 CONEY ISLAND STILLWELL AV,,
13 AV/BAY RIDGE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,0.947 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,
BATH AV/24 AV,,,,,,,0.238 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,0.238 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/7 AV,,0.122 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/BAY RIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATH AV/20 AV,0.241 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,0.265 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 AV/77 ST,,,,,,0.161 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,1.31 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE AV/SHORE RD,,,,,,,,,,,,,,,,,,,,,0.193 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/2670 STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 CONEY ISLAND STILLWELL AV,,,,,,,
NARROWS AV/MACKAY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,
BAY RIDGE AV/RIDGE BL,,,,,,,,,,,,,0.242 CONEY ISLAND STILLWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,
BAY RIDGE AV/10 AV,,,,,,,,,,,,,,,,,,0.175 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARWAY AV/28 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL AV/AV Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362 CONEY ISLAND STILLWELL AV,,,,,,,,0.193 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,,,,,,,,,
13 AV/71 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 CONEY ISLAND STILLWELL AV,,,,,,0.128 BAY RIDGE SHRE RD via 13 AV via BAY RDGE,,,,,,
