,DEAN ST/UTICA AV,BERGEN ST/GRAND AV,DEAN ST/4 AV,ATLANTIC AV/HOYT ST,DEAN ST/CLASSON AV,BERGEN ST/FLATBUSH AV,BERGEN ST/KINGSTON AV,BUFFALO AV/ST JOHNS PL,DEAN ST/VANDERBILT AV,BERGEN ST/UTICA AV,DEAN ST/FRANKLIN AV,DEAN ST/NEW YORK AV,SMITH ST/FULTON ST,BERGEN ST/WASHINGTON AV,ROCHESTER AV/BERGEN ST,RALPH AV/STERLING PL,ST MARKS AV/RALPH AV,BUFFALO AV/ST MARKS AV,DEAN ST/TROY AV,ST MARKS AV/BUFFALO AV,DEAN ST/ROCHESTER AV,DEAN ST/5 AV,BERGEN ST/VANDERBILT AV,DEAN ST/BROOKLYN AV,BERGEN ST/TROY AV,BERGEN ST/NEVINS ST,SMITH ST/ATLANTIC AV,BERGEN ST/3 AV,SMITH ST/LIVINGSTON ST,DEAN ST/BEDFORD AV,BERGEN ST/ALBANY AV,ST MARKS AV/ROCHESTER AV,DEAN ST/SCHENECTADY AV,BERGEN ST/BROOKLYN AV,BERGEN ST/BUFFALO AV,RALPH AV/ST JOHNS PL,BERGEN ST/CARLTON AV,ATLANTIC AV/NEVINS ST,DEAN ST/FLATBUSH AV,BERGEN ST/4 AV,DEAN ST/KINGSTON AV,DEAN ST/ALBANY AV,BERGEN ST/BEDFORD AV,ST JOHN'S PL/RALPH AV,DEAN ST/CARLTON AV,DEAN ST/GRAND AV,BOERUM PL/JORALEMON ST,BERGEN ST/SCHENECTADY AV,BUFFALO AV/PROSPECT PL,BERGEN ST/ROCHESTER AV,ATLANTIC AV/3 AV,BERGEN ST/NOSTRAND AV,DEAN ST/NOSTRAND AV,BERGEN ST/FRANKLIN AV,BERGEN ST/5 AV,BERGEN ST/HOYT ST,SMITH ST/BERGEN ST,ATLANTIC AV/BOND ST,ATLANTIC AV/SMITH ST,DEAN ST/WASHINGTON AV,BERGEN ST/NEW YORK AV,BERGEN ST/CLASSON AV,BERGEN ST/BOND ST,DEAN ST/3 AV,Jackie Gleason Depot (JG)
DEAN ST/UTICA AV,,,,,,,,,,,,,,,,,,,,,0.234 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/GRAND AV,,,,,,,,,,,,,,0.146 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/4 AV,,,,,,,,,,,,,,,,,,,,,,0.238 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.324 to depot of B65
ATLANTIC AV/HOYT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 CROWN HEIGHTS RALPH AV,,,,,,,
DEAN ST/CLASSON AV,,,,,,,,,,,0.294 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGEN ST/FLATBUSH AV,,,,,,0.0 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,
BERGEN ST/KINGSTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO AV/ST JOHNS PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,
DEAN ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 CROWN HEIGHTS RALPH AV,,,,,
BERGEN ST/UTICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FULTON MALL,,,,,,,,,,,,,,,,,
DEAN ST/FRANKLIN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAN ST/NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,0.233 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH ST/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.389 CROWN HEIGHTS RALPH AV,,,,,,,,,,,,,,,,,,
