,JAY ST/TILLARY ST,JAY ST/WILLOUGHBY ST,GOLD ST/YORK ST,7 AV/STERLING PL,7 AV/11 ST,20 ST/10 AV,MC DONALD AV/ALBEMARLE RD,7 AV/13 ST,CLYMER ST/KENT AV,7 AV/GARFIELD PL,MC DONALD AV/GREENWOOD AV,7 AV/PROSPECT AV,DIVISION AV/WYTHE AV,LIVINGSTON ST/NEVINS ST,LIVINGSTON ST/SMITH ST,10 AV/20 ST,7 AV/15 ST,LIVINGSTON ST/BOND ST,7 AV/19 ST,7 AV/9 ST,JAY ST/CONCORD ST,MC DONALD AV/CORTELYOU RD,7 AV/FLATBUSH AV,FLATBUSH AV/PACIFIC ST,MC DONALD AV/VANDERBILT AV,JAY ST/HIGH ST,7 AV/LINCOLN PL,FLATBUSH AV/ATLANTIC AV,SANDS ST/PEARL ST,7 AV/6 ST,20 ST/8 AV,19 ST/PROSPECT PK W,YORK ST/JAY ST,PROSPECT ST/JAY ST,JAY ST/CHAPEL ST,JAY ST/FULTON ST,WYTHE AV/CLYMER ST,19 ST/8 AV,MARKET ST/5 ST,MC DONALD AV/VANDERBILT ST,FLATBUSH AV/STATE ST,7 AV/BERKELEY PL,MC DONALD AV/FT HAMILTON PY,MC DONALD AV/CHURCH AV,SANDS ST/JAY ST,7 AV/3 ST,LIVINGSTON ST/HOYT ST,MC DONALD AV/CATON AV,MC DONALD AV/TERRACE PL,FLATBUSH AV/ST MARKS AV,SANDS ST/NAVY ST,MC DONALD AV/AV C,FLATBUSH AV/BERGEN ST,7 AV/18 ST,20 ST/PROSPECT PK W,FLATBUSH AV/5 AV,7 AV/UNION ST,GOLD ST/SANDS ST,Jackie Gleason Depot (JG)
JAY ST/TILLARY ST,,,,,,,,,,,,,,,,,,,,,0.18 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,0.512 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/WILLOUGHBY ST,0.426 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLD ST/YORK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,
7 AV/STERLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,0.337 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,
7 AV/11 ST,,,,,,,,18.07 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,18.222 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 ST/10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.232 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,
MC DONALD AV/ALBEMARLE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 KENSINGTON CORTELYOU RD via 7 AV,,,,0.247 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,
7 AV/13 ST,,,,,20.244 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,1.208 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLYMER ST/KENT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.807 KENSINGTON CORTELYOU RD via 7 AV,,,,,,4.494 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,
7 AV/GARFIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,0.736 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,
MC DONALD AV/GREENWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,,0.275 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,0.176 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,
7 AV/PROSPECT AV,,,,,,,,,,,,,,,,,0.254 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 KENSINGTON CORTELYOU RD via 7 AV,,,,,
DIVISION AV/WYTHE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/NEVINS ST,,,,,,,,,,,,,,,,,,0.208 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,0.406 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/SMITH ST,,0.205 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,
10 AV/20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,
7 AV/15 ST,,,,,,,,0.668 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,0.244 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,
7 AV/19 ST,,,,,,,,,,,,0.253 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.754 to depot of B67
7 AV/9 ST,,,,,20.107 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/CONCORD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,
MC DONALD AV/CORTELYOU RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,
7 AV/FLATBUSH AV,,,,0.115 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/PACIFIC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC DONALD AV/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,
JAY ST/HIGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/LINCOLN PL,,,,0.177 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/ATLANTIC AV,,,,,,,,,,,,,,0.577 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDS ST/PEARL ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/6 ST,,,,,,,,,,,,,,,,,,,,0.729 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.712 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,
20 ST/8 AV,,,,,,,,,,,,,,,,,,,11.36 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 ST/PROSPECT PK W,,,,,,,,,,,,,,,,0.307 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK ST/JAY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT ST/JAY ST,,,0.433 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/CHAPEL ST,1.076 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAY ST/FULTON ST,,,,,,,,,,,,,,,0.119 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYTHE AV/CLYMER ST,,,,,,,,,0.098 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.159 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKET ST/5 ST,,,,,,,,,6.131 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.361 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,
MC DONALD AV/VANDERBILT ST,,,,,,,,,,,0.236 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/STATE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 KENSINGTON CORTELYOU RD via 7 AV,,,
7 AV/BERKELEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.088 KENSINGTON CORTELYOU RD via 7 AV,,
MC DONALD AV/FT HAMILTON PY,,,,,,,,,,,0.176 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,
MC DONALD AV/CHURCH AV,,,,,,,0.27 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,
SANDS ST/JAY ST,,,,,,,,,,,,,3.849 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/3 ST,,,,,,,,,,0.248 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,1.182 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVINGSTON ST/HOYT ST,,,,,,,,,,,,,,0.414 KENSINGTON CORTELYOU RD via 7 AV,0.204 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC DONALD AV/CATON AV,,,,,,,0.247 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,
MC DONALD AV/TERRACE PL,,,,,,11.666 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/ST MARKS AV,,,,,,,,,,,,,,,,,,,,,,,0.222 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,
SANDS ST/NAVY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.907 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,0.209 KENSINGTON CORTELYOU RD via 7 AV,
MC DONALD AV/AV C,,,,,,,,,,,,,,,,,,,,,,0.285 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,0.305 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,
FLATBUSH AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,0.288 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,
7 AV/18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.763 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,
20 ST/PROSPECT PK W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.167 DOWNTOWN BKLYN SANDS ST via FLATBUSH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLATBUSH AV/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 KENSINGTON CORTELYOU RD via 7 AV,,,,,,
