,CONEY ISLAND AV/CATON PL,CONEY ISLAND AV/AV R,CONEY ISLAND AV/AV V,STILLWELL TERMINAL BUS LOOP,CONEY ISLAND AV/AV T,WEST BRIGHTON AV/W 5 ST,CONEY ISLAND AV/AV X,CONEY ISLAND AV/OCEAN VIEW AV,CONEY ISLAND AV/CHESTNUT AV,CONEY ISLAND AV/AV I,BRIGHTON BEACH AV/BRIGHTON 5 ST,CONEY ISLAND AV/NEWKIRK AV,CONEY ISLAND AV/NEPTUNE AV,CONEY ISLAND AV/AV H,CONEY ISLAND AV/AV Z,CONEY ISLAND AV/DORCHESTER RD,CONEY ISLAND AV/AV P,WEST BRIGHTON AV/W 2 ST,CONEY ISLAND AV/AV S,NEPTUNE AV/SHELL RD,CONEY ISLAND AV/KINGS HY,BRIGHTON BEACH AV/BRIGHTON 3 ST,PROSPECT PK SW/BARTEL PRITCHARD SQ,NEPTUNE AV/W 12 ST,PROSPECT PK SW/REEVE PL,NEPTUNE AV/W 6 ST,W 5 ST/NEPTUNE AV,CONEY ISLAND AV/FOSTER AV,CONEY ISLAND AV/AV U,CONEY ISLAND AV/CATON AV,CONEY ISLAND AV/AV K,CONEY ISLAND AV/AV W,BRIGHTON BEACH AV/OCEAN PY,NEPTUNE AV/W 8 ST,PROSPECT PK SW/10 AV,NEPTUNE AV/W 5 ST,CONEY ISLAND AV/AV M,BRIGHTON BEACH AV/BRIGHTON 1 PL,BRIGHTON BEACH AV/BRIGHTON 6 ST,CONEY ISLAND AV/GRAVESEND NECK RD,CONEY ISLAND AV/AV C,NEPTUNE AV/STILLWELL AV,CONEY ISLAND AV/AV J,CONEY ISLAND AV/AV N,STILLWELL AV/NEPTUNE AV,CONEY ISLAND AV/PARK CI,PROSPECT PK SW/TERRACE PL,CONEY ISLAND AV/AV Y,CONEY ISLAND AV/CORTELYOU RD,BRIGHTON BEACH AV/CONEY ISLAND AV,WEST BRIGHTON AV/OCEAN PY,CONEY ISLAND AV/BRIGHTON BEACH AV,W 5 ST/W BRIGHTON AV,CONEY ISLAND AV/DITMAS AV,CONEY ISLAND AV/SLOCUM PL,CONEY ISLAND AV/AV L,W BRIGHTON AV/W 2 ST,CONEY ISLAND AV/BEVERLEY RD,CONEY ISLAND AV/18 AV,PROSPECT PK SW/11 AV,CONEY ISLAND AV/CHURCH AV,CONEY ISLAND AV/GUIDER AV,PROSPECT PK SW/VANDERBILT ST,PROSPECT PK SW/GREENWOOD AV,CONEY ISLAND AV/AV O,STILLWELL/TERMINAL,Jackie Gleason Depot (JG)
CONEY ISLAND AV/CATON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV R,,,,,,,,,,,,,,,,,,,0.807 CONEY ISLAND STILLWELL AV via C I AV,,0.187 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 WINDSOR TERR PRITCHARD SQ via C I AV,,,0.28 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILLWELL TERMINAL BUS LOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV T,,,,,,,,,,,,,,,,,,,0.27 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,0.267 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST BRIGHTON AV/W 5 ST,,,,,,,,,,,,,,,,,,0.51 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/AV X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,1.83 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/OCEAN VIEW AV,,,,,,,,,,,,,0.502 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,
CONEY ISLAND AV/CHESTNUT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.839 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,
CONEY ISLAND AV/AV I,,,,,,,,,,,,,,1.624 WINDSOR TERR PRITCHARD SQ via C I AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087 CONEY ISLAND STILLWELL AV via C I AV,,,,,,,,,,,,,,,,,,,,,,,,
