,MC DONALD AV/CORTELYOU RD,7 AV/LINCOLN PL,MC DONALD AV/ALBEMARLE RD,VANDERBILT AV/ATLANTIC AV,7 AV/15 ST,7 AV/6 ST,VANDERBILT AV/DEAN ST,FLATBUSH AV/PARK PL,7 AV/PROSPECT AV,FLATBUSH AV/8 AV,7 AV/19 ST,10 AV/20 ST,20 ST/10 AV,FLUSHING AV/VANDERBILT AV,MC DONALD AV/GREENWOOD AV,FLUSHING AV/NAVY ST,MC DONALD AV/VANDERBILT ST,NAVY ST/SANDS ST,SANDS ST/JAY ST,FLUSHING AV / CLERMONT AV,VANDERBILT AV/DE KALB AV,7 AV/9 ST,FLUSHING AV/N PORTLAND AV,VANDERBILT AV/BERGEN ST,NASSAU ST/GOLD ST,20 ST/8 AV,VANDERBILT AV/MYRTLE AV,VANDERBILT AV/PARK AV,19 ST/8 AV,VANDERBILT AV/PACIFIC ST,7 AV/GARFIELD PL,7 AV/UNION ST,7 AV/13 ST,VANDERBILT AV/WILLOUGHBY AV,VANDERBILT AV/LAFAYETTE AV,7 AV/3 ST,7 AV/STERLING PL,SANDS ST/GOLD ST,SANDS ST/PEARL ST,VANDERBILT AV/PLAZA ST E,MC DONALD AV/CHURCH AV,7 AV/BERKELEY PL,MC DONALD AV/VANDERBILT AV,MC DONALD AV/AV C,MC DONALD AV/CATON AV,7 AV/11 ST,VANDERBILT AV/STERLING PL,VANDERBILT AV/ST MARKS AV,FLUSHING AV/CUMBERLAND ST,VANDERBILT AV/FULTON ST,MC DONALD AV/FT HAMILTON PY,VANDERBILT AV/PROSPECT PL,7 AV/FLATBUSH AV,7 AV/18 ST,19 ST/PROSPECT PK W,FLATBUSH AV/PLAZA ST E,VANDERBILT AV/GREENE AV,FLATBUSH AV/STERLING PL,VANDERBILT AV/PARK PL,MC DONALD AV/TERRACE PL,20 ST/PROSPECT PK W,Jackie Gleason Depot (JG)
MC DONALD AV/CORTELYOU RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,
7 AV/LINCOLN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,
MC DONALD AV/ALBEMARLE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 KENSINGTON CORTELYOU RD via 7 AV,,,,0.247 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,
VANDERBILT AV/ATLANTIC AV,,,,,,,0.17 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/15 ST,,,,,,,,,0.244 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,0.668 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/6 ST,,,,,,,,,,,,,,,,,,,,,,0.729 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,0.712 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,
VANDERBILT AV/DEAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,,,,,,,
FLATBUSH AV/PARK PL,,,,,,,,,,0.225 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/PROSPECT AV,,,,,0.254 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 KENSINGTON CORTELYOU RD via 7 AV,,,,,,,,
FLATBUSH AV/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7 DOWNTOWN BKLYN SANDS ST via VANDERBILT,,,,,,,,,,,,,,,,,,,,,,
