,7 AV/92 ST,92 ST/FT HAMILTON PY,8 AV/50 ST,8 AV/49 ST,36 ST/4 AV,8 AV/58 ST,39 ST/7 AV,92 ST/7 AV,37 ST/4 AV,CROPSEY AV/OPP VA HOSPITAL,92 ST/GATLING PL,7 AV/79 ST,8 AV/47 ST,39 ST/4 AV,8 AV/73 ST,8 AV/40 ST,7 AV SVC RD S/72 ST,8 AV/43 ST,FT HAMILTON PY/83 ST,8 AV/57 ST,39 ST/2 AV,8 AV/55 ST,7 AV SVC RD S/79 ST,7 AV SVC RD S/OVINGTON AV,8 AV/41 ST,FT HAMILTON PY/77 ST,FT HAMILTON PY/90 ST,39 ST/3 AV,3 AV/39 ST,7 AV SVC RD S/81 ST,8 AV/67 ST,39 ST/8 AV,3 AV/37 ST,39 ST/1 AV,CROPSEY AV/VA HOSPITAL,8 AV/71 ST,7 AV/POLY PREP ENT,7 AV/POLY PL,4 AV/39 ST,8 AV/65 ST,VA HOSPITAL/BAY 3,8 AV/62 ST,8 AV/BAY RIDGE AV,36 ST/3 AV,8 AV/52 ST,FT HAMILTON PY/81 ST,FT HAMILTON PY/86 ST,8 AV/46 ST,BAY RIDGE PY/7 AV,39 ST/5 AV,39 ST/6 AV,8 AV/44 ST,8 AV/60 ST,7 AV SVC RD S/BAY RIDGE PKY,7 AV SVC RD S/77 ST,CROPSEY AV/BKLYN CAMPUS VA,Jackie Gleason Depot (JG)
7 AV/92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,
92 ST/FT HAMILTON PY,0.486 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/50 ST,,,,,,,,,,,,,0.236 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.574 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,
36 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.416 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,
8 AV/58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,
39 ST/7 AV,,,,,,,,,,,,,,,,14.599 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 SUNSET PARK 39ST-1AV via 8 AV,,,,,,
92 ST/7 AV,,,,,,,,,,,0.397 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 ST/4 AV,,,,,,,,,,,,,,0.185 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/OPP VA HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,
92 ST/GATLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
