,KINGS HY/E 13 ST,QUINTIN RD\CONEY ISLAND AV,THOMAS S BOYLAND ST/MAC DOUGAL ST,RIVERDALE AV/E 98 ST,KINGS HY/LINDEN BL,KINGS HY/REMSEN AV,SARATOGA AV/ATLANTIC AV,SARATOGA AV/DEAN ST,KINGS HY/AV N,KINGS HY/AV H,SARATOGA AV/HALSEY ST,SARATOGA AV/BLAKE AV,E 95 ST/KINGS HY,E 18 ST/AV P,KINGS HY/CLARENDON RD,KINGS HY/E 18 ST,LENOX RD/E 95 ST,KINGS HY/E 22 ST,THOMAS S BOYLAND ST/ATLANTIC AV,SARATOGA AV/LIVONIA AV,KINGS HY/NEW YORK AV,KINGS HWY/NEW YORK AV,KINGS HY/AV I,BROADWAY/HALSEY ST,KINGS HY/TILDEN AV,THOMAS S BOYLAND ST/FULTON ST,KINGS HY/EAST 94 ST,KINGS HY/AV D,QUENTIN RD/CONEY ISLAND AV,KINGS HY/CONEY ISLAND AV,LENOX RD/E 98 ST,KINGS HY/SNYDER AV,KINGS HY/GLENWOOD RD,KINGS HY/E 92 ST,SARATOGA AV/BAINBRIDGE ST,KINGS HY/E 28 ST,THOMAS S BOYLAND ST/EASTERN PY,KINGS HY/BEVERLY RD,KINGS HY/E 29 ST,SARATOGA AV/PARK PL,THOMAS S BOYLAND ST/MARION ST,THOMAS S BOYLAND ST/BAINBRIDGE ST,SARATOGA AV/DUMONT AV,KINGS HY/FRASER SQ,SARATOGA AV/FULTON ST,KINGS HY/FLATBUSH AV,KINGS HY/E 26 ST,THOMAS S BOYLAND ST/ST MARKS AV,KINGS HWY/AV K,KINGS HY/E 94 ST,EAST NEW YORK AV/AMBOY ST,SARATOGA AV/RIVERDALE AV,KINGS HY/E 37 ST,KINGS HY/FOSTER AV,KINGS HY/OCEAN AV,KINGS HY/SCHENECTADY AV,THOMAS S BOYLAND ST/MACDONOUGH ST,KINGS HY/BEDFORD AV,KINGS HY/AV J,LENOX RD/ROCKAWAY PY,KINGS HY/AV K,THOMAS S BOYLAND ST/DEAN ST,SARATOGA AV/SAINT JOHN'S PLACE,AV P/OCEAN AV,SARATOGA AV/ST MARKS AV,KINGS HY/EAST 92 ST,SARATOGA AV/PITKIN AV,KINGS HY/E 27 ST,KINGS HY/CHURCH AV,RIVERDALE AV/LEGION ST,KINGS HY/PRESTON CT,SARATOGA AV/MAC DONOUGH ST,KINGS HY/EAST 16 ST,KINGS HY/E 40 ST,KINGS HY/E 16 ST,EAST NEW YORK AV/STRAUSS ST,KINGS HY/UTICA AV,SARATOGA AV/SUTTER AV,SARATOGA AV/MARION ST,KINGS HY/NOSTRAND AV,Jackie Gleason Depot (JG)
KINGS HY/E 13 ST,,0.147 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,
QUINTIN RD\CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMAS S BOYLAND ST/MAC DOUGAL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERDALE AV/E 98 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/LINDEN BL,,,,,,0.64 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,
KINGS HY/REMSEN AV,,,,,0.668 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,
SARATOGA AV/ATLANTIC AV,,,,,,,,0.183 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARATOGA AV/DEAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,
KINGS HY/AV N,,,,,,,,,,,,,,,,,,,,,0.195 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 MIDWOOD CONEY ISLAND AV via KINGS HWY,
KINGS HY/AV H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,0.204 BED-STUY BWAY-HALSEY via KINGS HWY,,,,
SARATOGA AV/HALSEY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,
SARATOGA AV/BLAKE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 BED-STUY BWAY-HALSEY via KINGS HWY,,,
E 95 ST/KINGS HY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 18 ST/AV P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,
KINGS HY/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,0.353 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.679 to depot of B7
KINGS HY/E 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,
LENOX RD/E 95 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,
KINGS HY/E 22 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.549 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,0.168 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,
THOMAS S BOYLAND ST/ATLANTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARATOGA AV/LIVONIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,0.174 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/NEW YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HWY/NEW YORK AV,,,,,,,,,0.198 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/AV I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 BED-STUY BWAY-HALSEY via KINGS HWY,,,0.33 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/HALSEY ST,,,,,,,,,,,0.21 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,0.196 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMAS S BOYLAND ST/FULTON ST,,,0.171 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/EAST 94 ST,,,,,,,,,,,,,,,,,0.147 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/AV D,,,,,,,,,,,,,,,0.281 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUENTIN RD/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/CONEY ISLAND AV,0.16 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENOX RD/E 98 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,
KINGS HY/SNYDER AV,,,,,,,,,,,,,,,,,,,,,,,,,0.273 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,
KINGS HY/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,0.647 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,
KINGS HY/E 92 ST,,,,,,0.12 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARATOGA AV/BAINBRIDGE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 MIDWOOD CONEY ISLAND AV via KINGS HWY,,
KINGS HY/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMAS S BOYLAND ST/EASTERN PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGS HY/BEVERLY RD,,,,,,,,,,,,,,,0.237 MIDWOOD CONEY ISLAND AV via KINGS HWY,,,,,,,,,,0.358 BED-STUY BWAY-HALSEY via KINGS HWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
