,VAN SICLEN AV/COZINE AV,PENNSYLVANIA AV/SUTTER AV,PENNSYLVANIA AV/HORNELL LOOP,VANDALIA AV/VAN SICLEN AV,SEAVIEW AV/PENNSYLVANIA AV,JAMAICA AV/GEORGIA AV,NEW LOTS AV/PENNSYLVANIA AV,JAMAICA AV/HERKIMER ST,VANDALIA AV/BETHEL LOOP,ERSKINE ST/GATEWAY DR,PENNSYLVANIA AV/VANDALIA AV,VAN SICLEN AV/STANLEY AV,PENNSYLVANIA AV/PITKIN AV,PENNSYLVANIA AV/ATLANTIC AV,NEW LOTS AV/WYONA ST,PENNSYLVANIA AV/BELMONT AV,VAN SINDEREN AVFULTON ST,VAN SINDEREN AV/FULTON ST,NEW LOTS AV/VERMONT ST,PENNSYLVANIA AV/NEW LOTS AV,PENNSYLVANIA AV/LIVONIA AV,PENNSYLVANIA AV/SCHROEDERS AV,VAN SICLEN AV/FLATLANDS AV,NEW LOTS AV/BRADFORD ST,PENNSYLVANIA AV/SEAVIEW AV,VAN SICLEN AV/HEGEMAN AV,VANDALIA AV/ARDSLEY LOOP,PENNSYLVANIA AV/BLAKE AV,VAN SICLEN AV/LINDEN BL,NEW LOTS AV/MILLER AV,VAN SICLEN AV/WORTMAN AV,PENNSYLVANIA AV/GENEVA LOOP,JAMAICA AV/FANCHON PL,PENNSYLVANIA AV/RIVERDALE AV,PENNSYLVANIA AV/DELMAR LOOP N,PENNSYLVANIA AV/DUMONT AV,GATEWAY DR/ERSKINE ST,PENNSYLVANIA AV/LIBERTY AV,GATEWAY CTR TERM/GATEWAY DR,Jackie Gleason Depot (JG)
VAN SICLEN AV/COZINE AV,,,,,,,,,,,,,,,,,,,,,,,0.202 SPRING CREEK GATEWAY MALL,,,,,,,,0.192 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,
PENNSYLVANIA AV/SUTTER AV,,,,,,,,,,,,,,,,0.141 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,0.175 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,
PENNSYLVANIA AV/HORNELL LOOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 BROADWAY JCT VAN SINDEREN AV,,,,,,,,
VANDALIA AV/VAN SICLEN AV,,,,,,,,,,,,,,,,,,,,,,,1.022 BROADWAY JCT VAN SINDEREN AV,,,,0.192 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,
SEAVIEW AV/PENNSYLVANIA AV,,,0.124 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.007 BROADWAY JCT VAN SINDEREN AV,
JAMAICA AV/GEORGIA AV,,,,,,,,,,,,,,0.427 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW LOTS AV/PENNSYLVANIA AV,,,,,,,,,,,,,,,,,,,0.161 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/HERKIMER ST,,,,,,,,,,,,,,,,,0.366 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,
VANDALIA AV/BETHEL LOOP,,,,1.143 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERSKINE ST/GATEWAY DR,,,,,1.478 BROADWAY JCT VAN SINDEREN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA AV/VANDALIA AV,,,,,,,,,,,,,,,,,,,,,,0.475 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,,,,
VAN SICLEN AV/STANLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 BROADWAY JCT VAN SINDEREN AV,,0.208 SPRING CREEK GATEWAY MALL,,,,,,,,,
