,LIVONIA AV/ASHFORD ST,ASHFORD ST/LINDEN BL,FLATLANDS AV/FOUNTAIN AV,JEROME ST/FLATLANDS AV,ASHFORD ST/NEW LOTS AV,ASHFORD ST/WORTMAN AV,FLATLANDS AV/JEROME ST,ERSKINE ST/SEAVIEW AV,FLATLANDS AV/ATKINS AV,SEAVIEW AV/ERSKINE ST,ASHFORD ST/COZINE AV,COZINE AV/ASHFORD ST,FOUNTAIN AV/FLATLANDS AV,ASHFORD ST/STANLEY AV,FLATLANDS AV/ELTON ST,FLATLANDS AV/ESSEX ST,Jackie Gleason Depot (JG)
LIVONIA AV/ASHFORD ST,,,,,0.176 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,
ASHFORD ST/LINDEN BL,0.615 EAST NEW YORK NEW LOTS STATION,,,,,,,,,,,,,0.154 SPRING CREEK GATEWAY MALL,,,
FLATLANDS AV/FOUNTAIN AV,,,,,,,,,0.361 EAST NEW YORK NEW LOTS STATION,,,,,,,,
JEROME ST/FLATLANDS AV,,,,,,,,,,,0.335 EAST NEW YORK NEW LOTS STATION,,,,,,
ASHFORD ST/NEW LOTS AV,,0.476 SPRING CREEK GATEWAY MALL,,,,,,,,,,,,,,,
ASHFORD ST/WORTMAN AV,,,,,,,,,,,,0.175 SPRING CREEK GATEWAY MALL,,0.187 EAST NEW YORK NEW LOTS STATION,,,
FLATLANDS AV/JEROME ST,,,,,,,,,,,,,,,0.674 SPRING CREEK GATEWAY MALL,,
ERSKINE ST/SEAVIEW AV,,,,,,,,,,0.0 EAST NEW YORK NEW LOTS STATION,,,,,,,
FLATLANDS AV/ATKINS AV,,,,,,,,,,,,,0.338 SPRING CREEK GATEWAY MALL,,,0.264 EAST NEW YORK NEW LOTS STATION,
SEAVIEW AV/ERSKINE ST,,,1.123 EAST NEW YORK NEW LOTS STATION,,,,,,,,,,,,,,29.047 to depot of B84
ASHFORD ST/COZINE AV,,,,,,0.175 EAST NEW YORK NEW LOTS STATION,,,,,,,,,,,
COZINE AV/ASHFORD ST,,,,,,,0.335 SPRING CREEK GATEWAY MALL,,,,,,,,,,
FOUNTAIN AV/FLATLANDS AV,,,,,,,,1.176 SPRING CREEK GATEWAY MALL,,,,,,,,,
ASHFORD ST/STANLEY AV,,0.154 EAST NEW YORK NEW LOTS STATION,,,,0.187 SPRING CREEK GATEWAY MALL,,,,,,,,,,,
FLATLANDS AV/ELTON ST,,,,0.852 EAST NEW YORK NEW LOTS STATION,,,,,,,,,,,,0.172 SPRING CREEK GATEWAY MALL,
FLATLANDS AV/ESSEX ST,,,,,,,,,0.236 SPRING CREEK GATEWAY MALL,,,,,,0.189 EAST NEW YORK NEW LOTS STATION,,
Jackie Gleason Depot (JG),,,,,,,,,,28.45 EAST NEW YORK NEW LOTS STATION,,,,,,,
