,18 AV/62 ST,FT HAMILTON PKWY/MARINE AV,CROPSEY AV/BAY 17 ST,FT HAMILTON PKY/95 ST,18 AV/E 2 ST,CHURCH AV/ROCKAWAY PY,VA HOSPITAL/MAIN ENT BAY 1,FOSTER AV/RUGBY RD,CHURCH AV/E 93 ST,CROPSEY AV/16 AV,18 AV/E 3 ST,VA HOSPITAL/MAIN ENT BAY 2,AV D/E 48 ST,FOSTER AV/OCEAN AV,AV D/E 40 ST,FOSTER AV/CONEY ISLAND AV,FOSTER AV/ROGERS AV,AV D/BROOKLYN AV,18 AV/E 8 ST,CHURCH AV/E 94 ST,AV D/E 39 ST,REMSEN AV/AV B,18 AV/60 ST,ROCKAWAY AV/HEGEMAN AV,CROPSEY AV/BAY 7 ST,AV D/E 53 ST,AV D/NOSTRAND AV,18 AV/57 ST,18 AV/70 ST,REMSEN AV/AV A,7 AV/POLY PL,AV D/E 35 ST,CROPSEY AV/VETERANS HOSPITAL,CROPSEY AV/15 AV,92 ST/GATLING PL,CHURCH AV/REMSEN AV,NOSTRAND AV/NEWKIRK AV,FOSTER AV/E 18 ST,CROPSEY AV/14 AV,AV B/REMSEN AV,AV D/E 52 ST,AV D/E 31 ST,18 AV/47 ST,CROPSEY AV/OPP VA HOSPITAL,18 AV/OCEAN PY,BEVERLY RD/KINGS HY,18 AV/66 ST,AV D/SCHENECTADY AV,REMSEN AV/CHURCH AV,AV D/E 46 ST,AV B/E 87 ST,18 AV/64 ST,18 AV/50 ST,BEVERLY RD/E 58 ST,AV D/E 37 ST,18 AV/45 ST,AV D/E 45 ST,AV D/E 38 ST,AV D/NEW YORK AV,FOSTER AV/E 22 ST,18 AV/86 ST,92 ST/7 AV,CROPSEY AV/17 AV,ROGERS AV/FOSTER AV,BEVERLY RD/RALPH AV,18 AV/77 ST,92 ST/FT HAMILTON PY,FOSTER AV/BEDFORD AV,18 AV/85 ST,18 AV/MC DONALD AV,18 AV/58 ST,18 AV/82 ST,4 AV/95 ST,18 AV/53 ST,FOSTER AV/MARLBOROUGH RD,18 AV/E 5 ST,AV D/KINGS HY,KINGS HY/BEVERLY RD,LINDEN BL/ROCKAWAY PY,HEGEMAN AV/THOMAS S BOYLAND ST,18 AV/BAY RIDGE PY,18 AV/49 ST,18 AV/BATH AV,KINGS HY/AV D,18 AV/NEW UTRECHT AV,FOSTER AV/FLATBUSH AV,KINGS HY/CLARENDON RD,AV D/E 43 ST,18 AV/81 ST,CHURCH AV/E 96 ST,FOSTER AV/E 16 ST,18 AV/84 ST,18 AV/CROPSEY AV,4 AV/97 ST,E 98 ST/CHURCH AV,BEVERLY RD/E 57 ST,CONEY ISLAND AV/18 AV,4 AV/92 ST,18 AV/72 ST,18 AV/52 ST,7 AV/POLY PREP ENT,18 AV/68 ST,AV D/E 42 ST,FOSTER AV/ARGYLE RD,7 AV/92 ST,18 AV/CONEY ISLAND AV,AV D/UTICA AV,POLY PL/7 AV,BEVERLY RD/E 59 ST,AV D/ROGERS AV,AV B/RALPH AV,18 AV/55 ST,92 ST/FT HAMILTON PARKWAY,18 AV/BENSON AV,CONEY ISLAND AV/NEWKIRK AV,FOSTER AV/E 29 ST,18 AV/79 ST,LINDEN BL/THOMAS BOYLAND ST,Jackie Gleason Depot (JG)
18 AV/62 ST,,,,,,,,,,,,,,,,,,,,,,,0.139 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PKWY/MARINE AV,,,,0.225 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/BAY 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PKY/95 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/E 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/ROCKAWAY PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,
VA HOSPITAL/MAIN ENT BAY 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/RUGBY RD,,,,,,,,,,,,,,,,0.279 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/E 93 ST,,,,,,,,,,,,,,,,,,,,0.168 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/16 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/E 3 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA HOSPITAL/MAIN ENT BAY 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.384 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 48 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/OCEAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,0.187 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 40 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSTER AV/CONEY ISLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,0.439 BAY RIDGE 95 ST STA,,,,
FOSTER AV/ROGERS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/BROOKLYN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/E 8 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,
CHURCH AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,
REMSEN AV/AV B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/60 ST,0.139 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKAWAY AV/HEGEMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434 BAY RIDGE 95 ST STA,
CROPSEY AV/BAY 7 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 BROWNSVILLE ROCKAWAY AV,,,,,0.146 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/NOSTRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 BROWNSVILLE ROCKAWAY AV,,,,,,,
18 AV/70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766 BAY RIDGE 95 ST STA,,,0.132 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,
REMSEN AV/AV A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 BROWNSVILLE ROCKAWAY AV,,,,0.241 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/POLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,
AV D/E 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/VETERANS HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,0.599 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/15 AV,,,,,,,,,,0.238 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,0.148 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 ST/GATLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071 BAY RIDGE 95 ST STA,,,,,,
CHURCH AV/REMSEN AV,,,,,,,,,0.203 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/NEWKIRK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BAY RIDGE 95 ST STA,,,
FOSTER AV/E 18 ST,,,,,,,,,,,,,,0.196 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/14 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.566 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV B/REMSEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 BAY RIDGE 95 ST STA,,,,,,,,,,,,
AV D/E 31 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,0.158 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/OPP VA HOSPITAL,,,,,,,,,,,,14.709 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/OCEAN PY,,,,,,,,,,,,,,,,,,,0.228 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVERLY RD/KINGS HY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,
AV D/SCHENECTADY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,
REMSEN AV/CHURCH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV D/E 46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV B/E 87 ST,,,,,,,,,,,,,,,,,,,,,,0.309 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/64 ST,0.229 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 AV/50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08 BROWNSVILLE ROCKAWAY AV,,,,,,,,,,,,,,,,,,0.23 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,
BEVERLY RD/E 58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 BAY RIDGE 95 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
