,RIVERDALE AV/W 254 ST,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,VAN CORTLANDT AV W/ORLOFF AV,SEDGWICK AV/STEVENSON PL 2,HENRY HUDSON PKY W/W 239 ST,BAINBRIDGE AV/RESERVOIR OVAL E,BAINBRIDGE AV/E 206 ST,HENRY HUDSON PKY W/W 227 ST,BAILEY AV/W 238 ST,E GUN HILL RD/DEKALB AV,HENRY HUDSON PKY E/W 246 ST,INDEPENDENCE AV/W 237 ST,PAUL AV/W 205 ST,RIVERDALE AV/W 256 ST,W 231 ST/RIVERDALE AV,BAILEY AV/VAN CORTLANDT PK S,SEDGWICK AV/HILLMAN AV,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 263 ST,RIVERDALE AV/W 259 ST,HENRY HUDSON PKY W/INDEPENDENCE AV,W 230 ST/TIBETT AV,HENRY HUDSON PKY W/W 236 ST,W 231 ST/BAILEY AV,HENRY HUDSON PKY W/W 252 ST,PAUL AV/BEDFORD PK BL,E 206 ST/ROCHAMBEAU AV,HENRY HUDSON PKY W/W 237 ST,BAILEY AV/W 233 ST,HENRY HUDSON PKY W/W 232 ST,PAUL AV/W MOSHOLU PY S,KAPPOCK ST/KNOLLS CRES,HENRY HUDSON PKY E/W 239 ST,BEDFORD PK/JEROME AV,BAINBRIDGE AV/VAN CORTLANDT AV E,HENRY HUDSON PKY E/W 227 ST,HENRY HUDSON PKY E/W 250 ST,W 231 ST/BROADWAY,BAINBRIDGE AV/E GUN HILL RD,HENRY HUDSON PKY E/W 232 ST,BAINBRIDGE AV/E 210 ST,HENRY HUDSON PKY E/W 235 ST,VAN CORTLANDT AV E/ROCHAMBEAU AV,HENRY HUDSON PKY W/W 246 ST,E GUN HILL RD/BAINBRIDGE AV,E MOSHOLU PY N/VAN CORTLANDT AV E,IRWIN AV/JOHNSON AV,RIVERDALE AV/W 260 ST,SEDGWICK AV/DICKINSON AV,JEROME AV/E MOSHOLU PY N,W 231 ST/KINGSBRIDGE AV,W 231 ST/TIBBETT AV,W 231 ST/CORLEAR AV,HENRY HUDSON PKY E/W 252 ST,HENRY HUDSON PKY W/W 249 ST,HENRY HUDSON PKY E/W 238 ST,KAPPOCK ST/JOHNSON AV,JEROME AV/E 205 ST,E GUN HILL RD/DE KALB AV,Kingsbridge Depot (KB)
RIVERDALE AV/W 254 ST,,,,,,,,,,,,,,0.255 RIVERDALE 263 ST,,,,,,,,,,,0.31 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY/2735 HENRY HUDSON PKY,,,,,,,,0.142 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN CORTLANDT AV W/ORLOFF AV,,,,0.168 NORWOOD 205 ST STA,,,,,,,,,,,,0.331 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 NORWOOD 205 ST STA,,,,,,,,,,,
HENRY HUDSON PKY W/W 239 ST,,,,,,,,,,,,0.405 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/RESERVOIR OVAL E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.851 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 227 ST,,,,,,,,,,,,,,,,,,,,,0.195 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAILEY AV/W 238 ST,,,,,,,,,,,,,,,,0.265 NORWOOD 205 ST STA,,,,,,,,,,,,,0.548 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/DEKALB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 NORWOOD 205 ST STA,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 RIVERDALE 263 ST,,,,,,,,,,,,,,,,,,,,,,,
