,CLAY AV/E 171 ST,E 170 ST/MORRIS AV,E 170 ST/CLAY AV,JENNINGS ST/LONGFELLOW AV,CLAREMONT PKY/BOSTON RD,JENNINGS ST/HOE AV,E 172 ST/LONGFELLOW AV,CLAREMONT PKY/3 AV,EDWARD L GRANT HY/UNIVERSITY AV,W FARMS RD/BRYANT AV,OGDEN AV/UNIVERSITY AV,E 170 ST/GRAND CONCOURSE,E 170 ST/WALTON AV,W 170 ST/SHAKESPEARE AV,W 181 ST/AMSTERDAM AV,OGDEN AV/W 171 ST,W 170 ST/JEROME AV,CLAREMONT PKY/WEBSTER AV,OGDEN AV/W 168 ST,WADSWORTH AV/W 181 ST,E 172 ST/VYSE AV,W FARMS RD/BOONE AV,WEST FARMS RD/HOE AV,E 170 ST/JEROME AV,PLIMPTON AV/W 170 ST,W 181 ST/ST NICHOLAS AV,W FARMS RD/WESTCHESTER AV,W 169 ST/OGDEN AV,E 172 ST/SOUTHERN BL,LOUIS NINE BL/E 170 ST,W 170 ST/EDWARD L. GRANT HY,JENNINGS ST/SOUTHERN BL,PLIMPTON AV/EDWARD L. GRANT HY,LOUIS NINE BL/BOSTON RD,BROADWAY/W 178 ST,W 168 ST/WOODYCREST AV,WOODYCREST AV/W 168 ST,W FARMS RD/LONGFELLOW AV,CLAREMONT PKY/WASHINGTON AV,W FARMS RD/E 167 ST,CLAREMONT PKY/CROTONA PARK E,SHAKESPEARE AV/W 169 ST,OGDEN AV/W 169 ST,CLAREMONT PKY/CROTONA AV,E 170 ST/COLLEGE AV,WEST FARMS RD/VYSE AV,E 170 ST/FINDLAY AV,E 170 ST/TELLER AV,W 168 ST/NELSON AV,E 170 ST/SHERIDAN AV,W 181 ST/WADSWORTH AV,W 170 ST/EDWARD L GRANT HY,W 179 ST/BROADWAY,West Farms Depot (WF)
CLAY AV/E 171 ST,,,,,,,,,,,,,,,,,,0.159 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363 WASHINGTON HEIGHTS G W BRIDGE,,,,,,
E 170 ST/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 WEST FARMS RD SOUTHERN BL,,,,,,,
E 170 ST/CLAY AV,0.217 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JENNINGS ST/LONGFELLOW AV,,,,,,,,,,,,,,,,,,,,,,0.243 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAREMONT PKY/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,
JENNINGS ST/HOE AV,,,,0.199 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 172 ST/LONGFELLOW AV,,,,,,,,,,,,,,,,,,,,,0.158 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAREMONT PKY/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 WASHINGTON HEIGHTS G W BRIDGE,,,,,0.379 WEST FARMS RD SOUTHERN BL,,,,,,,,,,
EDWARD L GRANT HY/UNIVERSITY AV,,,,,,,,,,,,,,,1.651 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W FARMS RD/BRYANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 WEST FARMS RD SOUTHERN BL,,,,,,,,
OGDEN AV/UNIVERSITY AV,,,,,,,,,,,,,,,,0.202 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/GRAND CONCOURSE,,1.282 WEST FARMS RD SOUTHERN BL,,,,,,,,,,0.0 WEST FARMS RD SOUTHERN BL,0.242 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/WALTON AV,,,,,,,,,,,,0.801 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,0.165 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 170 ST/SHAKESPEARE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,
W 181 ST/AMSTERDAM AV,,,,,,,,,,,0.771 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,0.386 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGDEN AV/W 171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,
W 170 ST/JEROME AV,,,,,,,,,,,,,0.165 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAREMONT PKY/WEBSTER AV,0.165 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.128 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,
OGDEN AV/W 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,
WADSWORTH AV/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 WASHINGTON HEIGHTS G W BRIDGE,
E 172 ST/VYSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,
W FARMS RD/BOONE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 WEST FARMS RD SOUTHERN BL,,,,,,,,,,,,,,,,
WEST FARMS RD/HOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 170 ST/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,
PLIMPTON AV/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,
W 181 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,0.486 WEST FARMS RD SOUTHERN BL,,,,,0.229 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W FARMS RD/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,
W 169 ST/OGDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,0.175 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 172 ST/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783 WASHINGTON HEIGHTS G W BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,7.359 to depot of Bx11
