,EDSON AV/BARTOW AV,E FORDHAM RD/ JEROME AV,BARTOW AV/CO-OP CITY BL,PELHAM PKWY/STILLWELL AV,BAY PLAZA BL/IFO JC PENNY,PELHAM PKWY/WILLIAMSBRIDGE RD,W FORDHAM RD/ SEDGWICK AV,E FORDHAM RD/SOUTHERN BL,E FORDHAM RD/3 AV,BAY PLAZA BL/CO-OP CITY BL,PELHAM PKWY/EASTCHESTER RD,MALL/AT BAY PLAZA,AMENDOLA PL/WESTCHESTER AV,W FORDHAM RD/CEDAR AV,E FORDHAM RD/VALENTINE AV,W FORDHAM RD/UNIVERSITY AV,BROADWAY/ISHAM ST,E FORDHAM RD/WEBSTER AV,BROADWAY/W 207TH ST,W 207 ST/10 AV,AMENDOLA PL/WILKINSON AV,PELHAM PKWY/WHITE PLAINS RD,E FORDHAM RD/WALTON AV,BAYCHESTER AV/N.E. THRUWAY EXIT,W FORDHAM RD/SEDGWICK AV,West Farms Depot (WF)
EDSON AV/BARTOW AV,,,,,,,,,,,,,,,,,,,,,1.978 SELECT BUS BROADWAY INWOOD,,,,,
E FORDHAM RD/ JEROME AV,,,,,,,,,,,,,,,,0.328 SELECT BUS BROADWAY INWOOD,,,,,,,,,,
BARTOW AV/CO-OP CITY BL,3.592 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/STILLWELL AV,,,,,,,,,,,4.202 SELECT BUS BROADWAY INWOOD,,1.093 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,,,
BAY PLAZA BL/IFO JC PENNY,,,,,,,,,,0.147 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,,,,,
PELHAM PKWY/WILLIAMSBRIDGE RD,,,,,,,,,,,1.087 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,1.05 SELECT BUS BROADWAY INWOOD,,,,
W FORDHAM RD/ SEDGWICK AV,,,,,,,,,,,,,,,,0.344 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,
E FORDHAM RD/SOUTHERN BL,,,,,,,,,,,,,,,,,,2.154 SELECT BUS BROADWAY INWOOD,,,,2.194 SELECT BUS BAY PLAZA CO-OP CITY,,,,
E FORDHAM RD/3 AV,,,,,,,,1.035 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,,,,,,,,
BAY PLAZA BL/CO-OP CITY BL,,,0.358 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/EASTCHESTER RD,,,,0.598 SELECT BUS BAY PLAZA CO-OP CITY,,1.151 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,,,,,,,,,
MALL/AT BAY PLAZA,,,,,0.489 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,,,,,,,,,,,
AMENDOLA PL/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,2.05 SELECT BUS BAY PLAZA CO-OP CITY,,
W FORDHAM RD/CEDAR AV,,,,,,,0.276 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,,,0.676 SELECT BUS BROADWAY INWOOD,,,,,,
E FORDHAM RD/VALENTINE AV,,0.456 SELECT BUS BROADWAY INWOOD,,,,,,,0.788 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,,,,,,,
W FORDHAM RD/UNIVERSITY AV,,,,,,,,,,,,,,,,,,,,,,,0.401 SELECT BUS BAY PLAZA CO-OP CITY,,0.344 SELECT BUS BROADWAY INWOOD,
BROADWAY/ISHAM ST,,,,,,,,,,,,,,,,,,,,0.459 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,
E FORDHAM RD/WEBSTER AV,,,,,,,,,,,,,,,0.396 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,
BROADWAY/W 207TH ST,,,,,,,,,,,,,,,,,0.129 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,
W 207 ST/10 AV,,,,,,,,,,,,,,0.676 SELECT BUS BAY PLAZA CO-OP CITY,,,,,0.411 SELECT BUS BROADWAY INWOOD,,,,,,,
AMENDOLA PL/WILKINSON AV,,,,3.128 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/WHITE PLAINS RD,,,,,,1.066 SELECT BUS BAY PLAZA CO-OP CITY,,1.323 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,,,,,,,9.033 to depot of Bx12-SBS
E FORDHAM RD/WALTON AV,,,,,,,,,,,,,,,0.383 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,
BAYCHESTER AV/N.E. THRUWAY EXIT,,,,,,,,,,,,0.2 SELECT BUS BAY PLAZA CO-OP CITY,,,,,,,,,,,,,,
W FORDHAM RD/SEDGWICK AV,,,,,,,,,,,,,,0.276 SELECT BUS BROADWAY INWOOD,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,3.661 SELECT BUS BAY PLAZA CO-OP CITY,,,,
