,BAY PLAZA BL/OPP STAPLES,PELHAM PKWY/JACOBI HOSP,E FORDHAM RD/BATHGATE AV,E FORDHAM RD/HOFFMAN ST,PELHAM PKWY/BRONXWOOD AV,E FORDHAM RD/WEBSTER AV,PELHAM PKY/WILLIAMSBRIDGE RD,PELHAM PKWY/STILLWELL AV,E FORDHAM RD/ELM PL,BAY PLAZA BL/CO-OP CITY BL,W FORDHAM RD/CEDAR AV,PELHAM PKWY/ST PAUL AV,PELHAM PKWY/EASTCHESTER RD,W FORDHAM RD/JEROME AV,E FORDHAM RD/DECATUR AV,E FORDHAM RD/VALENTINE AV,BROADWAY/W 207TH ST,E FORDHAM RD/3 AV,BARTOW AV/CO-OP CITY BL,E FORDHAM RD/E 190 ST,PELHAM PKWY/MULINER AV,BAYCHESTER AV/IFO PC RICHARDS,E FORDHAM RD/CAMBRELENG AV,PELHAM PKWY/WHITE PLAINS RD,E FORDHAM RD/JEROME AV,PELHAM PKWY/WILLIAMSBRIDGE RD,E FORDHAM RD/CAMBERLENG AV,AMENDOLA PL/WILKINSON AV,PELHAM PKWY/SEYMOUR AV,PELHAM PKWY/NARRAGANSETT AV,AMENDOLA PL/WESTCHESTER AV,PELHAM PKWY/THROOP AV,BROADWAY/ISHAM ST,EDSON AV/BARTOW AV,W FORDHAM RD/SEDGWICK AV,W 207 ST/10 AV,BAY PLAZA BL/APPLEBEE'S,E FORDHAM RD/SOUTHERN BL,W FORDHAM RD/UNIVERSITY AV,E FORDHAM RD/GRAND CONCOURSE,SEDGWICK AV/WEBB AV,West Farms Depot (WF)
BAY PLAZA BL/OPP STAPLES,,,,,,,,,,,,,,,,,,,,,,0.266 PELHAM BAY,,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/JACOBI HOSP,,,,,,,,,,,,,0.355 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/BATHGATE AV,,,,0.146 PELHAM BAY,,0.428 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/HOFFMAN ST,,,0.442 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,0.303 PELHAM BAY,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/BRONXWOOD AV,,,,,,,,,,,,,,,,,,,,,,,,4.211 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,
E FORDHAM RD/WEBSTER AV,,,,,,,,,,,,,,,0.102 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELHAM PKY/WILLIAMSBRIDGE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.436 PELHAM BAY,,,,,,,,,,,,
PELHAM PKWY/STILLWELL AV,,,,,,,,,,,,0.535 PELHAM BAY,4.202 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/ELM PL,,,,,,,,,,,,,,,,,,0.604 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,
BAY PLAZA BL/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,0.358 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,0.385 PELHAM BAY,,,,,
W FORDHAM RD/CEDAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.676 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,0.326 PELHAM BAY,
PELHAM PKWY/ST PAUL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521 PELHAM BAY,,,,,,,,,,,
PELHAM PKWY/EASTCHESTER RD,,,,,,,,0.598 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,0.327 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,
W FORDHAM RD/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.332 PELHAM BAY,,
E FORDHAM RD/DECATUR AV,,,,,,,,,,,,,,,,0.295 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/VALENTINE AV,,,,,,,,,0.184 PELHAM BAY,,,,,,,,,,,0.167 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 207TH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42 SEDWICK AV via PELHAM PKY via FORDHAM RD,
E FORDHAM RD/3 AV,,,0.3 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.592 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,
E FORDHAM RD/E 190 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.289 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,
PELHAM PKWY/MULINER AV,,,,,,,1.257 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.868 to depot of Bx12
BAYCHESTER AV/IFO PC RICHARDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408 PELHAM BAY,,,,,,,,
E FORDHAM RD/CAMBRELENG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 PELHAM BAY,,,,
PELHAM PKWY/WHITE PLAINS RD,,,,,,,,,,,,,,,,,,,,,0.98 PELHAM BAY,,,,,,,,,,,,,,,,,1.323 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,
E FORDHAM RD/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,
PELHAM PKWY/WILLIAMSBRIDGE RD,,,,,2.34 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBERLENG AV,,,,0.804 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMENDOLA PL/WILKINSON AV,,,,,,,,3.128 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/SEYMOUR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,
PELHAM PKWY/NARRAGANSETT AV,,0.299 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMENDOLA PL/WESTCHESTER AV,2.167 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELHAM PKWY/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.411 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,
BROADWAY/ISHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459 PELHAM BAY,,,,,,
EDSON AV/BARTOW AV,,,,,,,,,,0.939 PELHAM BAY,,,,,,,,,,,,,,,,,,1.978 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,
W FORDHAM RD/SEDGWICK AV,,,,,,,,,,,0.276 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 PELHAM BAY,,,
W 207 ST/10 AV,,,,,,,,,,,0.676 PELHAM BAY,,,,,,0.411 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,
BAY PLAZA BL/APPLEBEE'S,,,,,,,,,,0.393 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,2.194 PELHAM BAY,,,1.694 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,,,,,,,,,
W FORDHAM RD/UNIVERSITY AV,,,,,,,,,,,,,,0.328 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,0.344 SEDWICK AV via PELHAM PKY via FORDHAM RD,,,,,,,
E FORDHAM RD/GRAND CONCOURSE,,,,,,,,,,,,,,,,0.123 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/WEBB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.448 PELHAM BAY,,0.051 PELHAM BAY,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,2.679 PELHAM BAY,,,,,,,,,,,,,,,,,,,,,
