,E 163 ST/ 3 AV,W 181 ST/AMSTERDAM AV,E 161 ST/MELROSE AV,W 181 ST/ST NICHOLAS AV,OGDEN AV/W 167 ST,E 161 ST/GERARD AV,RIVER AV/E 157 ST,WADSWORTH AV/W 181 ST,JEROME AV/W 161 ST,OGDEN AV/W 165 ST,W 178 ST/BROADWAY,OGDEN AV/W 168 ST,RIVER AV/E 150 ST,E 161 ST/SHERMAN AV,E 161 ST/RIVER AV,EDWARD L GRANT HY/UNIVERSITY AV,W 169 ST/OGDEN AV,RIVER AV/E 149 ST,E 161 ST/PARK AV,OGDEN AV/W 171 ST,E 163 ST/3 AV,OGDEN AV/W 162 ST,JEROME AV/E 161 ST,OGDEN AV/UNIVERSITY AV,179 ST/BROADWAY,OGDEN AV/W 166 ST,OGDEN AV/W 169 ST,PLIMPTON AV/EDWARD L. GRANT HY,W 179 ST/BROADWAY,E 161 ST/MORRIS AV,PLIMPTON AV/W 170 ST,RIVER AV/E 151 ST,E 161 ST/CONCOURSE VILLAGE E,ELTON AV/E 161 ST,OGDEN AV/W 164 ST,W 178 ST/FT WASHINGTON AV,Kingsbridge Depot (KB)
E 163 ST/ 3 AV,,,,,,,,,,,,,,,,,,2.56 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,
W 181 ST/AMSTERDAM AV,,,,0.386 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,0.771 RIVER AV-149 ST,,,,,,,,,,,,,
E 161 ST/MELROSE AV,,,,,,,,,,,,,1.969 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,1.778 RIVER AV-149 ST,,,,,
W 181 ST/ST NICHOLAS AV,,0.486 RIVER AV-149 ST,,,,,,0.229 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.162 to depot of Bx13
OGDEN AV/W 167 ST,,,,,,,,,,,,0.192 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,0.159 RIVER AV-149 ST,,,,,,,,,,,
E 161 ST/GERARD AV,,,,,,,,,,,,,,0.943 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,
RIVER AV/E 157 ST,,,,,,,,,,,,,,,0.274 WASHINGTON HEIGHTS G.W. BRIDGE,,,,1.09 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,
WADSWORTH AV/W 181 ST,,,,0.388 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.237 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,
JEROME AV/W 161 ST,,,,,,,,,,,,,,,,,,,,,,0.303 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,
OGDEN AV/W 165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,0.179 RIVER AV-149 ST,,
W 178 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,0.243 RIVER AV-149 ST,,,,,,,,,,,,
OGDEN AV/W 168 ST,,,,,0.192 RIVER AV-149 ST,,,,,,,,,,,,0.201 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,
RIVER AV/E 150 ST,,,,,,,,,,,,,,,,,,,1.735 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,
E 161 ST/SHERMAN AV,,,,,,,0.786 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,0.515 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,
E 161 ST/RIVER AV,,,,,,0.32 RIVER AV-149 ST,,,0.465 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,0.722 RIVER AV-149 ST,,,,
EDWARD L GRANT HY/UNIVERSITY AV,,0.938 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 169 ST/OGDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,
RIVER AV/E 149 ST,2.277 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,2.277 RIVER AV-149 ST,,,,,,,,,,,,,,,,
E 161 ST/PARK AV,,,0.249 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,,,
OGDEN AV/W 171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 RIVER AV-149 ST,,,,,,,,,,
E 163 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319 WASHINGTON HEIGHTS G.W. BRIDGE,,,
OGDEN AV/W 162 ST,,,,,,,,,,,,,,,,,,,,,,,0.352 RIVER AV-149 ST,,,,,,,,,,,,0.154 WASHINGTON HEIGHTS G.W. BRIDGE,,
JEROME AV/E 161 ST,,,,,,,,,,,,,,,0.793 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,
OGDEN AV/UNIVERSITY AV,,,,,,,,,,,,,,,,,,,,0.202 RIVER AV-149 ST,,,,,,,,,,,,,,,,,
179 ST/BROADWAY,,,,,,,,0.28 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGDEN AV/W 166 ST,,,,,0.159 WASHINGTON HEIGHTS G.W. BRIDGE,,,,,0.148 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
OGDEN AV/W 169 ST,,,,,,,,,,,,0.201 RIVER AV-149 ST,,,,,,,,,,,,,,,,,,,,,,,,,
