,3 AV/E TREMONT AV,3 AV/E 157 ST,3 AV/E 173 ST,3 AV/E 169 ST,E 125 ST/MADISON AV,3 AV/E 152 ST,E 125 ST/3 AV,3 AV/E 188 ST,W 125 ST/MALCOLM X BL,W 125 ST/FRED DOUGLASS BL,3 AV/E 156 ST,E 125 ST/LEXINGTON AV,3 AV/E 166 ST,3 AV/WASHINGTON AV,W 125 ST/ADAM C POWELL BL,E 125 ST/1 AV,3 AV/ST PAULS PL,WILLIS AV/E 148 ST,E 138 ST/3 AV,E 128 ST/3 AV,3 AV/E 183 ST,3 AV/E 163 ST,3 AV/E FORDHAM RD,3 AV/E 180 ST,E 138 ST/ALEXANDER AV,LINCOLN AV/BRUCKNER BL,WILLIS AV/E 144 ST,3 AV/E 154 ST,W 125 ST/MORNINGSIDE AV,3 AV/CLAREMONT PKY,3 AV/WESTCHESTER AV,W 125 ST/OLD BROADWAY,3 AV/E 153 ST,E 138 ST/WILLIS AV,2 AV/E 126 ST,W 125 ST/BROADWAY,3 AV/CROSS BRONX EP,W 125 ST/AMSTERDAM AV,3 AV/E 189 ST,3 AV/CROSS BRONX EXP,E 125 ST/2 AV,3 AV/E 184 ST,E 125 ST/PARK AV,WILLIS AV/E 138 ST,3 AV/E 150 ST,WILLIS AV/E 146 ST,W 125 ST/MALCOLM X  BL,W 125 ST/5 AV,3 AV/E 174 ST,W 125 ST/ST NICHOLAS AV,3 AV/E 161 ST,3 AV/E 175 ST,W 125 ST/ST CLAIRE PL,E 125 ST/5 AV,W 125 ST/12 AV,WILLIS AV/E 140 ST,3 AV/E 158 ST,ST CLAIRE PL/W 125 ST,WILLIS AV/E 142 ST,3 AV/E 172 ST,3 AV/E 168 ST,LINCOLN AV/E 136 ST,Kingsbridge Depot (KB)
3 AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,0.48 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,0.311 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 157 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087 FORDHAM PLZ via 3 AV,,,,,,
3 AV/E 173 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,
3 AV/E 169 ST,,,,,,,,,,,,,,,,,0.369 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.253 WEST HARLEM 12 AV via 3 AV via 125 ST,,
E 125 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 FORDHAM PLZ via 3 AV,,,,,0.156 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,
3 AV/E 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/3 AV,,,,,,,,,,,,0.154 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 188 ST,,,,,,,,,,,,,,0.064 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.625 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X BL,,,,,,,,,,,,,,,0.258 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/FRED DOUGLASS BL,,,,,,,,,,,,,,,0.331 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,
3 AV/E 156 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/LEXINGTON AV,,,,,,,0.154 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,
3 AV/E 166 ST,,,,,,,,,,,,,,,,,,,,,,1.111 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356 FORDHAM PLZ via 3 AV,,
3 AV/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,0.476 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/ADAM C POWELL BL,,,,,,,,,,0.331 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,
E 125 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.127 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,
3 AV/ST PAULS PL,,,,0.901 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 148 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 138 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 WEST HARLEM 12 AV via 3 AV via 125 ST,
E 128 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 183 ST,,,,,,,,,,,,,,,,,,,,,,,,0.418 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 163 ST,,,,,,,,,,,,,0.511 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,
3 AV/E FORDHAM RD,,,,,,,,0.478 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.343 to depot of Bx15
3 AV/E 180 ST,0.48 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,
E 138 ST/ALEXANDER AV,,,,,,,,,,,,,,,,,,,0.197 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/BRUCKNER BL,,,,,,,,,,,,,,,,,,,,0.639 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 144 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 FORDHAM PLZ via 3 AV,,,,,,,,,,0.317 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,
3 AV/E 154 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,
W 125 ST/MORNINGSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,0.136 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,
3 AV/CLAREMONT PKY,,,,,,,,,,,,,,,,,0.45 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 FORDHAM PLZ via 3 AV,,,
3 AV/WESTCHESTER AV,,,,,,0.22 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/OLD BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 WEST HARLEM 12 AV via 3 AV via 125 ST,,0.251 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 153 ST,,0.27 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 138 ST/WILLIS AV,,,,,,,,,,,,,,,,,,,,,,,,,0.22 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 126 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,
3 AV/CROSS BRONX EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,
W 125 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 FORDHAM PLZ via 3 AV,,,0.251 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 189 ST,,,,,,,,,,,,,,,,,,,,,,,0.786 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/CROSS BRONX EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/2 AV,,,,,,,0.217 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,0.21 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 184 ST,,,,,,,,0.485 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/PARK AV,,,,,0.168 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,0.142 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 FORDHAM PLZ via 3 AV,,,,,,,
3 AV/E 150 ST,,,,,,,,,,,,,,,,,,0.629 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 146 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X  BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 FORDHAM PLZ via 3 AV,,,,,,,,,
W 125 ST/5 AV,,,,,,,,,0.268 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 FORDHAM PLZ via 3 AV,,,,,,,,0.375 WEST HARLEM 12 AV via 3 AV via 125 ST,,,
W 125 ST/ST NICHOLAS AV,,,,,,,,,,0.139 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,0.136 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 161 ST,,,,,,,,,,,,,,,,,,,,,,0.119 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,
3 AV/E 175 ST,0.27 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/ST CLAIRE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,
E 125 ST/5 AV,,,,,0.156 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/12 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128 FORDHAM PLZ via 3 AV,,,,,
WILLIS AV/E 140 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FORDHAM PLZ via 3 AV,,,,
3 AV/E 158 ST,,,,,,,,,,,0.207 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303 FORDHAM PLZ via 3 AV,,,,,,,,,,,,
ST CLAIRE PL/W 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLIS AV/E 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 172 ST,,,0.648 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 168 ST,,,,0.236 FORDHAM PLZ via 3 AV,,,,,,,,,0.637 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/E 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 WEST HARLEM 12 AV via 3 AV via 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,,,,,,,,,,,,,,,,,4.067 FORDHAM PLZ via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
