,BOSTON RD/PROVOST AV,PITMAN AV/HILL AV,DYRE AV/BOSTON RD,NEREID AV/BRUNER AV,NEREID AV/EDSON AV,WEBSTER AV/E 233 ST,BAINBRIDGE AV/RESERVOIR OVAL E,MC OWEN AV/BOSTON RD,HOLLERS AV/ROPES AV,BAINBRIDGE AV/E 212 ST,E 233 ST/ONEIDA AV,PITMAN AV/MURDOCK AV,BOSTON RD/CONNER ST,DYRE AV/LIGHT ST,JEROME AV/E 233 ST,E 233 ST/MURDOCK AV,NEREID AV/BYRON AV,SANFORD BL/S 11 AV,MUNDY LA/PITMAN AV,MUNDY LA/NEREID AV,BAYCHESTER AV/STRANG AV,E 233 ST/NAPIER AV,E 233 ST/BAYCHESTER AV,VAN CORTLANDT AV E/ROCHAMBEAU AV,NEREID AV/MUNDY LA,NEREID AV/WHITE PLAINS RD,BAYCHESTER AV/EDENWALD AV,BAINBRIDGE AV/JEROME AV,E 233 ST/VAN CORTLANDT PK E,NEREID AV/CARPENTER AV,NEREID AV/MONTICELLO AV,E MOSHOLU PY N/VAN CORTLANDT AV E,NEREID AV/SETON AV,ROPES AV/BOSTON RD,NEREID AV/BAYCHESTER AV,BAYCHESTER AV/PITMAN AV,E 233 ST/HARPER AV,BOSTON RD/ROPES AV,E 206 ST/ROCHAMBEAU AV,E 233 ST/SECOR AV,E 233 ST/SETON AV,BAINBRIDGE AV/E GUN HILL RD,WEBSTER AV/NEREID AV,E 233 ST/DYRE AV,BAINBRIDGE AV/E 210 ST,E 233 ST/JEROME AV,NEREID AV/MURDOCK AV,WEBSTER AV/E 235 ST,WEBSTER AV/E 240 ST,BAINBRIDGE AV/E 206 ST,E 233 ST/KATONAH AV,BAINBRIDGE AV/VAN CORTLANDT AV E,E 233 ST/KEPLER AV,West Farms Depot (WF)
BOSTON RD/PROVOST AV,,,0.335 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITMAN AV/HILL AV,,,,,,,,,,,,,,,,,,0.218 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRE AV/BOSTON RD,,,,,,,,,,,,,0.344 PELHAM ROPES AV via MUNDY LA,0.366 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/BRUNER AV,,,,,0.235 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,0.263 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/EDSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 PELHAM ROPES AV via MUNDY LA,,,,,,,
WEBSTER AV/E 233 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 PELHAM ROPES AV via MUNDY LA,,,0.327 NORWOOD 205 ST STA via MUNDY LA,,,
BAINBRIDGE AV/RESERVOIR OVAL E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833 PELHAM ROPES AV via MUNDY LA,,,,,,,,,
MC OWEN AV/BOSTON RD,,,,,,,,,0.351 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLERS AV/ROPES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 212 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,0.272 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,
E 233 ST/ONEIDA AV,,,,,,,,,,,,,,,,,,,,,,0.208 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 PELHAM ROPES AV via MUNDY LA,
PITMAN AV/MURDOCK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,
BOSTON RD/CONNER ST,,,,,,,,0.753 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYRE AV/LIGHT ST,,,0.366 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,
JEROME AV/E 233 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.611 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/MURDOCK AV,,,,,,,,,,,,,,,,,,,,,0.425 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,0.259 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,
NEREID AV/BYRON AV,,,,0.263 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,0.195 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANFORD BL/S 11 AV,,,,,,,,,,,,,,,,,,,,0.29 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDY LA/PITMAN AV,,,,,,,,,,,,0.549 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUNDY LA/NEREID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,
BAYCHESTER AV/STRANG AV,,,,,,,,,,,,,,,,,,,,,,,0.198 PELHAM ROPES AV via MUNDY LA,,,,0.32 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/NAPIER AV,,,,,,,,,,,0.208 PELHAM ROPES AV via MUNDY LA,,,,0.515 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/BAYCHESTER AV,,,,,,,,,,,,,,,,0.246 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN CORTLANDT AV E/ROCHAMBEAU AV,,,,,,,0.443 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/MUNDY LA,,,,,,,,,,,,,,,,,,,0.0 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/WHITE PLAINS RD,,,,,,,,,,,,,,,,,0.195 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,0.226 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,
BAYCHESTER AV/EDENWALD AV,,,,,,,,,,,,,,,,,,,,,0.325 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,0.592 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/JEROME AV,,,,,,,,,,2.306 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929 PELHAM ROPES AV via MUNDY LA,,,,,,,,
E 233 ST/VAN CORTLANDT PK E,,,,,,,,,,,,,,,,,,,,,,0.201 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/CARPENTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,0.472 NORWOOD 205 ST STA via MUNDY LA,,,,,
NEREID AV/MONTICELLO AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 NORWOOD 205 ST STA via MUNDY LA,,,,,,,
E MOSHOLU PY N/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,0.703 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/SETON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,
ROPES AV/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,
NEREID AV/BAYCHESTER AV,,,,0.318 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAYCHESTER AV/PITMAN AV,,0.313 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,0.592 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/HARPER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,
BOSTON RD/ROPES AV,0.82 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 206 ST/ROCHAMBEAU AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/SECOR AV,,,,,,,,,,,,,,0.225 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/SETON AV,,,,,,,,,,,,,,,,0.24 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,0.376 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,
BAINBRIDGE AV/E GUN HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,
WEBSTER AV/NEREID AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,
E 233 ST/DYRE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 210 ST,,,,,,,,,,0.623 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 NORWOOD 205 ST STA via MUNDY LA,,
E 233 ST/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,
NEREID AV/MURDOCK AV,,,,,,,,,,,,,,,,,,,,,,,,,0.313 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,0.234 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,
WEBSTER AV/E 235 ST,,,,,,0.32 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,
WEBSTER AV/E 240 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 NORWOOD 205 ST STA via MUNDY LA,,,,,,
BAINBRIDGE AV/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,7.931 to depot of Bx16
E 233 ST/KATONAH AV,,,,,,0.327 PELHAM ROPES AV via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 NORWOOD 205 ST STA via MUNDY LA,
BAINBRIDGE AV/VAN CORTLANDT AV E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 NORWOOD 205 ST STA via MUNDY LA,,,,
E 233 ST/KEPLER AV,,,,,,,,,,,0.167 NORWOOD 205 ST STA via MUNDY LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 PELHAM ROPES AV via MUNDY LA,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.406 NORWOOD 205 ST STA via MUNDY LA,,,,
