,E 149 ST/ST ANN'S AV,FORDHAM PLAZA/BUS TERMINAL,E FORDHAM RD/CAMBERLENG AV,E 149 ST/TRINITY AV,E FORDHAM RD/BATHGATE AV,E FORDHAM RD/CAMBRELENG AV,CROTONA AV/E FORDHAM RD,CROTONA AV/E 180 ST,E 149 ST/CONCORD AV,ST. ANN'S AV/E 149 ST,CROTONA PK/CROTONA PK BLDG,PROSPECT AV/E 166 ST,E 135 ST/ST ANN'S AV,PROSPECT AV/HOME ST,PROSPECT AV/KELLY ST,PROSPECT AV/E 152 ST,E 135 ST/CYPRESS AV,PROSPECT AV/E 163 ST,E 138 ST/CYPRESS AV,CROTONA AV/E 182 ST,ST. ANN'S AV/E 146 ST,E 149 ST/TINTON AV,CROTONA AV/E TREMONT AV,CROTONA AV/TREMONT AV,PROSPECT AV/WESTCHESTER AV,CROTONA AV/E 179 ST,ST. ANN'S AV/E 143 ST,ST. ANN'S AV/ST. MARY'S ST,CROTONA AV/E 175 ST,E FORDHAM RD/HOFFMAN ST,PROSPECT AV/E 156 ST,WASHINGTON AV/E FORDHAM RD,E 138 ST/JACKSON AV,CROTONA AV/CLAREMONT PY,E 138 ST/ST ANNS AV,PROSPECT AV/E 165 ST,E 149 ST/WALES AV,CROTONA AV/E 176 ST,E 149 ST/JACKSON AV,PROSPECT AV/E 149 ST,CROTONA AV/E 189 ST,PROSPECT AV/BOSTON RD,CROTONA AV/E 187 ST,CROTONA AV/E 183 ST,ST. ANN'S AV/E 141 ST,ST. ANN'S AV/E 138 ST,PROSPECT AV/RITTER PL,CROTONA AV/CROTONA PK BLDG,ST. ANN'S AV/E 140 ST,PROSPECT AV/E 169 ST,West Farms Depot (WF)
E 149 ST/ST ANN'S AV,,,,0.266 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORDHAM PLAZA/BUS TERMINAL,,,,,0.701 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBERLENG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,
E 149 ST/TRINITY AV,,,,,,,,,,0.266 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118 FORDHAM PLAZA,,,,,,,,,,,,
E FORDHAM RD/BATHGATE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 PORT MORRIS 135 ST,,0.182 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,
E FORDHAM RD/CAMBRELENG AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 PORT MORRIS 135 ST,,,,,,,,,,
CROTONA AV/E FORDHAM RD,,,0.991 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROTONA AV/E 180 ST,,,,,,,,,,,,,,,,,,,,0.311 FORDHAM PLAZA,,,,,,0.181 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/CONCORD AV,,,,0.162 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST. ANN'S AV/E 149 ST,,,,,,,,,,,,,,,,,,,,,0.237 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROTONA PK/CROTONA PK BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,
PROSPECT AV/E 166 ST,,,,,,,,,,,,,,0.235 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,0.202 PORT MORRIS 135 ST,,,,,,,,,,,,,,,
E 135 ST/ST ANN'S AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 FORDHAM PLAZA,,,,,
PROSPECT AV/HOME ST,,,,,,,,,,,,0.235 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 FORDHAM PLAZA,
PROSPECT AV/KELLY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,
PROSPECT AV/E 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 PORT MORRIS 135 ST,,,,,,,,,,,
E 135 ST/CYPRESS AV,,,,,,,,,,,,,0.456 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT AV/E 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.304 PORT MORRIS 135 ST,,,,,,,,,,,0.203 FORDHAM PLAZA,,,,,,,,,,,,,,,
E 138 ST/CYPRESS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,
CROTONA AV/E 182 ST,,,,,,,,0.311 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 FORDHAM PLAZA,,,,,,,
ST. ANN'S AV/E 146 ST,0.237 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/TINTON AV,,,,,,,,,0.159 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROTONA AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.182 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,2.435 to depot of Bx17
CROTONA AV/TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 PORT MORRIS 135 ST,,,,,,,,,,,,,
PROSPECT AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,0.316 FORDHAM PLAZA,,,,,,,,,,,,,0.507 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,
CROTONA AV/E 179 ST,,,,,,,,0.181 FORDHAM PLAZA,,,,,,,,,,,,,,,,0.182 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST. ANN'S AV/E 143 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 PORT MORRIS 135 ST,,,,,,
ST. ANN'S AV/ST. MARY'S ST,,,,,,,,,,,,,,,,,,,,,0.23 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROTONA AV/E 175 ST,,,,,,,,,,,0.437 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 FORDHAM PLAZA,,,,,,,,,,,,,
E FORDHAM RD/HOFFMAN ST,,,,,0.442 FORDHAM PLAZA,0.303 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT AV/E 156 ST,,,,,,,,,,,,,,,,0.514 PORT MORRIS 135 ST,,,,,,,,,0.496 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON AV/E FORDHAM RD,,0.257 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 138 ST/JACKSON AV,,,,,,,,,,,,,,,,,0.133 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROTONA AV/CLAREMONT PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 PORT MORRIS 135 ST,,,,,,0.428 FORDHAM PLAZA,,,
E 138 ST/ST ANNS AV,,,,,,,,,,,,,,,,,,,0.289 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT AV/E 165 ST,,,,,,,,,,,,0.202 FORDHAM PLAZA,,,,,,0.213 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/WALES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 FORDHAM PLAZA,,,,,,,,,,,
CROTONA AV/E 176 ST,,,,,,,,,,,,,,,,,,,,,,,0.21 FORDHAM PLAZA,,,,,,0.135 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/JACKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 FORDHAM PLAZA,,,,,,,,,,,,,,
PROSPECT AV/E 149 ST,,,,,,,,,,,,,,,0.324 FORDHAM PLAZA,,,,,,,0.167 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROTONA AV/E 189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 PORT MORRIS 135 ST,,,,,,,,
PROSPECT AV/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367 FORDHAM PLAZA,,,,,,,,,,,,,0.825 PORT MORRIS 135 ST,,,,
CROTONA AV/E 187 ST,,,,,,,0.41 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 PORT MORRIS 135 ST,,,,,,,
CROTONA AV/E 183 ST,,,,,,,,,,,,,,,,,,,,0.218 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,0.257 FORDHAM PLAZA,,,,,,,,
ST. ANN'S AV/E 141 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,
ST. ANN'S AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 FORDHAM PLAZA,,
PROSPECT AV/RITTER PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 FORDHAM PLAZA,,,,,,,,0.382 PORT MORRIS 135 ST,
CROTONA AV/CROTONA PK BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,
ST. ANN'S AV/E 140 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,
PROSPECT AV/E 169 ST,,,,,,,,,,,,,,0.193 PORT MORRIS 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 FORDHAM PLAZA,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,1.478 FORDHAM PLAZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
