,MACOMBS RD/FEATHERBED LA,UNIVERSITY AV/W 176 ST,W TREMONT AV/MONTGOMERY AV,E 170 ST/GRAND CONCOURSE,SEDGWICK AV/W 174 ST,SEDGWICK AV/HARLEM RIVER BRIDGE,UNIVERSITY AV/W TREMONT AV,INWOOD AV/MACOMBS RD,E 170 ST/JEROME AV,MACOMBS RD/INWOOD AV,MACOMBS RD/GOBLE PL,MACOMBS RD/GRAND AV,UNDERCLIFF AV/SEDGWICK AV,W TREMONT AV/UNIVERSITY AV,W TREMONT AV/LORING PL S,SEDGWICK AV/W 176 ST,W 170 ST/JEROME AV,UNDERCLIFF AV/W 176 ST,SEDGWICK AV/W TREMONT AV,UNDERCLIFF AV/W 174 ST,UNDERCLIFF AV/W 172 ST,E 170 ST/WALTON AV,UNDERCLIFF AV/BOSCOBEL PL,MACOMBS RD/NELSON AV,SEDGWICK AV/W 172 ST,MACOMBS RD/W 176 ST,Kingsbridge Depot (KB)
MACOMBS RD/FEATHERBED LA,,,,,,,,,,,0.211 170 ST CONCOURSE,,,,,,,,,,,,,,,,
W TREMONT AV/MONTGOMERY AV,,,,,,,0.555 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,
E 170 ST/GRAND CONCOURSE,,,,,,,,,,,,,,,,,,,,,,0.242 RIVER PARK TOWERS,,,,,
SEDGWICK AV/W 174 ST,,,,,,,,,,,,,,,,0.336 RIVER PARK TOWERS,,,,,,,,,,,
SEDGWICK AV/HARLEM RIVER BRIDGE,,,,,,,,,,,,,,,,,,,0.17 170 ST CONCOURSE,,,,,,,,
UNIVERSITY AV/W 176 ST,,,,,,,,,,,,,,,,,,,,,,,,0.443 170 ST CONCOURSE,,,
UNIVERSITY AV/W TREMONT AV,,0.282 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,
INWOOD AV/MACOMBS RD,,,,,,,,,,,0.265 RIVER PARK TOWERS,,,,,,,,,,,,,,,,
E 170 ST/JEROME AV,,,,,,,,0.203 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,
MACOMBS RD/INWOOD AV,,,,,,,,,,,,,,,,,0.203 170 ST CONCOURSE,,,,,,,,,,
MACOMBS RD/GOBLE PL,,,,,,,,,,0.265 170 ST CONCOURSE,,0.272 RIVER PARK TOWERS,,,,,,,,,,,,,,,
MACOMBS RD/GRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 RIVER PARK TOWERS,
UNDERCLIFF AV/SEDGWICK AV,,,,,,,,,,,,,,,,,,1.77 RIVER PARK TOWERS,,,,,,,0.608 RIVER PARK TOWERS,,
W TREMONT AV/UNIVERSITY AV,,,,,,,,,,,,,,,0.181 RIVER PARK TOWERS,,,,,,,,,,,,
W TREMONT AV/LORING PL S,,,,,,,,,,,,,,,,,,,0.26 RIVER PARK TOWERS,,,,,,,,
SEDGWICK AV/W 176 ST,,,,,,0.146 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,,,
W 170 ST/JEROME AV,,,,,,,,,,,,,,,,,,,,,,0.165 170 ST CONCOURSE,,,,,
UNDERCLIFF AV/W 176 ST,,,,,,,,,,,,,,,,,,,,0.279 RIVER PARK TOWERS,,,,,,,
SEDGWICK AV/W TREMONT AV,,,0.231 170 ST CONCOURSE,,,,,,,,,,1.435 RIVER PARK TOWERS,,,,,,,,,,,,,,5.673 to depot of Bx18
UNDERCLIFF AV/W 174 ST,,,,,,,,,,,,,,,,,,,,,0.216 RIVER PARK TOWERS,,,,,,
UNDERCLIFF AV/W 172 ST,,,,,,,,,,,,,,,,,,,,,,,0.214 RIVER PARK TOWERS,,,,
E 170 ST/WALTON AV,,,,0.801 170 ST CONCOURSE,,,,,0.165 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,
UNDERCLIFF AV/BOSCOBEL PL,,,,,,,,,,,,,0.284 RIVER PARK TOWERS,,,,,,,,,,,,,,
MACOMBS RD/NELSON AV,0.316 170 ST CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/W 172 ST,,,,,0.185 RIVER PARK TOWERS,,,,,,,,,,,,,,,,,,,,,,
MACOMBS RD/W 176 ST,,,,,,,,,,,,,,0.195 RIVER PARK TOWERS,,,,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,,,,,,,,,,,,,3.61 170 ST CONCOURSE,,,,,,,,
