,SOUTHERN BL/E 174 ST,E 149 ST/COURTLANDT AV,SOUTHERN BL/ALDUS ST,SOUTHERN BL/E 179 ST,SOUTHERN BL/LONGWOOD AV,E 149 ST/GRAND CONCOURSE,SOUTHERN BL/HUNTS POINT AV,SOUTHERN BL/E 172 ST,W 145 ST/AMSTERDAM AV,E 149 ST/PROSPECT AV,SOUTHERN BL/TIFFANY ST,E 149 ST/TRINITY AV,E 149 ST/JACKSON AV,W 145 ST/ADAM C POWELL BL,SOUTHERN BL/E 156 ST,SOUTHERN BL/JENNINGS ST,E 149 ST/MORRIS AV,SOUTHERN BL/E FORDHAM RD,SOUTHERN BL/BOSTON RD,SOUTHERN BL/AV ST. JOHN,E 149 ST/CONCORD AV,SOUTHERN BL/FREEMAN ST,SOUTHERN BL/E TREMONT AV,W 145 ST/ST NICHOLAS AV,SOUTHERN BL/E 187 ST,SOUTHERN BL/E 149 ST,E 149 ST/WALES AV,W 145 ST/CONVENT AV,SOUTHERN BL/E 173 ST,W 145 ST/MALCOLM X BL,SOUTHERN BL/E 182 ST,SOUTHERN BL/WESTCHESTER AV,E 149 ST/MELROSE AV,SOUTHERN BL/LEGGETT AV,SOUTHERN BL/E 167 ST,SOUTHERN BL/BOTANICAL GARDENS,SOUTHERN BL/HOME ST,E 149 ST/EXTERIOR ST,E 149 ST/BROOK AV,E 149 ST/TINTON AV,SOUTHERN BL/BRONX PK S,E 149 ST/ST ANNS AV,E 149 ST/BERGEN AV,SOUTHERN BL/E 180 ST,E 149 ST/SOUTHERN BL,E 149 ST/ST ANN'S AV,E 149 ST/GERARD AV,SOUTHERN BL/E 183 ST,SOUTHERN BL/E 189 ST,W 145 ST/FRED DOUGLASS BL,SOUTHERN BL/E 176 ST,W 145 ST/RIVERSIDE DR,SOUTHERN BL/AV SAINT JOHN,W 145 ST/BROADWAY,SOUTHERN BL/E 163 ST,RIVERBANK/STATE PARK,West Farms Depot (WF)
SOUTHERN BL/E 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/COURTLANDT AV,,,,,,,,,,,,,,,,,0.452 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,
SOUTHERN BL/ALDUS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,0.739 RIVERBANK PK via SOUTHERN BL via 149 ST,,
SOUTHERN BL/E 179 ST,,,,,,,,,,,,,,,,,,,,,,,0.208 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/LONGWOOD AV,,,,,,,,,,,0.836 BRONX PARK via 149 ST via SOUTHERN,,,,0.588 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/GRAND CONCOURSE,,,,,,,,,,,,,,,,,0.599 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,
SOUTHERN BL/HUNTS POINT AV,,,0.982 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 172 ST,,,,,,,,,,,,,,,,0.201 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,0.204 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 145 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 RIVERBANK PK via SOUTHERN BL via 149 ST,,,
E 149 ST/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,
SOUTHERN BL/TIFFANY ST,,,,,0.769 RIVERBANK PK via SOUTHERN BL via 149 ST,,0.336 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/TRINITY AV,,,,,,,,,,,,,0.118 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,
E 149 ST/JACKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 145 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,0.282 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,
SOUTHERN BL/E 156 ST,,,,,0.398 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/JENNINGS ST,,,,,,,,0.201 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,0.27 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/MORRIS AV,,0.286 BRONX PARK via 149 ST via SOUTHERN,,,,0.402 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,0.414 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.351 BRONX PARK via 149 ST via SOUTHERN,,,,,,
SOUTHERN BL/AV ST. JOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,
E 149 ST/CONCORD AV,,,,,,,,,,,,0.162 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/FREEMAN ST,,,,,,,,,,,,,,,,0.27 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,0.506 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378 BRONX PARK via 149 ST via SOUTHERN,,,,,,,0.295 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,10.306 to depot of Bx19
W 145 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,0.27 BRONX PARK via 149 ST via SOUTHERN,,,,,,,
SOUTHERN BL/E 187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 RIVERBANK PK via SOUTHERN BL via 149 ST,0.367 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,
SOUTHERN BL/E 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 BRONX PARK via 149 ST via SOUTHERN,,,,
E 149 ST/WALES AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 145 ST/CONVENT AV,,,,,,,,,0.133 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,0.146 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 173 ST,,,,,,,,0.204 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,0.181 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 145 ST/MALCOLM X BL,,,,,,,,,,,,,,0.271 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,0.544 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 182 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.288 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,
SOUTHERN BL/WESTCHESTER AV,,,0.142 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.614 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,
E 149 ST/MELROSE AV,,0.17 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/LEGGETT AV,,,,,,,,,,,,,,,0.228 BRONX PARK via 149 ST via SOUTHERN,,,,,0.197 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/BOTANICAL GARDENS,,,,,,,,,,,,,,,,,,0.569 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/HOME ST,,,,,,,,,,,,,,,,,,,,,,0.181 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,0.198 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/EXTERIOR ST,,,,,,1.036 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/BROOK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,0.184 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,
E 149 ST/TINTON AV,,,,,,,,,,,,,,,,,,,,,0.159 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/BRONX PK S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.155 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,
E 149 ST/ST ANNS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,
E 149 ST/BERGEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 180 ST,,,,0.171 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.382 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,
E 149 ST/SOUTHERN BL,,,,,,,,,,0.039 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/ST ANN'S AV,,,,,,,,,,,,0.266 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 149 ST/GERARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.244 BRONX PARK via 149 ST via SOUTHERN,,,,,,0.315 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 189 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,
W 145 ST/FRED DOUGLASS BL,,,,,,,,,,,,,,0.282 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,0.27 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN BL/E 176 ST,0.329 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,0.295 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 145 ST/RIVERSIDE DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 BRONX PARK via 149 ST via SOUTHERN,,0.37 RIVERBANK PK via SOUTHERN BL via 149 ST,
SOUTHERN BL/AV SAINT JOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.181 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,
W 145 ST/BROADWAY,,,,,,,,,0.238 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,
SOUTHERN BL/E 163 ST,,,,,,,,,,,0.91 RIVERBANK PK via SOUTHERN BL via 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERBANK/STATE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401 BRONX PARK via 149 ST via SOUTHERN,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,,,,0.929 BRONX PARK via 149 ST via SOUTHERN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
