,W 231 ST/BROADWAY,W 231 ST/TIBBETT AV,W 231 ST/BAILEY AV,GRAND CONCOURSE/FIELD PL,W MOSHOLU PY S/PAUL AV,SEDGWICK AV/STEVENSON PL,HEATH AV/FT. INDEPENDENCE,GRAND CONCOURSE/E 180 ST,GRAND CONCOURSE/E 181 ST,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 198 ST,W 231 ST/KINGSBRIDGE AV,E 138 ST/3 AV,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E 144 ST,E 136 ST/LINCOLN AV,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 203 ST,E MOSHOLU PKY S/JEROME AV,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 138 ST,GRAND CONCOURSE/BEDFORD PK BL,GRAND CONCOURSE/E MOSHOLU PY S,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/E KINGSBRIDGE RD,W MOSHOLU PKY S/JEROME AV,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E 169 ST,SEDGWICK AV/HILLMAN AV,HEATH AV/ALBANY CRES,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 174 ST,SEDGWICK AV/GILES PL,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/E 175 ST,ALBANY CR/BAILEY AV,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/DICKINSON AV,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E 204 ST,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/E 156 ST,W 231 ST/CORLEAR AV,GRAND CONCOURSE/E MT EDEN AV,GRAND CONCOURSE/MT EDEN AV,SEDGWICK AV/STEVENSON PL 2,RIVERDALE AV/W 231 ST,HEATH AV/SUMMIT PL,W MOSHOLU PKY S/PAUL AV,SEDGWICK AV/STEVENSON PL 1,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/E 165 ST,SEDGWICK AV/VAN CORTLANDT AV W,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E CLARKE PL,Kingsbridge Depot (KB)
W 231 ST/BROADWAY,,,0.281 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,0.121 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.067 to depot of Bx1
W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.103 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,
W 231 ST/BAILEY AV,0.281 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/FIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.654 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,
W MOSHOLU PY S/PAUL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/STEVENSON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,
HEATH AV/FT. INDEPENDENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,
GRAND CONCOURSE/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.637 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.019 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINCOLN AV/E 137 ST,,,,,,,,,,,,,,,,,,,,,,,,0.498 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 198 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.344 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 231 ST/KINGSBRIDGE AV,,0.19 LIMITED RIVERDALE 231 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/MINERVA PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND CONCOURSE/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 LIMITED MOTT HAVEN 138 ST via CONCOURSE,,
