,KINGSBRIDGE AV/W 230 ST,HENRY HUDSON PKY W/W 227 ST,HENRY HUDSON PKY E/W 238 ST,HENRY HUDSON PKY W/W 232 ST,BROADWAY/W 218 ST,BROADWAY/W 225 ST,BROADWAY/W 215 ST,HENRY HUDSON PKY W/W 237 ST,HENRY HUDSON PKY E/W 239 ST,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,W 230 ST/BROADWAY,HENRY HUDSON PKY E/W 227 ST,IRWIN AV/JOHNSON AV,W 231 ST/BROADWAY,BROADWAY/ISHAM ST,KAPPOCK ST/JOHNSON AV,KAPPOCK ST/KNOLLS CRES,BROADWAY/ISHAM ST-W 211 ST,W 231 ST/KINGSBRIDGE AV,W 231 ST/TIBBETT AV,BROADWAY/W 213 ST,INDEPENDENCE AV/W 237 ST,HENRY HUDSON PKY E/W 246 ST,W 231 ST/RIVERDALE AV,HENRY HUDSON PKY W/W 239 ST,HENRY HUDSON PKY E/W 235 ST,BROADWAY/W 220 ST,HENRY HUDSON PKY W/W 246 ST,HENRY HUDSON PKY W/INDEPENDENCE AV,W 231 ST/CORLEAR AV,BROADWAY/EXTERIOR ST,HENRY HUDSON PKY E/W 232 ST,BROADWAY/W 207 ST,BROADWAY/W 228 ST,HENRY HUDSON PKY W/W 236 ST,Kingsbridge Depot (KB)
KINGSBRIDGE AV/W 230 ST,,,,,,,,,,,0.169 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 227 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 INWOOD 207 ST,,,,,,,
HENRY HUDSON PKY E/W 238 ST,,,,,,,,,0.201 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 232 ST,,,,,,,,,,0.268 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 218 ST,,,,,,,0.185 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,1.714 RIVERDALE 246 ST,,,,,,,,,
BROADWAY/W 225 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39 INWOOD 207 ST,,,,,,,0.866 RIVERDALE 246 ST,,
BROADWAY/W 215 ST,,,,,0.701 RIVERDALE 246 ST,,,,,,,,,,,,,,,,0.112 INWOOD 207 ST,,,,,,,,,,,,,,,4.734 to depot of Bx20
HENRY HUDSON PKY W/W 237 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 INWOOD 207 ST,
HENRY HUDSON PKY E/W 239 ST,,,,,,,,,,,,,,,,,,,,,,,0.454 RIVERDALE 246 ST,,,,,,,,,,,,,
HENRY HUDSON PKY/2735 HENRY HUDSON PKY,,0.142 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 230 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 INWOOD 207 ST,,
HENRY HUDSON PKY E/W 227 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423 RIVERDALE 246 ST,,,,
IRWIN AV/JOHNSON AV,,,,,,,,,,,,,,,,0.528 RIVERDALE 246 ST,,,,,,,,0.446 INWOOD 207 ST,,,,,,,,,,,,
W 231 ST/BROADWAY,,,,,,,,,,,,,,,,,,,0.121 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,
BROADWAY/ISHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075 INWOOD 207 ST,,,
KAPPOCK ST/JOHNSON AV,,,,,,,,,,,,,0.528 INWOOD 207 ST,,,,0.228 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,
KAPPOCK ST/KNOLLS CRES,,,,,,,,,,,,0.308 RIVERDALE 246 ST,,,,0.228 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,
BROADWAY/ISHAM ST-W 211 ST,,,,,,,,,,,,,,,,,,,,,0.222 RIVERDALE 246 ST,,,,,,,,,,,,,,,
W 231 ST/KINGSBRIDGE AV,,,,,,,,,,,,,,,,,,,,0.19 RIVERDALE 246 ST,,,,,,,,,,,,,,,,
W 231 ST/TIBBETT AV,,,,,,,,,,,,,0.441 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 213 ST,,,,,,,0.112 RIVERDALE 246 ST,,,,,,,,0.241 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,
INDEPENDENCE AV/W 237 ST,,,,,,,,0.118 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.339 INWOOD 207 ST,,,,,,,,
W 231 ST/RIVERDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 INWOOD 207 ST,,,,,,
HENRY HUDSON PKY W/W 239 ST,,,,,,,,,,,,,,,,,,,,,,0.405 INWOOD 207 ST,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 235 ST,,,0.368 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 220 ST,,,,,0.205 INWOOD 207 ST,1.544 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY W/W 246 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.461 INWOOD 207 ST,,,,,,,,,,,
HENRY HUDSON PKY W/INDEPENDENCE AV,,,,,,,,,,,,,,,,,0.345 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,
W 231 ST/CORLEAR AV,0.311 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/EXTERIOR ST,,,,,,,,,,,,,,0.365 RIVERDALE 246 ST,,,,,,,,,,,,,,,,,,,,,,
HENRY HUDSON PKY E/W 232 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 RIVERDALE 246 ST,,,,,,,,,,
BROADWAY/W 207 ST,,,,,,,,,,,,,,,,,,0.094 INWOOD 207 ST,,,,,,,,,,,,,,,,,,
BROADWAY/W 228 ST,,,,,,0.18 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,1.462 RIVERDALE 246 ST,,,,,
HENRY HUDSON PKY W/W 236 ST,,,,0.352 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingsbridge Depot (KB),,,,,,,0.694 INWOOD 207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
