,EASTCHESTER RD/WATERS PL,BOSTON RD/PROSPECT AV,3 AV/E 153 ST,LINCOLN AV/E 138 ST,3 AV/E 149 ST,3 AV/E 152 ST,BRONX STATE/BUS SHELTER,3 AV/E 142 ST,BOSTON RD/SEABURY PL,MORRIS PK AV/ADAMS ST,3 AV/E 163 ST,MORRIS PK AV/HONE AV,3 AV/E 158 ST,MORRIS PK AV/BRONXDALE AV,BOSTON RD/E TREMONT AV F/S,MORRIS PK AV/TAYLOR AV,MORRIS PK AV/BARNES AV,3 AV/E 140 ST,MORRIS PK AV/E 180 ST,EASTCHESTER RD/BASSETT AV,MORRIS PK AV/SEMINOLE AV,BOSTON RD/VYSE AV,3 AV/E 138 ST,BOSTON RD/E 173 ST,BOSTON RD/LOUIS NINE BL,MORRIS PK AV/EASTCHESTER RD,BOSTON RD/E TREMONT AV,MORRIS PK AV/MELVILLE ST,E TREMONT AV/BOSTON RD,BOSTON RD/CROTONA AV,3 AV/E 150 ST,MORRIS PK AV/VAN BUREN ST,E 136 ST/LINCOLN AV,WATERS PL/EASTCHESTER RD,E TREMONT AV/E 177 ST,MORRIS PK AV/WILLIAMSBRIDGE RD,WATERS PL/HUTCHINSON RVR PKWY,MORRIS PK AV/WHITE PLAINS RD,3 AV/E 144 ST,EASTCHESTER RD/IVES ST,BOSTON RD/HOME ST,E TREMONT AV/BRONX PARK AV,BOSTON RD/E 168 ST,BOSTON RD/E 165 ST,MORRIS PK AV/RADCLIFF AV,MORRIS PK AV/AMETHYST ST,MORRIS PK AV/E TREMONT AV,BOSTON RD/SOUTHERN BL,BOSTON RD/E 166 ST,3 AV/E 157 ST,E TREMONT AV/DEVOE AV,WESTCHESTER AV/LANE  AV,MORRIS PK AV/UNIONPORT RD,EASTCHESTER RD/SACKETT AV,WATERS PL/FINK AV,3 AV/E 156 ST,BOSTON RD/UNION AV,3 AV/E 154 ST,3 AV/E 148 ST,3 AV/WESTCHESTER AV,WESTCHESTER AV/BENSON ST,BOSTON RD/E 169 ST,E TREMONT AV/MORRIS PK AV,MORRIS PK AV/DELANCEY PL,West Farms Depot (WF)
EASTCHESTER RD/WATERS PL,,,,,,,,,,,,,,,,,,,,0.171 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,0.25 WESTCHESTER SQ,,,,,0.159 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 WESTCHESTER SQ,,,,,,,,,,,,,,,
LINCOLN AV/E 138 ST,,,,,,,,,,,,,,,,,,0.198 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542 WESTCHESTER SQ,,,,,
3 AV/E 152 ST,,,0.144 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX STATE/BUS SHELTER,0.449 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 WESTCHESTER SQ,,,,,,,,,,
3 AV/E 142 ST,,,,,,,,,,,,,,,,,,0.15 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/SEABURY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 WESTCHESTER SQ,,,,,,,,,,,,,,,,,
MORRIS PK AV/ADAMS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 163 ST,,,,,,,,,,,,,0.41 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/HONE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941 WESTCHESTER SQ,,,,,,,,,0.238 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,
3 AV/E 158 ST,,,,,,,,,,,0.41 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 MOTT HAVEN 136 ST,,,,,,,,,
MORRIS PK AV/BRONXDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E TREMONT AV F/S,,,,,,,,,,,,,,,,,,,,,,0.37 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/TAYLOR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 WESTCHESTER SQ,,,,,,,,,,,,
MORRIS PK AV/BARNES AV,,,,,,,,,,,,,,0.278 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,0.305 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 140 ST,,,,,,,,,,,,,,,,,,,,,,,0.258 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,0.297 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/E 180 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 MOTT HAVEN 136 ST,,
EASTCHESTER RD/BASSETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/SEMINOLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,1.751 WESTCHESTER SQ,,,,,,,,,,0.885 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/VYSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,0.344 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,
3 AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/E 173 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.36 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON RD/LOUIS NINE BL,,0.614 MOTT HAVEN 136 ST,,,,,,,0.787 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/EASTCHESTER RD,,,,,,,,,,,,,,,,,,,,,2.144 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.612 WESTCHESTER SQ,,,,,,,,,,,
BOSTON RD/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 WESTCHESTER SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS PK AV/MELVILLE ST,,,,,,,,,,,,,,,,,,,0.303 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
