,BRONX PARK E/BRADY AV,WHITE PLAINS RD/VAN NEST AV,BRONX PARK E/LYDIG AV,CASTLE HILL AV/VIRGIL PL,GOULDEN AV/RESERVOIR AV,BRONX PARK E/PELHAM PY,STARLING AV/UNIONPORT RD,BRONX PK E/UNIONPORT RD,A.B. RYAN OVAL/METROPOLITAN AV,STARLING AV/PURDY ST,E KINGSBRIDGE RD/GRAND CONCOURSE,E FORDHAM RD/3 AV,CASTLE HILL AV/WATSON AV,E KINGSBRIDGE RD/E 192 ST,VALENTINE AV/E FORDHAM RD,E FORDHAM RD/ELM PL,AILEEN RYAN OVAL/METROPOLITAN AV,CASTLE HILL AV/NORTON AV,VALENTINE AV/FORDHAM RD,CASTLE HILL AV/QUIMBY AV,CASTLE HILL AV/LACOMBE AV,CASTLE HILL AV/RANDALL AV,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/DECATUR AV,CASTLE HILL AV/BRUCKNER BL,UNIONPORT RD/E TREMONT AV,RESERVOIR AV/W KINGSBRIDGE RD,E FORDHAM RD/HOFFMAN ST,PAUL AV/BEDFORD PK BL,BOSTON RD/PELHAM PKY,CASTLE HILL AV/WESTCHESTER AV,CASTLE HILL AV/HERMANY AV,WHITE PLAINS RD/BIRCHALL AV,W 205 ST/PAUL AV,GOULDEN AV/W 197 ST,WHITE PLAINS RD/MORRIS PK AV,WHITE PLAINS RD/BRONXDALE AV,CASTLE HILL AV/CROSS BX SVC RD N,E FORDHAM RD/SOUTHERN BL,E FORDHAM RD/BATHGATE AV,E KINGSBRIDGE RD/MORRIS AV,UNIONPORT RD/STARLING AV,UNIONPORT RD/GUERLAIN ST,GOULDEN AV/BEDFORD PK BL,E FORDHAM RD/CAMBRELENG AV,WHITE PLAINS RD/RHINELANDER AV,CASTLE HILL AV/TURNBULL AV,CASTLE HILL AV/SEWARD AV,W KINGSBRIDGE RD/JEROME AV,RESERVOIR AV/W 195 ST,CASTLE HILL AV/GLEASON AV,UNIONPORT RD/METROPOLITAN AV,CASTLE HILL AV/CHATTERTON AV,VALENTINE AV/E 192 ST,West Farms Depot (WF)
BRONX PARK E/BRADY AV,,,0.211 FORDHAM CENTER VALENTINE AV,,,,,0.259 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/VAN NEST AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.393 CASTLE HILL ZEREGA AV,,,,,,,,,,0.169 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,
BRONX PARK E/LYDIG AV,0.211 CASTLE HILL ZEREGA AV,,,,,0.277 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLE HILL AV/VIRGIL PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 CASTLE HILL ZEREGA AV,,,,,,,
GOULDEN AV/RESERVOIR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.579 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,
BRONX PARK E/PELHAM PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,
STARLING AV/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,
BRONX PK E/UNIONPORT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 CASTLE HILL ZEREGA AV,,,,,,,,,
A.B. RYAN OVAL/METROPOLITAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353 CASTLE HILL ZEREGA AV,,,
STARLING AV/PURDY ST,,,,,,,0.21 FORDHAM CENTER VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,0.326 CASTLE HILL ZEREGA AV,,,,,,,,,,,,,,,,,,,,,,,,
