,RESEARCH AV/AMPERE AV,WESTCHESTER AV/ROBERTS AV,WESTCHESTER AV/AMENDOLA PZ,WESTCHESTER AV/CROSBY AV,MARCONI ST/LA FITNESS ENT,WESTCHESTER AV/MIDDLETOWN RD,COUNTRY CLUB RD/REED PL,BRUCKNER BL/BURR AV,WILLIAMSBRIDGE RD/SILVER ST,COUNTRY CLUB RD/LOHENGRIN PL,MARCONI ST/HUTCH METRO CTR,WATERS PL/EASTCHESTER RD,RADIO DR/GRISWOLD AV,RADIO DR/LUCERNE ST,KENNELWORTH PL/AMPERE AV,BRUCKNER BL/MIDDLETOWN RD,CAMPBELL DR/COUNTRY CLUB RD,MARCONI ST/WATERS PL,COUNTRY CLUB RD/KEARNEY AV,SPENCER DR/STADIUM AV,WESTCHESTER AV/BUHRE AV,MARCONI ST /911 CALL  CENTER,MARCONI ST/911 CALL CENTER,RAWLINS AV/KEARNEY AV,COUNTRY CLUB RD/MC DONOUGH PL,WESTCHESTER AV/MAHAN AV,WESTCHESTER AV/BLONDEL AV,WESTCHESTER AV/ST THERESA AV,BRUCKNER BL/BUHRE AV,WATERS ST/MARCONI ST,CAMPBELL DR/AGAR PL,BRUCKNER BL/ROBERTS AV,SPENCER DR/REED PL,WILLIAMSBRIDGE RD/E TREMONT AV,RAWLINS AV/LOHENGRIN PL,CAMPBELL DR/STADIUM AV,WILLIAMSBRIDGE RD/ST RAYMONDS AV,WILLIAMSBRIDGE RD/EASTCHESTER RD,WESTCHESTER AV/WILKINSON AV,COUNTRY CLUB RD/KENNELLWORTH PL,WESTCHESTER AV/E TREMONT AV,WESTCHESTER AV/MULFORD AV,KEARNEY AV/CONNELL PL,SPENCER DR/KENNELLWORTH PL,BRUCKNER BL/JARVIS AV,BRUCKNER BL/WILLOW LA,West Farms Depot (WF)
RESEARCH AV/AMPERE AV,,,,,,,,,,,,,,,0.281 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ROBERTS AV,,,,0.266 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14 HUTCHINSON METRO CENTER,,,,,
WESTCHESTER AV/AMENDOLA PZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398 COUNTRY CLUB via PELHAM BAY,
WESTCHESTER AV/CROSBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,
MARCONI ST/LA FITNESS ENT,,,,,,,,,,,0.393 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,0.383 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,
WESTCHESTER AV/MIDDLETOWN RD,,0.298 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY CLUB RD/REED PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,
BRUCKNER BL/BURR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 HUTCHINSON METRO CENTER,,,,,,,,
WILLIAMSBRIDGE RD/SILVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,6.557 to depot of Bx24
COUNTRY CLUB RD/LOHENGRIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 HUTCHINSON METRO CENTER,,,,,,,
MARCONI ST/HUTCH METRO CTR,,,,,0.393 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,0.326 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,
WATERS PL/EASTCHESTER RD,,,,,,,,,,,,,,,,,,0.815 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO DR/GRISWOLD AV,0.213 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADIO DR/LUCERNE ST,,,,,,,,,,,,,0.289 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KENNELWORTH PL/AMPERE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 HUTCHINSON METRO CENTER,,,
BRUCKNER BL/MIDDLETOWN RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.938 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,2.394 COUNTRY CLUB via PELHAM BAY,,
CAMPBELL DR/COUNTRY CLUB RD,,,,,,,0.103 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCONI ST/WATERS PL,,,,,0.321 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY CLUB RD/KEARNEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 COUNTRY CLUB via PELHAM BAY,,,,
SPENCER DR/STADIUM AV,,,,,,,,,,0.286 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/BUHRE AV,,0.24 HUTCHINSON METRO CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCONI ST /911 CALL  CENTER,,,,,,,,,,,,,,,,,,,,,,,0.0 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,
MARCONI ST/911 CALL CENTER,,,,,,,,,,,0.326 COUNTRY CLUB via PELHAM BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
