,BEDFORD PK BL/BRIGGS AV,ALLERTON AV/BOSTON RD,ALLERTON AV/MATTHEWS AV,ALLERTON AV/WILLIAMSBRIDGE RD,ALLERTON AV/WHITE PLAINS RD,BARTOW AV/ELY AV,BEDFORD PK BL/BAINBRIDGE AV,LODOVICK AV/ALLERTON AV,ALLERTON AV/WOODHULL AV,ALLERTON AV/HERING AV,ALLERTON AV/WESTERVELT AV,BEDFORD PK BL/GRAND CONCOURSE,HUNTER AV/EARHART LA,ALLERTON AV/HOLLAND AV,KAZIMIROFF BL/BOTANICAL GARDENS,ALLERTON AV/HONE AV,ASCH LOOP/CO-OP CITY BL,ALLERTON AV/MORGAN AV,ALLERTON AV/LACONIA AV,BARTOW AV/EDSON AV,BEDFORD PK/PAUL AV,PAUL AV/BEDFORD PK BL,BARTOW AV/CO-OP CITY BL,HUTCHINSON RVR PKY/EINSTEIN LOOP N,ALLERTON AV/PEARSALL AV,EARHART LA/ERSKINE PL,BARTOW AV/BRUNNER AV,ALLERTON AV/WILSON AV,BEDFORD PK BL/MARION AV,ASCH LOOP/BARTOW AV,HUTCHINSON RVR PY E/EINSTEIN LOOP N,BARTOW AV/GUNTHER AV,ALLERTON AV/BRONXWOOD AV,ALLERTON AV/LODOVICK AV,BEDFORD PK/JEROME AV,W 205 ST/PAUL AV,HUTCHINSON RVR PKY/EINSTEIN LOOP S,ASCH LOOP/ALCOTT PL,GUNTHER AV/BARTOW AV,ALLERTON AV/FISH AV,ALLERTON AV/BARKER AV,BARTOW AV/REAR OF PATHMARK,BEDFORD PK BL/WEBSTER AV,ALLERTON AV/EASTCHESTER RD,HUNTER AV/BOLLER AV,ALLERTON AV/BARNES AV,ERSKINE PL/EARHART LA,ALLERTON AV/BRONX PK E,HUTCHINSON RVR PY E/EINSTEIN LOOP S,HUTCHINSON RVR PY E/BOLLER AV,KAZIMIROFF/BOTANICAL GARDENS E,GOULDEN AV/BEDFORD PK BL,West Farms Depot (WF)
BEDFORD PK BL/BRIGGS AV,,,,,,,,,,,,0.247 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/BOSTON RD,,,0.027 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.404 to depot of Bx26
ALLERTON AV/MATTHEWS AV,,,,,,,,,,,,,,0.237 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/WILLIAMSBRIDGE RD,,0.226 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,0.161 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/WHITE PLAINS RD,,,,,,,,,,,,,,0.165 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,
BARTOW AV/ELY AV,,,,,,,,,,,,,,,,,,,,0.153 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK BL/BAINBRIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,
LODOVICK AV/ALLERTON AV,,,,,,,,,,,0.248 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/WOODHULL AV,,,,,,,,,,,0.179 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLERTON AV/HERING AV,,,,,,,,,,,,,,,,,,,0.168 BEDFORD PK LEHMAN COLL via ALLERTON AV,,,,,,0.166 CO-OP CITY EARHART LANE via ALLERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
