,SOUNDVIEW AV/PATTERSON AV,RANDALL AV/TAYLOR AV,SOUNDVIEW AV/GILDERSLEEVE AV,MORRISON AV/WATSON AV,W FARMS RD/HOE AV,E 167 ST/BRYANT AV,WATSON AV/ROSEDALE AV,MORRISON AV/WESTCHESTER AV,WESTCHESTER AV/BOYNTON AV,WATSON AV/METCALF AV,WESTCHESTER AV/ELDER AV,SOUNDVIEW AV/FERRY TERMINAL,WESTCHESTER AV/BRYANT AV,SOUNDVIEW AV/NEWMAN AV,HOE AV/WESTCHESTER AV,ROSEDALE AV/STORY AV,SOUNDVIEW AV/LAFAYETTE AV,SOUNDVIEW AV/STEPHENS AV,WESTCHESTER AV/HOME ST,SOUNDVIEW AV/LACOMBE AV,WATSON AV/SOUNDVIEW AV,ROSEDALE AV/1040 ROSEDALE AV,SOUNDVIEW AV/SOUNDVIEW FERRY,SOUNDVIEW AV/OBRIEN AV,ROSEDALE AV/SEWARD AV,RANDALL AV/COMMONWEALTH AV,RANDALL AV/ROSEDALE AV,WESTCHESTER AV/COLGATE AV,WESTCHESTER AV/MANOR AV,ROSEDALE AV/BRUCKNER BL,WESTCHESTER AV/WHITLOCK AV,WESTCHESTER AV/ COLGATE AV,SOUNDVIEW AV/PUGSLEY AV,ROSEDALE AV/LAFAYETTE AV,SOUNDVIEW AV/CORNELL AV,WATSON AV/CROES AV,ROSEDALE AV/1055 ROSEDALE AV,West Farms Depot (WF)
SOUNDVIEW AV/PATTERSON AV,,,,,,,,,,,,,,,,,,,,0.271 WEST FARMS RD WESTCHESTER AV,,,,0.259 CLASON PT,,,,,,,,,,,,,,
RANDALL AV/TAYLOR AV,,,,,,,,,,,,,,,,,,,,0.295 CLASON PT,,,,,,0.236 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,
SOUNDVIEW AV/GILDERSLEEVE AV,0.5 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,0.129 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,
MORRISON AV/WATSON AV,,,,,,,,0.328 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,0.16 CLASON PT,,,,,,,,,,,,,,,,,
W FARMS RD/HOE AV,,,,,,,,,,,,,,,0.118 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,
E 167 ST/BRYANT AV,,,,,0.128 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSON AV/ROSEDALE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 WEST FARMS RD WESTCHESTER AV,,
MORRISON AV/WESTCHESTER AV,,,,0.328 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,0.162 WEST FARMS RD WESTCHESTER AV,,,,,,,,,
WESTCHESTER AV/BOYNTON AV,,,,,,,,,,,0.079 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSON AV/METCALF AV,,,,0.16 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/ELDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 CLASON PT,,,0.238 WEST FARMS RD WESTCHESTER AV,,,,,,
SOUNDVIEW AV/FERRY TERMINAL,,,,,,,,,,,,,,,,,,0.418 WEST FARMS RD WESTCHESTER AV,,,,,0.08 CLASON PT,,,,,,,,,,,,,,,
WESTCHESTER AV/BRYANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 CLASON PT,,,,,,,
SOUNDVIEW AV/NEWMAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 CLASON PT,,,
HOE AV/WESTCHESTER AV,,,,,,,,,,,,,0.202 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,
ROSEDALE AV/STORY AV,,,,,,,,,,,,,,,,,0.278 CLASON PT,,,,,,,,,,,,,0.184 WEST FARMS RD WESTCHESTER AV,,,,,,,,
SOUNDVIEW AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,0.334 CLASON PT,,,,,,,,,,,,,
SOUNDVIEW AV/STEPHENS AV,,,0.262 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER AV/HOME ST,,,,,,0.233 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUNDVIEW AV/LACOMBE AV,0.271 CLASON PT,0.295 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSON AV/SOUNDVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 CLASON PT,,
ROSEDALE AV/1040 ROSEDALE AV,,,,,,,0.134 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUNDVIEW AV/SOUNDVIEW FERRY,,,,,,,,,,,,0.008 WEST FARMS RD WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUNDVIEW AV/OBRIEN AV,,,0.247 CLASON PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSEDALE AV/SEWARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 CLASON PT,,,,,,,0.245 WEST FARMS RD WESTCHESTER AV,,,,
