,HUTCHINSON RVR PY E/BOLLER AV,BAINBRIDGE AV/E 206 ST,BAINBRIDGE AV/VAN CORTLANDT AV E,BARTOW AV/BRUNNER AV,E GUN HILL RD/WEBSTER AV,E GUN HILL RD/DEWITT PL,BEDFORD PK/JEROME AV,E GUN HILL RD/KINGSLAND AV,E GUN HILL RD/OLINVILLE AV,PAUL AV/BEDFORD PK BL,BARTOW AV/ELY AV,DREISER LOOP/DEBS PL,E GUN HILL RD/PEARSALL AV,JEROME AV/W KINGSBRIDGE RD,E GUN HILL RD/BURKE AV,E GUN HILL RD/BRONXWOOD AV,E GUN HILL RD/BOSTON RD,ERSKINE PL/EARHART LA,E GUN HILL RD/YOUNG AV,E GUN HILL RD/TRYON AV,GRAND CONCOURSE/E MOSHOLU PY S,E GUN HILL RD/GIVAN AV,E MOSHOLU PY S/JEROME AV,BAYCHESTER AV/750 BAYCHESTER AV,JEROME AV/MORRIS AV,ASCH LOOP/ALCOTT PL,HUNTER AV/EARHART LA,CO-OP CITY BL/CARVER LOOP  #1,E GUN HILL RD/KNAPP ST,E GUN HILL RD/DECATOUR AV,E MOSHOLU PY S/GRAND CONCOURSE,VALENTINE AV/E 192 ST,BARTOW AV/EDSON AV,BAINBRIDGE AV/RESERVOIR OVAL E,ASCH LOOP/BARTOW AV,ASCH LOOP/ADLER PL,BARTOW AV/CO-OP CITY BL,E KINGSBRIDGE RD/E 192 ST,CO-OP CITY BL/PEARTREE AV,E GUN HILL RD/WHITE PLAINS RD,E GUN HILL RD/EASTCHESTER RD,E GUN HILL RD/ARNOW AV,HUNTER AV/BOLLER AV,HUTCHINSON RVR PY E/EINSTEIN LOOP N,BAINBRIDGE AV/E GUN HILL RD,HUTCHINSON RVR PKY/EINSTEIN LOOP S,E GUN HILL RD/PUTNAM PL,E GUN HILL RD/HULL AV,E GUN HILL RD/HERING AV,E KINGSBRIDGE RD/GRAND CONCOURSE,EARHART LA/ERSKINE PL,HUTCHINSON RVR PY E/EINSTEIN LOOP S,BARTOW AV/GUNTHER AV,ASCH LOOP/CO-OP CITY BL,BAYCHESTER AV/ALDRICH ST,CO-OP CITY BL/BELLAMY LOOP S,W MOSHOLU PKY S/JEROME AV,E GUN HILL RD/BARNES AV,DREISER LOOP/CO-OP CITY BL,E GUN HILL RD/PAULDING AV,PAUL AV/W MOSHOLU PY S,PAUL AV/W 205 ST,E GUN HILL RD/FISH AV,JEROME AV/E 196 ST,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/E MOSHOLU PY N,CO-OP CITY BL/CARVER LOOP #2,BAINBRIDGE AV/E 204 ST,DREISER LOOP/DEFOE PLACE,HUTCHINSON RVR PKY/EINSTEIN LOOP N,BAYCHESTER AV/DONIZETTI PL,BAYCHESTER AV/DARROW PL,CO-OP CITY BL/BELLAMY LOOP N,E KINGSBRIDGE RD/MORRIS AV,BARTOW AV/REAR OF PATHMARK,E GUN HILL RD/LACONIA AV,West Farms Depot (WF)
HUTCHINSON RVR PY E/BOLLER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.765 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,
BAINBRIDGE AV/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.016 FORDHAM CENTER 192 ST via GUNHILL,,0.563 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,
BAINBRIDGE AV/VAN CORTLANDT AV E,,0.209 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARTOW AV/BRUNNER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/WEBSTER AV,,,,,,,,,0.306 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/DEWITT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD PK/JEROME AV,,,,,,,,,,1.519 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,0.766 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/KINGSLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E GUN HILL RD/OLINVILLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL AV/BEDFORD PK BL,,,,,,,1.519 FORDHAM CENTER 192 ST via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,
BARTOW AV/ELY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 CO-OP CITY EARHART LANE via GUNHILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
